,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist
0,Max Aarons,1841,160,721,703,440,23,1841,68,34,50.0,34,50.0,953,6454,3377
1,Yunis Abdelhamid,1919,212,1017,843,84,24,1919,18,14,77.8,4,22.2,1194,6451,3558
2,Salis Abdul Samed,1948,39,557,1146,261,16,1948,41,26,63.4,15,36.6,1386,6570,2687
3,Laurent Abergel,2032,24,404,1298,357,13,2032,61,39,63.9,22,36.1,1311,5629,2353
4,Charles Abi,12,0,0,5,8,1,12,0,0,,0,,7,11,1
5,Dickson Abiama,246,6,24,108,115,23,246,20,7,35.0,13,65.0,131,629,266
6,Matthis Abline,20,1,1,6,13,3,20,6,3,50.0,3,50.0,11,55,17
7,Tammy Abraham,1064,32,73,508,495,173,1061,77,38,49.4,39,50.6,494,2592,1129
8,Luis Abram,286,45,178,106,5,4,286,0,0,,0,,149,760,487
9,Francesco Acerbi,2295,268,1102,1143,59,22,2295,6,4,66.7,2,33.3,1364,6893,4301
10,Ragnar Ache,117,1,7,46,65,17,117,11,6,54.5,5,45.5,72,450,176
11,Mohamed Achi,9,0,2,5,2,0,9,0,0,,0,,9,34,12
12,Marcos Acuña,2184,54,637,959,618,19,2184,66,44,66.7,22,33.3,1256,6253,3799
13,Che Adams,712,22,81,293,344,94,712,35,20,57.1,15,42.9,394,1804,651
14,Tyler Adams,1062,28,184,739,150,10,1062,23,13,56.5,10,43.5,607,2825,1319
15,Sargis Adamyan,149,2,17,72,63,9,149,12,6,50.0,6,50.0,89,547,224
16,Martin Adeline,193,8,42,91,64,7,193,9,6,66.7,3,33.3,108,528,247
17,Amine Adli,729,9,116,347,282,57,729,37,21,56.8,16,43.2,456,2836,1731
18,Yacine Adli,1531,16,266,793,491,45,1531,80,46,57.5,34,42.5,996,5781,2665
19,Michel Aebischer,292,12,68,171,56,8,292,4,1,25.0,3,75.0,143,635,297
20,Felix Afena-Gyan,278,0,17,91,175,39,278,20,5,25.0,15,75.0,193,1367,519
21,Martin Agirregabiria,966,43,298,448,227,12,966,19,14,73.7,5,26.3,429,1647,869
22,Julen Agirrezabala,92,73,92,0,0,0,92,0,0,,0,,41,198,115
23,Lucien Agoume,1210,55,354,666,206,30,1210,32,22,68.8,10,31.3,705,3509,1564
24,Kevin Agudelo,583,10,72,266,262,32,583,51,28,54.9,23,45.1,323,2163,1155
25,Nayef Aguerd,2469,221,1143,1274,59,34,2469,6,5,83.3,1,16.7,1611,7937,4516
26,Sergio Agüero,57,0,1,26,31,15,57,2,1,50.0,1,50.0,34,172,85
27,Ruben Aguilar,1995,76,507,1015,487,27,1995,11,5,45.5,6,54.5,1133,5438,2920
28,Álvaro Aguirre,4,0,1,2,1,0,4,0,0,,0,,1,0,0
29,Naouirou Ahamada,38,0,5,27,6,0,38,0,0,,0,,33,120,57
30,Anel Ahmedhodžić,1005,94,459,495,60,13,1005,4,1,25.0,3,75.0,715,4227,2449
31,Jean-Eudes Aholou,541,12,84,319,146,17,541,23,11,47.8,12,52.2,322,1663,769
32,Joseph Aidoo,1828,196,894,895,48,12,1828,11,9,81.8,2,18.2,1111,5975,3687
33,Ola Aina,950,48,227,441,294,27,950,40,18,45.0,22,55.0,483,2872,1398
34,Rayan Aït-Nouri,1293,49,459,458,392,39,1293,81,42,51.9,39,48.1,659,3744,1969
35,Kristoffer Ajer,1101,108,442,484,181,31,1101,18,13,72.2,5,27.8,488,2991,1717
36,Ludovic Ajorque,1232,37,103,649,494,138,1229,27,14,51.9,13,48.1,651,2517,751
37,Manuel Akanji,2195,198,963,1182,65,21,2195,9,8,88.9,1,11.1,1517,7984,4478
38,Carlos Akapo,1084,88,403,456,236,9,1084,21,12,57.1,9,42.9,446,2527,1371
39,Marley Aké,24,0,4,12,9,0,24,2,0,0.0,2,100.0,18,186,76
40,Nathan Aké,956,56,332,525,103,10,956,2,0,0.0,2,100.0,677,3333,2158
41,Ilias Akhomach,71,0,7,20,44,6,71,3,1,33.3,2,66.7,54,249,161
42,Maghnes Akliouche,34,0,3,12,19,3,34,1,0,0.0,1,100.0,27,154,66
43,Paul Akouokou,376,12,72,258,47,3,376,8,6,75.0,2,25.0,195,774,333
44,Jean-Daniel Akpa-Akpro,166,10,45,88,37,1,166,10,6,60.0,4,40.0,89,417,216
45,Kevin Akpoguma,1139,54,364,525,257,34,1139,47,21,44.7,26,55.3,567,2745,1419
46,David Alaba,2189,200,910,1001,285,41,2189,10,4,40.0,6,60.0,1529,8443,5039
47,Sofiane Alakouch,131,6,32,69,30,0,131,4,2,50.0,2,50.0,72,244,142
48,Tomás Alarcón,747,55,220,370,164,9,747,8,4,50.0,4,50.0,331,1328,482
49,Lucas Alario,261,6,17,113,134,43,260,14,12,85.7,2,14.3,153,635,245
50,Jordi Alba,3031,82,668,1469,908,68,3031,22,6,27.3,16,72.7,1738,5754,3133
51,Josué Albert,10,2,5,4,1,1,10,0,0,,0,,6,21,11
52,Luis Alberto,2177,16,259,1216,728,30,2177,44,27,61.4,17,38.6,1343,6796,3999
53,Raúl Albiol,1799,253,949,819,38,9,1799,4,3,75.0,1,25.0,1054,6003,3342
54,Marc Albrighton,705,35,166,302,243,12,705,40,15,37.5,25,62.5,357,1616,691
55,Paco Alcácer,253,2,21,97,135,40,253,10,5,50.0,5,50.0,124,335,134
56,Thiago Alcántara,1700,32,247,1106,362,20,1700,32,20,62.5,12,37.5,1039,5003,2393
57,Rubén Alcaraz,807,18,152,513,156,18,807,17,11,64.7,6,35.3,457,2507,1343
58,Omar Alderete,1292,185,658,596,56,25,1292,14,13,92.9,1,7.1,587,3421,2219
59,Iván Alejo,513,21,109,184,231,21,513,43,15,34.9,28,65.1,300,2923,1472
60,Doğan Alemdar,419,334,415,4,0,0,419,0,0,,0,,272,1272,648
61,Carles Aleñá,1095,9,137,635,334,14,1095,35,17,48.6,18,51.4,660,3215,1324
62,Trent Alexander-Arnold,3036,71,602,1386,1070,83,3036,39,19,48.7,20,51.3,1504,5687,2824
63,Mohamed Ali Cho,570,2,42,227,313,70,570,58,25,43.1,33,56.9,388,2889,1418
64,Alisson,1469,1042,1452,17,0,0,1469,1,1,100.0,0,0.0,873,3573,2223
65,Allan,1259,77,324,763,191,7,1259,31,21,67.7,10,32.3,650,3118,1603
66,Jim Allevinah,747,8,105,339,319,64,747,68,32,47.1,36,52.9,565,4604,2177
67,Dele Alli,339,24,74,188,82,14,338,27,12,44.4,15,55.6,184,923,358
68,Dele Alli,225,13,50,107,71,13,225,14,5,35.7,9,64.3,108,708,290
69,Miguel Almirón,728,22,135,302,307,43,728,39,26,66.7,13,33.3,446,2959,1319
70,Marcos Alonso,1791,72,451,626,730,69,1791,35,15,42.9,20,57.1,882,4325,2172
71,Giorgio Altare,1000,96,426,456,129,25,1000,10,8,80.0,2,20.0,461,1852,925
