,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
0,Antonio Adán,1,0,25,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
1,Adrián,11,9,875,10,1.03,27,17,63.0,9,0,0,2,22.2,0,0,0,0,
2,Rúnar Alex Rúnarsson,11,9,900,17,1.70,47,31,63.8,1,2,6,0,0.0,0,0,0,0,
3,Enrico Alfonso,4,4,279,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,
4,Alisson,29,29,"2,543",23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0.0
5,Sergio Álvarez,4,4,180,1,0.50,3,2,66.7,1,1,0,1,25.0,0,0,0,0,
6,Lorenzo Andrenacci,6,5,531,16,2.71,44,28,63.6,0,1,4,0,0.0,1,0,0,1,
7,Miguel Ángel Moyá,13,13,"1,170",16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,
8,Alphonse Areola,4,4,360,5,1.25,14,9,78.6,3,1,0,1,25.0,2,2,0,0,0.0
9,Alphonse Areola,3,3,270,2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,0,
10,Kepa Arrizabalaga,33,33,"2,970",47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0.0
11,Sergio Asenjo,34,34,"3,060",41,1.21,145,104,75.2,17,4,13,11,32.4,6,5,1,0,16.7
12,Emil Audero,36,36,"3,240",60,1.67,165,109,67.9,12,5,19,9,25.0,8,7,0,1,0.0
13,Stefan Bajic,1,1,90,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,
14,Oliver Baumann,30,30,"2,700",49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,0,28.6
15,Asmir Begović,2,1,129,3,2.09,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0
16,Walter Benítez,26,26,"2,340",36,1.38,130,95,75.4,9,8,9,4,15.4,6,4,1,1,20.0
17,Etrit Berisha,26,26,"2,340",44,1.69,147,105,74.1,5,3,18,3,11.5,6,6,0,0,0.0
18,Paul Bernardoni,25,25,"2,204",38,1.55,108,71,68.5,7,4,14,6,24.0,4,4,0,0,0.0
19,Dimitry Bertaud,3,3,196,3,1.38,5,2,40.0,0,0,3,0,0.0,0,0,0,0,
20,Rubén Blanco,33,33,"2,960",43,1.31,135,92,71.9,6,14,13,10,30.3,5,5,0,0,0.0
21,Yassine Bounou,6,5,495,3,0.55,20,17,90.0,4,1,0,4,80.0,1,1,0,0,0.0
22,Federico Brancolini,1,0,6,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
23,Claudio Bravo,4,3,347,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,
24,Gianluigi Buffon,9,9,810,10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,1,0.0
25,Roman Bürki,31,31,"2,770",40,1.30,95,58,61.1,19,5,7,12,38.7,3,3,0,0,0.0
26,Ludovic Butelle,26,26,"2,340",32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,0.0
27,Marcin Bułka,1,1,90,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
28,Willy Caballero,5,5,450,7,1.40,16,10,56.3,2,2,1,1,20.0,0,0,0,0,
29,Matis Carvalho,1,0,71,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,
30,Koen Casteels,26,26,"2,340",38,1.46,105,67,67.6,11,6,9,5,19.2,4,4,0,0,0.0
31,Churripi,3,3,244,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,
32,Jasper Cillessen,24,24,"2,096",30,1.29,109,78,78.0,10,7,7,5,20.8,8,6,2,0,25.0
33,Yannis Clementia,2,2,180,2,1.00,7,5,85.7,2,0,0,0,0.0,1,1,0,0,0.0
34,Simone Colombi,4,4,360,4,1.00,19,15,84.2,1,1,2,1,25.0,2,1,0,1,0.0
35,Andrea Consigli,31,31,"2,790",55,1.77,145,92,66.9,12,5,14,5,16.1,8,7,1,0,12.5
36,Angelo da Costa Júnior,1,1,90,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
37,Benoît Costil,28,28,"2,520",34,1.21,108,74,70.4,9,10,9,6,21.4,3,2,1,0,33.3
38,Thibaut Courtois,34,34,"3,060",20,0.59,96,76,79.2,23,8,3,18,52.9,0,0,0,0,
39,Alessio Cragno,16,16,"1,440",21,1.31,89,68,77.5,2,6,8,3,18.8,2,1,1,0,50.0
40,Iván Cuéllar,27,27,"2,429",33,1.22,99,65,67.7,7,9,11,7,25.9,2,1,1,0,50.0
41,Paul Delecroix,2,1,135,4,2.67,6,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0
42,Lucas Dias,4,3,316,6,1.71,19,13,68.4,0,2,1,1,33.3,0,0,0,0,
43,Marko Dmitrović,35,35,"3,150",51,1.46,122,71,61.5,9,9,17,10,28.6,5,4,1,0,20.0
44,Jaume Doménech,15,14,"1,324",23,1.56,81,58,72.8,4,4,6,3,21.4,1,1,0,0,0.0
45,Gianluigi Donnarumma,36,36,"3,201",42,1.18,141,96,73.0,18,9,9,12,33.3,8,4,4,0,50.0
46,Bartłomiej Drągowski,31,31,"2,790",43,1.39,139,94,73.4,7,12,12,8,25.8,8,6,2,0,25.0
47,Martin Dúbravka,38,38,"3,420",58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,0.0
48,Ederson,35,35,"3,071",28,0.82,95,68,73.7,24,3,8,16,45.7,3,3,0,0,0.0
49,Aarón Escandell,3,3,270,3,1.00,14,11,78.6,1,0,2,1,33.3,0,0,0,0,
50,Łukasz Fabiański,25,25,"2,117",34,1.45,104,71,70.2,8,7,10,5,20.0,4,3,1,0,25.0
51,Fabricio,2,2,90,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
52,Ralf Fährmann,1,1,21,1,4.29,2,1,100.0,,,1,,,,1,,,
53,Wladimiro Falcone,2,2,180,5,2.50,13,8,69.2,0,1,1,0,0.0,1,1,0,0,0.0
54,Aitor Fernández,36,36,"3,240",51,1.42,205,153,76.6,12,7,17,5,13.9,5,3,2,0,40.0
55,Andrés Fernández,4,4,360,8,2.00,19,12,73.7,1,2,1,1,25.0,3,3,0,0,0.0
56,Mark Flekken,10,10,900,14,1.40,69,55,79.7,4,3,3,3,30.0,1,0,0,1,
57,Ben Foster,38,38,"3,420",64,1.68,178,116,68.5,8,10,20,9,23.7,9,8,1,0,11.1
58,Daniel Fuzato,1,1,90,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
59,Gabriel,34,34,"2,997",76,2.28,227,152,70.9,6,8,20,2,5.9,12,10,2,0,16.7
60,Paulo Gazzaniga,18,17,"1,613",26,1.45,82,56,72.0,5,5,7,2,11.8,4,3,1,0,25.0
61,David de Gea,38,38,"3,420",36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0.0
62,Rafał Gikiewicz,33,33,"2,970",54,1.64,159,105,67.9,12,5,16,8,24.2,4,3,1,0,25.0
63,Mauro Goicoechea,2,2,180,5,2.50,13,8,61.5,0,0,2,0,0.0,0,0,0,0,
64,Pierluigi Gollini,33,33,"2,884",42,1.31,120,81,70.0,19,9,5,8,24.2,6,6,0,0,0.0
65,Alfred Gomis,19,19,"1,620",20,1.11,81,62,76.5,6,7,6,6,31.6,1,1,0,0,0.0
66,Vicente Guaita,35,35,"3,150",42,1.20,149,109,71.8,11,9,15,10,28.6,1,0,0,1,
67,Péter Gulácsi,32,32,"2,880",34,1.06,116,82,72.4,16,12,4,10,31.3,2,2,0,0,0.0
68,Angus Gunn,10,10,900,25,2.50,55,30,58.2,2,2,6,2,20.0,2,2,0,0,0.0
69,Régis Gurtner,28,28,"2,520",50,1.79,142,93,65.5,4,11,13,5,17.9,1,1,0,0,0.0
70,Samir Handanović,35,35,"3,150",32,0.91,110,78,72.7,22,10,3,13,37.1,3,2,1,0,33.3
71,Tom Heaton,20,20,"1,794",35,1.76,102,68,68.6,6,3,11,4,20.0,3,3,0,0,0.0
72,Dean Henderson,36,36,"3,240",33,0.92,128,94,75.0,14,11,11,13,36.1,3,1,1,1,50.0
73,Wayne Hennessey,3,3,270,8,2.67,23,15,65.2,0,1,2,0,0.0,0,0,0,0,
74,Sergio Herrera,19,18,"1,655",27,1.47,80,53,67.5,7,3,8,7,38.9,1,1,0,0,0.0
75,Iago Herrerín,5,4,425,9,1.91,19,10,52.6,0,3,1,0,0.0,0,0,0,0,
76,Marwin Hitz,4,3,290,1,0.31,7,6,85.7,2,1,0,3,100.0,0,0,0,0,
77,Timo Horn,34,34,"3,060",69,2.03,156,87,58.3,10,6,18,6,17.6,6,4,2,0,33.3
78,Lukáš Hrádecký,34,34,"3,060",44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,0.0
79,Jannik Huth,6,6,540,17,2.83,33,16,51.5,0,1,5,0,0.0,1,1,0,0,0.0
80,Rune Jarstein,29,29,"2,547",46,1.63,143,99,72.7,11,5,13,9,31.0,7,7,0,0,0.0
81,Jesse Joronen,29,29,"2,610",59,2.03,181,124,72.4,5,6,18,5,17.2,10,9,1,0,10.0
82,Lovre Kalinić,4,4,306,4,1.18,15,11,73.3,0,1,3,1,25.0,0,0,0,0,
83,Stefanos Kapino,1,1,90,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
84,Florian Kastenmeier,17,17,"1,530",31,1.82,78,49,62.8,2,9,6,2,11.8,3,2,1,0,33.3
85,Tomáš Koubek,24,24,"2,160",51,2.12,122,72,58.2,6,6,12,4,16.7,1,0,1,0,100.0
86,Thomas Kraft,4,4,360,9,2.25,19,10,52.6,0,3,1,0,0.0,0,0,0,0,
87,Tim Krul,36,36,"3,240",68,1.89,195,128,66.7,5,6,25,5,13.9,5,3,2,0,40.0
88,Alban Lafont,27,27,"2,430",29,1.07,95,64,72.6,11,4,12,10,37.0,6,3,2,1,40.0
89,Gautier Larsonneur,27,27,"2,398",34,1.28,132,96,76.5,7,10,10,7,25.9,5,3,2,0,40.0
90,Benjamin Lecomte,28,28,"2,520",44,1.57,134,91,71.6,11,7,10,7,25.0,6,6,0,0,0.0
91,Nicolas Lemaître,1,1,90,3,3.00,4,1,50.0,0,0,1,0,0.0,1,1,0,0,0.0
92,Bernd Leno,30,30,"2,649",39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,0,14.3
93,Donovan Léon,2,1,122,3,2.21,11,8,81.8,1,0,0,1,100.0,1,1,0,0,0.0
94,Karlo Letica,10,10,900,29,2.90,65,36,55.4,0,1,9,0,0.0,1,0,1,0,100.0
95,Hugo Lloris,21,21,"1,807",21,1.05,99,78,80.8,11,6,4,6,28.6,3,2,1,0,33.3
96,Anthony Lopes,26,26,"2,340",25,0.96,86,64,73.3,10,7,9,8,30.8,3,2,0,1,0.0
97,Diego López,36,36,"3,232",58,1.62,160,103,67.5,4,9,23,4,11.1,7,6,1,0,14.3
98,Pau López,32,32,"2,880",45,1.41,132,86,72.0,18,6,8,5,15.6,9,8,1,0,11.1
99,Andreas Luthe,10,10,900,12,1.20,33,22,63.6,3,3,4,3,30.0,0,0,0,0,
100,Mike Maignan,28,28,"2,520",27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,1,20.0
101,Steve Mandanda,27,27,"2,371",27,1.02,92,67,75.0,15,8,4,11,40.7,4,4,0,0,0.0
102,Daniel Martín,6,5,531,12,2.03,24,12,50.0,1,0,4,1,20.0,0,0,0,0,
103,David Martin,5,4,436,6,1.24,21,15,71.4,2,0,2,2,50.0,0,0,0,0,
104,Emiliano Martínez,9,8,771,9,1.05,42,33,81.0,5,1,2,3,37.5,1,1,0,0,0.0
105,Jordi Masip,35,35,"3,150",39,1.11,125,85,73.6,8,15,12,11,31.4,7,6,1,0,14.3
106,Alex McCarthy,28,28,"2,520",35,1.25,113,78,69.9,13,5,10,7,25.0,2,1,1,0,50.0
107,Michael McGovern,2,1,159,6,3.40,13,6,53.8,0,0,1,0,0.0,1,0,1,0,100.0
108,Edouard Mendy,24,24,"2,160",19,0.79,79,60,79.7,13,5,6,9,37.5,4,3,1,0,25.0
109,Alex Meret,22,21,"1,951",33,1.52,84,51,66.7,9,5,7,3,14.3,6,5,1,0,16.7
110,Antonio Mirante,5,5,450,5,1.00,24,19,83.3,2,1,2,2,40.0,1,1,0,0,0.0
111,Simon Moore,2,2,180,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,
112,Jessy Moulin,5,5,450,4,0.80,23,19,91.3,2,2,1,2,40.0,2,2,0,0,0.0
113,Florian Müller,13,12,"1,125",25,2.00,66,40,65.2,3,2,7,2,16.7,3,2,1,0,33.3
114,Juan Musso,38,38,"3,420",51,1.34,194,141,77.8,12,9,17,14,36.8,10,8,2,0,20.0
115,Yvon Mvogo,2,2,180,3,1.50,5,2,40.0,2,0,0,0,0.0,0,0,0,0,
116,Keylor Navas,21,21,"1,890",18,0.86,66,49,72.7,17,2,2,11,52.4,0,0,0,0,
117,Neto,2,2,180,2,1.00,3,1,33.3,1,1,0,1,50.0,0,0,0,0,
118,Manuel Neuer,33,33,"2,970",31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,0,25.0
119,Moritz Nicolas,1,1,90,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
120,Alexander Nübel,26,26,"2,315",40,1.56,118,80,69.5,8,9,9,5,19.2,4,4,0,0,0.0
121,Ørjan Nyland,7,5,539,12,2.00,27,15,55.6,0,2,3,1,20.0,0,0,0,0,
122,Jan Oblak,38,38,"3,395",27,0.72,111,87,78.4,18,16,4,17,44.7,4,3,0,1,0.0
123,Oier Olazábal,2,2,180,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,
124,Robin Olsen,17,17,"1,524",24,1.42,89,67,77.5,8,5,4,4,23.5,4,4,0,0,0.0
125,David Ospina,17,17,"1,469",17,1.04,54,37,72.2,9,3,5,4,23.5,2,2,0,0,0.0
126,Alexandre Oukidja,27,27,"2,385",31,1.17,129,98,78.3,8,10,9,8,29.6,3,3,0,0,0.0
127,Fernando Pacheco,27,27,"2,358",37,1.41,102,62,71.6,7,7,13,6,22.2,11,8,3,0,27.3
128,Daniele Padelli,4,4,270,4,1.33,8,4,62.5,2,0,1,1,25.0,1,1,0,0,0.0
129,Miquel Parera,1,1,90,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
130,Rui Patrício,38,38,"3,420",40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7
131,Jiří Pavlenka,33,33,"2,970",67,2.03,169,105,60.9,8,6,19,4,12.1,1,1,0,0,0.0
132,Gianluca Pegolo,5,5,450,4,0.80,27,24,85.2,2,2,1,2,40.0,0,0,0,0,
133,Yohann Pelé,2,1,149,2,1.21,7,4,71.4,1,0,0,0,0.0,1,0,1,0,100.0
134,Philipp Pentke,4,4,360,4,1.00,21,17,85.7,2,0,2,1,25.0,1,1,0,0,0.0
135,Juan Pérez,2,2,180,3,1.50,9,6,77.8,1,1,0,0,0.0,1,1,0,0,0.0
136,Samu Pérez,1,0,26,1,3.46,1,0,100.0,0,0,0,0,,1,1,0,0,0.0
137,Mattia Perin,21,21,"1,890",38,1.81,103,66,64.1,8,4,9,5,23.8,2,1,0,1,0.0
138,Pavao Pervan,8,8,720,8,1.00,37,30,81.1,2,4,2,3,37.5,1,1,0,0,0.0
139,Danijel Petković,2,2,180,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,
140,Denis Petrić,1,1,90,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
141,Jordan Pickford,38,38,"3,420",56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0.0
142,Carlo Pinsoglio,1,0,19,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
143,Nick Pope,38,38,"3,420",50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20.0
144,Ionuț Radu,17,17,"1,530",35,2.06,98,64,70.4,2,5,10,2,11.8,7,6,0,1,0.0
145,Boris Radunović,3,3,270,8,2.67,15,7,60.0,1,0,2,1,33.3,2,2,0,0,0.0
146,Rafael,6,5,454,11,2.18,17,6,47.1,1,1,3,0,0.0,3,2,0,1,0.0
147,Predrag Rajković,27,27,"2,430",18,0.67,87,65,80.5,10,11,6,12,44.4,5,1,4,0,80.0
148,Aaron Ramsdale,37,37,"3,330",62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,0,16.7
149,Darren Randolph,2,2,180,5,2.50,11,6,63.6,0,1,1,0,0.0,1,1,0,0,0.0
150,Manolo Reina,36,36,"3,240",60,1.67,179,119,74.3,9,5,22,5,13.9,15,14,1,0,6.7
151,Pepe Reina,12,12,"1,080",20,1.67,53,32,66.0,3,3,6,2,16.7,3,2,1,0,33.3
152,Pepe Reina,2,2,90,1,1.00,6,4,83.3,1,0,0,0,0.0,1,0,1,0,100.0
153,Álex Remiro,25,25,"2,250",32,1.28,93,60,73.1,11,4,10,6,24.0,8,7,1,0,12.5
154,Baptiste Reynet,23,22,"2,034",49,2.17,118,68,61.0,3,3,16,2,9.1,5,3,2,0,40.0
155,Sergio Rico,2,2,180,4,2.00,10,6,60.0,2,0,0,0,0.0,0,0,0,0,
156,Roberto,8,7,687,17,2.23,51,35,68.6,0,1,6,0,0.0,1,1,0,0,0.0
157,Roberto,9,8,790,19,2.16,54,35,70.4,2,1,5,2,25.0,3,3,0,0,0.0
158,Joel Robles,33,33,"2,887",48,1.50,130,83,71.5,9,11,13,5,15.2,11,11,0,0,0.0
