,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
159,Antonio Rosati,1,1,90,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
160,Francesco Rossi,1,0,11,1,8.18,1,0,0.0,0,0,0,0,,0,0,0,0,
161,Rubén,19,18,"1,583",24,1.36,54,30,61.1,5,9,4,4,22.2,3,3,0,0,0.0
162,Stéphane Ruffier,22,22,"1,980",40,1.82,100,60,63.0,6,4,12,3,13.6,4,3,0,1,0.0
163,Gerónimo Rulli,25,25,"2,250",27,1.08,119,91,79.8,11,7,7,8,32.0,5,3,2,0,40.0
164,Mathew Ryan,38,38,"3,420",54,1.42,168,116,69.0,9,14,15,9,23.7,2,2,0,0,0.0
165,Frederik Rønnow,9,9,810,14,1.56,49,35,75.5,2,3,4,1,11.1,2,2,0,0,0.0
166,Romain Salin,5,4,360,5,1.25,19,13,73.7,2,0,2,1,25.0,1,0,1,0,100.0
167,Kasper Schmeichel,38,38,"3,420",41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20.0
168,Markus Schubert,9,8,742,18,2.18,55,37,70.9,1,3,4,2,25.0,2,2,0,0,0.0
169,Alexander Schwolow,24,24,"2,091",32,1.38,118,86,75.4,9,6,9,4,16.7,3,3,0,0,0.0
170,Matz Sels,27,27,"2,430",32,1.19,104,71,75.0,11,5,11,8,29.6,7,6,1,0,14.3
171,Luigi Sepe,34,34,"3,060",53,1.56,193,137,75.6,13,6,15,5,14.7,9,6,3,0,33.3
172,Rui Silva,35,35,"3,150",42,1.20,142,99,73.2,15,8,12,12,34.3,5,4,1,0,20.0
173,Marco Silvestri,35,35,"3,150",43,1.23,159,117,77.4,11,13,11,9,25.7,7,7,0,0,0.0
174,Unai Simón,34,34,"2,991",29,0.87,109,82,78.0,13,9,12,12,35.3,7,5,0,2,0.0
175,Salvatore Sirigu,36,36,"3,240",64,1.78,197,135,72.1,11,6,19,7,19.4,10,9,1,0,10.0
176,Antonio Sivera,3,3,270,3,1.00,5,2,60.0,1,1,1,1,33.3,1,1,0,0,0.0
177,Łukasz Skorupski,37,37,"3,330",64,1.73,187,123,69.0,12,10,15,2,5.4,8,6,1,1,14.3
178,Dennis Smarsch,2,1,151,4,2.38,11,7,63.6,0,0,1,0,0.0,0,0,0,0,
179,Yann Sommer,34,34,"3,060",40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,0,50.0
180,David Soria,38,38,"3,420",37,0.97,109,73,70.6,14,12,12,15,39.5,6,5,1,0,16.7
181,Juan Soriano,11,11,990,18,1.64,39,22,66.7,1,3,7,1,9.1,5,5,0,0,0.0
182,Marco Sportiello,6,5,525,5,0.86,18,13,72.2,4,0,1,2,40.0,0,0,0,0,
183,Jed Steer,1,1,7,,,,,,,,1,,,,,,,
184,Zack Steffen,17,17,"1,530",36,2.12,99,63,64.6,4,3,10,2,11.8,2,1,1,0,50.0
185,Thomas Strakosha,38,38,"3,420",42,1.11,154,112,77.3,24,6,8,11,28.9,9,7,1,1,12.5
186,Wojciech Szczęsny,29,29,"2,591",33,1.15,129,95,80.6,19,4,6,11,37.9,10,8,1,1,11.1
187,Ciprian Tătărușanu,2,2,180,2,1.00,11,9,81.8,1,0,1,1,50.0,0,0,0,0,
188,Marc-André ter Stegen,36,36,"3,240",36,1.00,116,79,74.1,24,6,6,14,38.9,7,6,1,0,14.3
189,Pietro Terracciano,7,7,624,5,0.72,23,18,91.3,5,1,1,2,28.6,3,3,0,0,0.0
190,Demba Thiam,2,2,180,4,2.00,16,12,81.3,0,1,1,0,0.0,1,1,0,0,0.0
191,Niclas Thiede,1,0,69,1,1.30,4,3,75.0,0,0,0,0,,0,0,0,0,
192,Kevin Trapp,22,22,"1,980",38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,0.0
193,Mark Travers,1,1,90,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
194,Stefano Turati,2,2,180,4,2.00,12,8,75.0,0,2,0,0,0.0,1,1,0,0,0.0
195,Samir Ujkani,1,1,90,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
196,Sven Ulreich,2,2,90,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
197,Tomáš Vaclík,33,33,"2,925",31,0.95,96,65,69.8,15,12,6,12,36.4,3,2,1,0,33.3
198,Koke Vegas,2,2,180,2,1.00,10,8,80.0,2,0,0,1,50.0,1,0,0,1,
199,Mauro Vigorito,5,4,423,9,1.91,29,20,72.4,3,0,1,1,25.0,1,1,0,0,0.0
200,Iván Villar,4,3,280,5,1.61,11,6,54.5,0,1,2,1,33.3,0,0,0,0,
201,Felix Wiedwald,3,3,270,8,2.67,20,12,60.0,0,0,3,0,0.0,0,0,0,0,
202,Yoel,4,4,270,5,1.67,16,10,68.8,2,0,1,1,25.0,1,0,1,0,100.0
203,Robin Zentner,22,22,"1,935",40,1.86,115,75,66.1,8,2,12,3,13.6,2,1,1,0,50.0
204,Leopold Zingerle,28,28,"2,520",57,2.04,152,96,64.5,4,7,17,5,17.9,4,3,1,0,25.0
