,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
195,Koke Vegas,1,1,90,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
196,Rémy Vercoutre,35,35,"3,103",48,1.39,132,88,66.7,9,7,19,11,31.4,4,4,0,0,0.0
197,Emiliano Viviano,27,27,"2,430",43,1.59,132,87,68.9,11,4,12,6,22.2,6,2,4,0,66.7
198,Michel Vorm,1,1,90,1,1.00,4,4,75.0,0,1,0,0,0.0,0,0,0,0,
199,Roman Weidenfeller,2,1,91,4,3.96,7,3,42.9,0,1,0,0,0.0,0,0,0,0,
200,Axel Werner,1,1,90,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
201,Yoel,1,1,90,0,0.00,5,5,100.0,0,1,0,1,100.0,0,0,0,0,
202,Erwin Zelazny,17,17,"1,530",28,1.65,92,64,71.7,3,3,11,3,17.6,2,2,0,0,0.0
203,Robin Zentner,15,15,"1,350",27,1.80,70,44,67.1,3,5,7,2,13.3,4,4,0,0,0.0
204,Luca Zidane,1,1,90,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
205,Ron-Robert Zieler,34,34,"3,060",36,1.06,155,117,79.4,15,6,13,12,35.3,6,4,2,0,33.3
