,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
0,Antonio Adán,30,30,"2,700",53,1.77,132,82,62.1,14,4,12,9,30.0,4,3,1,0,25.0
1,René Adler,14,14,"1,260",18,1.29,53,35,67.9,5,3,6,4,28.6,2,1,0,1,0.0
2,Adrián,19,19,"1,710",29,1.53,96,68,70.8,7,6,6,6,31.6,1,1,0,0,0.0
3,Alisson,37,37,"3,330",28,0.76,135,105,81.5,22,8,7,17,45.9,5,3,2,0,40.0
4,Sergio Álvarez,17,16,"1,475",29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,0.0
5,Ibrahim Amadou,1,0,17,2,10.59,3,1,66.7,0,0,0,0,,1,1,0,0,0.0
6,Jon Ander Serantes,1,1,90,2,2.00,8,6,75.0,1,0,0,0,0.0,0,0,0,0,
7,Nícolas Andrade,36,36,"3,240",71,1.97,233,162,72.1,7,4,25,7,19.4,8,6,2,0,25.0
8,Miguel Ángel Moyá,9,9,765,8,0.94,33,24,81.8,3,2,4,2,22.2,3,2,1,0,33.3
9,Alphonse Areola,34,34,"3,060",25,0.74,102,77,76.5,26,6,2,17,50.0,3,1,1,1,50.0
10,Kepa Arrizabalaga,30,30,"2,700",43,1.43,136,94,69.1,7,9,14,7,23.3,3,1,2,0,66.7
11,Sergio Asenjo,23,23,"2,070",30,1.30,93,60,71.0,12,3,8,6,26.1,6,3,3,0,50.0
12,Mariano Barbosa,13,12,"1,125",14,1.12,48,34,72.9,6,3,3,5,41.7,1,1,0,0,0.0
13,Oliver Baumann,34,34,"3,060",48,1.41,147,100,69.4,15,10,9,10,29.4,4,3,1,0,25.0
14,Asmir Begović,38,38,"3,420",61,1.61,170,109,65.3,11,11,16,6,15.8,3,2,1,0,33.3
15,Vid Belec,13,13,"1,113",27,2.18,74,49,67.6,2,0,11,1,7.7,3,3,0,0,0.0
16,Vid Belec,2,2,180,5,2.50,15,10,73.3,0,0,2,0,0.0,1,1,0,0,0.0
17,Diego Benaglio,3,2,225,0,0.00,6,6,100.0,2,0,0,3,150.0,0,0,0,0,
18,Walter Benítez,28,28,"2,520",36,1.29,113,76,70.8,12,8,8,7,25.0,5,3,2,0,40.0
19,Etrit Berisha,31,31,"2,790",34,1.10,99,64,66.7,13,10,8,8,25.8,2,1,1,0,50.0
20,Quentin Beunardeau,1,0,38,2,4.74,4,2,50.0,0,0,0,0,,0,0,0,0,
21,Albano Bizzarri,32,32,"2,880",52,1.62,143,92,65.0,11,4,17,8,25.0,5,2,2,1,50.0
22,Rubén Blanco,22,22,"1,941",31,1.44,86,55,67.4,10,4,8,4,18.2,4,3,0,1,0.0
23,Landry Bonnefoi,4,3,271,6,1.99,17,11,64.7,2,0,1,0,0.0,0,0,0,0,
24,Jean-Christophe Bouet,1,1,90,1,1.00,7,6,85.7,0,0,1,0,0.0,0,0,0,0,
25,Yassine Bounou,30,30,"2,655",46,1.56,139,94,69.8,13,6,11,9,30.0,5,4,0,1,0.0
26,Claudio Bravo,3,2,226,1,0.40,5,4,80.0,2,0,0,2,100.0,0,0,0,0,
27,Alberto Brignoli,13,11,"1,126",31,2.48,70,39,58.6,1,2,8,1,9.1,4,2,0,2,0.0
28,Gianluigi Buffon,21,21,"1,862",14,0.68,56,43,80.4,17,2,2,11,52.4,4,3,1,0,25.0
29,Roman Bürki,33,33,"2,969",43,1.30,145,102,72.4,15,9,9,12,36.4,3,3,0,0,0.0
30,Ludovic Butelle,19,19,"1,653",22,1.20,68,48,72.1,6,5,8,4,21.1,3,3,0,0,0.0
31,Jack Butland,35,35,"3,150",61,1.74,201,142,72.1,7,11,17,6,17.1,5,5,0,0,0.0
32,Willy Caballero,3,3,270,4,1.33,11,7,63.6,1,1,1,1,33.3,0,0,0,0,
33,Yoan Cardinale,10,10,900,16,1.60,41,26,61.0,3,1,6,3,30.0,0,0,0,0,
34,Kiko Casilla,10,10,900,11,1.10,29,19,62.1,6,2,2,3,30.0,0,0,0,0,
35,Koen Casteels,34,34,"3,060",48,1.41,153,104,72.5,6,15,13,8,23.5,9,6,3,0,33.3
36,Petr Čech,34,34,"3,039",48,1.42,135,85,68.1,16,6,12,11,32.4,6,5,1,0,16.7
37,Nereo Champagne,2,2,180,6,3.00,9,3,44.4,0,0,2,0,0.0,1,1,0,0,0.0
38,Leandro Chichizola,27,27,"2,430",47,1.74,149,103,70.5,4,5,18,4,14.8,3,3,0,0,0.0
39,Jasper Cillessen,1,1,90,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,
40,Andrea Consigli,37,37,"3,316",58,1.57,172,114,67.4,11,10,16,10,27.0,3,2,1,0,33.3
41,Alex Cordaz,38,38,"3,420",66,1.74,200,133,70.0,9,8,21,5,13.2,8,6,1,1,14.3
42,Angelo da Costa Júnior,4,4,360,5,1.25,17,12,76.5,1,0,3,1,25.0,1,1,0,0,0.0
43,Benoît Costil,36,36,"3,240",45,1.25,123,75,66.7,16,7,13,10,27.8,8,4,4,0,50.0
44,Thibaut Courtois,35,35,"3,150",34,0.97,106,74,69.8,20,6,9,15,42.9,2,2,0,0,0.0
45,Alessio Cragno,29,29,"2,536",47,1.67,130,82,68.5,7,5,17,7,24.1,10,6,2,2,25.0
46,Luca Crosta,1,1,90,3,3.00,3,0,33.3,0,0,1,0,0.0,1,1,0,0,0.0
47,Iván Cuéllar,35,35,"3,150",43,1.23,139,95,72.7,11,7,17,14,40.0,6,5,1,0,16.7
48,Karl Darlow,10,10,900,15,1.50,47,34,74.5,1,5,4,2,20.0,3,3,0,0,0.0
49,Abdoulaye Diallo,3,3,270,5,1.67,15,10,73.3,0,2,1,0,0.0,1,1,0,0,0.0
50,Thomas Didillon,9,9,810,14,1.56,35,22,68.6,1,1,7,2,22.2,3,3,0,0,0.0
51,Marko Dmitrović,36,36,"3,240",49,1.36,124,78,63.7,13,8,15,10,27.8,4,4,0,0,0.0
52,Jaume Doménech,5,5,450,5,1.00,21,16,76.2,4,0,1,2,40.0,0,0,0,0,
53,Gianluigi Donnarumma,38,38,"3,420",42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,1,0.0
54,Bartłomiej Drągowski,3,1,217,8,3.32,17,9,52.9,0,0,1,0,0.0,0,0,0,0,
55,Martin Dúbravka,12,12,"1,080",11,0.92,37,25,70.3,6,1,5,4,33.3,1,0,1,0,100.0
56,Maxime Dupé,1,1,90,3,3.00,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0
57,Ederson,36,36,"3,194",26,0.73,80,54,67.5,30,4,2,16,44.4,2,0,2,0,100.0
58,Rob Elliot,16,16,"1,440",21,1.31,64,43,68.8,5,2,9,3,18.8,2,1,1,0,50.0
59,Michael Esser,3,3,270,9,3.00,20,11,55.0,1,0,2,0,0.0,1,0,0,1,
60,Łukasz Fabiański,38,38,"3,420",56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50.0
61,Ralf Fährmann,34,34,"3,015",37,1.10,127,89,73.2,18,9,7,12,35.3,6,3,2,1,40.0
62,Andrés Fernández,3,3,225,6,2.40,16,10,68.8,0,1,2,0,0.0,1,1,0,0,0.0
63,Raúl Fernández,11,11,990,15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,0,
64,Fraser Forster,20,20,"1,800",30,1.50,97,66,69.1,4,7,9,4,20.0,1,0,1,0,100.0
65,Ben Foster,37,37,"3,330",55,1.49,151,98,64.2,6,12,19,10,27.0,1,1,0,0,0.0
66,Paulo Gazzaniga,1,1,90,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
67,David de Gea,37,37,"3,330",28,0.76,140,114,80.7,24,6,7,18,48.6,1,1,0,0,0.0
68,Rafał Gikiewicz,2,1,154,3,1.75,7,4,57.1,0,1,0,0,0.0,0,0,0,0,
69,Dani Giménez,4,4,309,0,0.00,8,8,100.0,3,1,0,3,75.0,0,0,0,0,
70,Pierluigi Gollini,7,7,622,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,
71,Heurelho Gomes,24,24,"2,128",40,1.69,100,61,63.0,7,5,12,5,20.8,3,3,0,0,0.0
72,Alfred Gomis,26,25,"2,261",43,1.71,140,98,73.6,6,7,12,3,12.0,7,6,1,0,14.3
73,Mathieu Gorgelin,4,4,360,6,1.50,13,7,53.8,2,1,1,1,25.0,0,0,0,0,
74,Lee Grant,3,3,270,7,2.33,15,8,53.3,0,1,2,0,0.0,0,0,0,0,
75,Vicente Guaita,33,33,"2,970",26,0.79,111,84,77.5,13,9,11,12,36.4,3,1,1,1,50.0
76,Péter Gulácsi,33,33,"2,970",52,1.58,147,95,68.0,15,8,10,6,18.2,5,5,0,0,0.0
77,Régis Gurtner,37,37,"3,330",41,1.11,171,130,78.4,12,9,16,11,29.7,4,4,0,0,0.0
78,Ben Hamer,4,3,275,7,2.29,13,6,53.8,0,1,2,1,33.3,1,1,0,0,0.0
79,Samir Handanović,38,38,"3,420",30,0.79,117,91,76.1,20,12,6,17,44.7,2,2,0,0,0.0
80,Joe Hart,19,19,"1,710",39,2.05,91,51,61.5,3,6,10,4,21.1,5,4,1,0,20.0
81,Tom Heaton,4,4,305,4,1.18,12,8,66.7,2,1,1,0,0.0,0,0,0,0,
82,Wayne Hennessey,27,27,"2,430",41,1.52,127,88,68.5,8,6,13,7,25.9,1,1,0,0,0.0
83,Iago Herrerín,8,8,720,6,0.75,30,23,86.7,3,4,1,4,50.0,3,2,1,0,33.3
84,Marwin Hitz,32,32,"2,880",42,1.31,159,116,74.2,10,10,12,9,28.1,2,1,1,0,50.0
85,Timo Horn,34,34,"3,060",70,2.06,201,130,69.2,5,7,22,5,14.7,9,8,1,0,11.1
86,Lukáš Hrádecký,34,34,"3,060",45,1.32,133,90,67.7,14,7,13,7,20.6,3,2,0,1,0.0
87,Gorka Iraizoz,9,8,765,13,1.53,36,25,63.9,1,3,4,2,25.0,0,0,0,0,
88,Eldin Jakupović,2,2,180,6,3.00,13,8,53.8,1,0,1,0,0.0,0,0,0,0,
89,Rune Jarstein,31,31,"2,790",44,1.42,140,97,72.1,10,10,11,7,22.6,6,5,0,1,0.0
90,Karl-Johan Johnsson,38,38,"3,420",59,1.55,171,111,68.4,12,11,15,11,28.9,7,5,2,0,28.6
91,Bingourou Kamara,19,19,"1,692",32,1.70,86,54,65.1,4,6,9,2,10.5,2,2,0,0,0.0
92,Loris Karius,19,19,"1,710",14,0.74,45,30,73.3,11,5,3,10,52.6,3,2,1,0,33.3
93,Orestis Karnezis,15,14,"1,292",24,1.67,56,32,62.5,4,3,7,4,28.6,3,3,0,0,0.0
94,Eiji Kawashima,29,29,"2,569",60,2.10,167,106,64.1,5,7,17,2,6.9,2,0,2,0,100.0
95,Hervé Koffi,4,4,360,11,2.75,20,10,50.0,0,1,3,0,0.0,1,1,0,0,0.0
96,Tomáš Koubek,34,34,"3,060",36,1.06,127,91,73.2,16,8,10,10,29.4,5,2,2,1,50.0
97,Maksym Koval,2,2,121,3,2.23,5,2,40.0,,1,1,,,,,,,
98,Thomas Kraft,3,3,270,2,0.67,14,12,92.9,0,3,0,1,33.3,1,1,0,0,0.0
99,Alban Lafont,38,38,"3,420",54,1.42,158,106,69.6,9,10,19,12,31.6,6,6,0,0,0.0
100,Eugenio Lamanna,1,1,90,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
101,Benjamin Lecomte,38,38,"3,420",33,0.87,117,84,76.1,11,18,9,14,36.8,6,5,0,1,0.0
102,Bernd Leno,33,33,"2,970",40,1.21,110,70,68.2,15,10,8,10,30.3,5,5,0,0,0.0
103,Alexandre Letellier,13,13,"1,170",17,1.31,44,28,65.9,2,7,4,1,7.7,2,2,0,0,0.0
104,Raúl Lizoain,11,11,990,27,2.45,66,39,62.1,1,2,8,1,9.1,2,2,0,0,0.0
105,Hugo Lloris,36,36,"3,240",35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,0,1,0.0
106,Anthony Lopes,34,34,"3,060",37,1.09,137,101,76.6,21,8,5,14,41.2,8,5,2,1,28.6
107,Diego López,10,10,854,11,1.16,40,30,75.0,3,5,2,3,30.0,2,1,1,0,50.0
108,Pau López,29,28,"2,566",31,1.09,124,92,77.4,9,8,11,9,32.1,4,3,1,0,25.0
109,Pedro López,5,4,411,8,1.75,16,8,50.0,1,1,2,1,25.0,0,0,0,0,
110,Jonas Lössl,38,38,"3,420",58,1.53,158,99,65.8,9,10,19,10,26.3,6,4,2,0,33.3
111,Andreas Luthe,2,2,180,4,2.00,7,3,57.1,0,1,1,0,0.0,1,1,0,0,0.0
112,Raïs M'Bolhi,1,1,90,3,3.00,6,3,83.3,0,0,1,0,0.0,2,2,0,0,0.0
113,Mike Maignan,34,34,"3,032",53,1.57,160,107,68.8,10,7,17,5,14.7,5,3,2,0,40.0
114,Steve Mandanda,31,31,"2,706",37,1.23,114,77,70.2,18,9,4,11,35.5,5,3,1,1,25.0
115,Gabriele Marchegiani,1,0,1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
116,Emiliano Martínez,5,5,450,7,1.40,19,12,68.4,2,1,2,2,40.0,1,1,0,0,0.0
117,Christian Mathenia,24,24,"2,160",38,1.58,95,58,63.2,4,6,14,6,25.0,4,3,0,1,0.0
118,Alex McCarthy,18,18,"1,620",26,1.44,68,42,63.2,3,8,7,4,22.2,1,1,0,0,0.0
119,Brais Méndez,1,0,,,,,,,,,,,,,,,,
120,Alex Meret,13,13,"1,158",16,1.24,60,44,78.3,2,7,4,4,30.8,5,3,2,0,40.0
121,Mathieu Michel,7,6,597,13,1.96,26,14,57.7,1,2,3,1,16.7,2,2,0,0,0.0
122,Simon Mignolet,19,19,"1,710",24,1.26,59,34,62.7,10,7,2,7,36.8,3,2,1,0,33.3
123,Vanja Milinković-Savić,1,1,90,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
124,Antonio Mirante,33,33,"2,970",46,1.39,144,101,69.4,10,5,18,7,21.2,3,2,0,1,0.0
125,Jessy Moulin,4,3,304,6,1.78,29,23,82.8,1,0,2,1,33.3,1,1,0,0,0.0
126,Florian Müller,5,5,450,7,1.40,21,13,66.7,1,1,3,1,20.0,1,0,1,0,100.0
127,Yvon Mvogo,1,1,90,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
128,Boaz Myhill,1,1,90,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
129,Keylor Navas,27,27,"2,430",31,1.15,111,79,73.9,16,7,4,7,25.9,4,2,2,0,50.0
130,Neto,33,33,"2,970",33,1.00,143,108,79.0,18,7,8,10,30.3,5,3,2,0,40.0
131,Manuel Neuer,3,3,270,2,0.67,7,5,71.4,2,0,1,2,66.7,0,0,0,0,
132,Alexander Nübel,1,0,45,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,
133,Jan Oblak,37,37,"3,330",22,0.59,126,102,83.3,22,10,5,22,59.5,4,1,3,0,75.0
134,Oier Olazábal,26,26,"2,340",39,1.50,122,85,72.1,9,7,10,7,26.9,6,5,0,1,0.0
135,David Ospina,5,4,381,3,0.71,12,9,75.0,3,0,1,2,50.0,0,0,0,0,
136,Alexandre Oukidja,17,16,"1,457",29,1.79,71,41,64.8,3,5,8,2,12.5,5,4,1,0,20.0
137,Ramazan Özcan,1,1,90,4,4.00,8,3,50.0,0,0,1,0,0.0,1,0,1,0,100.0
138,Fernando Pacheco,38,37,"3,357",50,1.34,171,121,74.9,15,2,20,12,32.4,10,7,2,1,22.2
139,Costel Pantilimon,6,6,540,9,1.50,26,18,69.2,3,0,3,1,16.7,1,1,0,0,0.0
140,Jiří Pavlenka,34,34,"3,060",40,1.18,162,123,76.5,10,12,12,8,23.5,4,2,1,1,33.3
141,Gianluca Pegolo,2,1,104,1,0.87,6,6,83.3,0,0,1,0,0.0,0,0,0,0,
142,Yohann Pelé,9,7,714,10,1.26,27,18,66.7,4,2,1,3,42.9,1,1,0,0,0.0
143,Mattia Perin,37,37,"3,330",42,1.14,167,127,77.2,11,8,18,12,32.4,4,4,0,0,0.0
144,Jordan Pickford,38,38,"3,420",58,1.53,178,119,69.1,13,10,15,10,26.3,5,3,1,1,25.0
145,Carlo Pinsoglio,1,0,28,1,3.21,2,1,50.0,0,0,0,0,,0,0,0,0,
146,Julian Pollersbeck,10,10,900,15,1.50,47,32,68.1,4,1,5,1,10.0,0,0,0,0,
147,Nick Pope,35,34,"3,115",35,1.01,148,113,78.4,12,11,11,12,35.3,5,3,1,1,25.0
148,Nicolas de Préville,1,0,11,1,8.18,2,1,50.0,0,0,0,0,,0,0,0,0,
149,Andrés Prieto,4,4,360,10,2.50,20,10,60.0,0,0,4,0,0.0,2,2,0,0,0.0
150,Jérôme Prior,2,2,180,3,1.50,9,6,66.7,0,0,2,0,0.0,0,0,0,0,
151,Christian Puggioni,14,14,"1,179",26,1.98,65,39,67.7,3,1,10,2,14.3,6,5,0,1,0.0
152,Christian Puggioni,9,9,810,12,1.33,53,41,83.0,5,2,2,3,33.3,3,3,0,0,0.0
153,Rafael,10,8,794,11,1.25,39,28,74.4,4,1,3,1,12.5,1,1,0,0,0.0
154,Toño Ramírez,4,3,315,6,1.71,11,5,45.5,1,0,2,2,66.7,0,0,0,0,
155,Pepe Reina,37,37,"3,330",29,0.78,97,68,72.2,28,6,3,18,48.6,2,2,0,0,0.0
156,Baptiste Reynet,38,38,"3,420",73,1.92,201,128,69.2,13,9,16,5,13.2,14,11,3,0,21.4
157,Sergio Rico,24,23,"2,155",39,1.63,92,52,60.9,10,3,10,9,39.1,5,3,1,1,25.0
158,Asier Riesgo,1,1,90,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
159,Roberto,34,34,"3,060",51,1.50,150,98,68.7,5,5,24,6,17.6,5,4,1,0,20.0
160,Sergio Romero,1,1,90,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
161,Francesco Rossi,1,0,8,1,11.25,2,1,50.0,0,0,0,0,,0,0,0,0,
162,Rubén,28,27,"2,477",58,2.11,134,77,58.2,3,9,15,4,14.8,3,2,1,0,33.3
163,Stéphane Ruffier,35,35,"3,112",44,1.27,150,106,74.0,14,10,11,12,34.3,6,5,1,0,16.7
164,Gerónimo Rulli,26,26,"2,340",45,1.73,105,61,61.0,10,5,11,6,23.1,5,4,1,0,20.0
165,Mathew Ryan,38,38,"3,420",54,1.42,172,121,69.2,9,13,16,10,26.3,3,1,2,0,66.7
166,Mamadou Samassa,21,21,"1,890",31,1.48,101,70,71.3,6,3,12,5,23.8,3,2,1,0,33.3
167,Brice Samba,4,3,315,4,1.14,19,15,84.2,1,1,1,2,66.7,1,1,0,0,0.0
168,Antonio Santurro,1,1,90,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
169,Kasper Schmeichel,33,33,"2,965",47,1.43,138,90,66.7,11,10,12,8,24.2,3,1,2,0,66.7
170,Alexander Schwolow,33,33,"2,906",53,1.64,151,102,67.5,8,11,14,9,27.3,5,4,0,1,0.0
171,Simone Scuffet,6,6,540,11,1.83,27,16,59.3,1,0,5,1,16.7,1,0,1,0,100.0
172,Luigi Sepe,1,1,90,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
173,Marco Silvestri,2,2,180,7,3.50,25,18,72.0,0,0,2,0,0.0,0,0,0,0,
174,Tobias Sippel,5,4,435,10,2.07,23,13,56.5,1,0,3,1,25.0,0,0,0,0,
175,Salvatore Sirigu,37,37,"3,330",45,1.22,158,110,74.7,12,15,10,10,27.0,8,5,3,0,37.5
176,Antonio Sivera,1,1,63,,,1,1,,,,1,,,,,,,
177,Łukasz Skorupski,1,1,90,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
178,Yann Sommer,30,30,"2,625",42,1.44,151,110,74.8,12,8,10,6,20.0,4,4,0,0,0.0
179,David Soria,15,15,"1,265",19,1.35,58,40,70.7,7,4,4,5,33.3,3,2,0,1,0.0
180,Stefano Sorrentino,38,38,"3,420",59,1.55,187,129,70.6,10,10,18,7,18.4,7,4,3,0,42.9
181,Julián Speroni,11,11,990,14,1.27,43,29,69.8,3,5,3,2,18.2,1,1,0,0,0.0
182,Marco Sportiello,37,37,"3,202",38,1.07,131,92,72.5,16,9,12,14,37.8,3,2,1,0,33.3
183,Tom Starke,2,2,180,0,0.00,4,4,100.0,2,0,0,2,100.0,0,0,0,0,
184,Thomas Strakosha,38,38,"3,420",49,1.29,159,111,74.8,21,9,8,11,28.9,10,9,1,0,10.0
185,Danijel Subašić,34,34,"2,940",41,1.26,125,85,70.4,21,8,5,10,29.4,4,4,0,0,0.0
186,Seydou Sy,3,2,255,4,1.41,16,12,81.3,1,0,1,1,50.0,1,1,0,0,0.0
187,Wojciech Szczęsny,17,17,"1,530",9,0.53,33,24,72.7,13,3,1,11,64.7,0,0,0,0,
188,Ciprian Tătărușanu,37,37,"3,330",38,1.03,133,96,72.9,14,10,13,12,32.4,3,2,0,1,0.0
189,Marc-André ter Stegen,37,37,"3,330",28,0.76,126,98,79.4,27,9,1,19,51.4,2,2,0,0,0.0
190,Kevin Trapp,4,4,360,4,1.00,17,13,88.2,3,0,1,1,25.0,2,2,0,0,0.0
191,Philipp Tschauner,31,31,"2,790",45,1.45,158,113,72.8,9,9,13,5,16.1,3,2,0,1,0.0
192,Przemysław Tytoń,2,1,97,4,3.71,5,1,20.0,0,0,1,0,0.0,0,0,0,0,
193,Sven Ulreich,29,29,"2,610",26,0.90,84,58,70.2,23,3,3,12,41.4,4,1,3,0,75.0
194,Francis Uzoho,2,2,180,2,1.00,9,7,88.9,0,1,1,1,50.0,1,1,0,0,0.0
