,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
0,Ismael Aaneba,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
1,Patrick van Aanholt,3,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0,0,2.6,2.6,0.06
2,Ignazio Abate,0,1,1,100.0,0.07,0.07,0.00,0.00,12.5,0,0,0,0.1,0.1,0.08
3,Yunis Abdelhamid,0,19,4,21.1,0.50,0.11,0.00,0.00,15.4,0,0,0,1.6,1.6,0.09
4,Mehdi Abeid,3,36,10,27.8,1.60,0.44,0.06,0.20,24.9,0,1,1,2.9,2.1,0.06
5,Charles Abi,0,1,0,0.0,2.81,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.06
6,David Abraham,0,5,1,20.0,0.32,0.06,0.00,0.00,11.4,0,0,0,0.8,0.8,0.15
7,Amir Abrashi,0,7,2,28.6,0.80,0.23,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03
8,Francesco Acerbi,3,18,7,38.9,0.49,0.19,0.17,0.43,9.8,0,0,0,3.4,3.4,0.20
9,Afriyie Acquah,2,22,7,31.8,1.31,0.42,0.09,0.29,20.8,0,0,0,1.4,1.4,0.07
10,Tyler Adams,0,2,1,50.0,0.25,0.12,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03
11,Antonio Adán,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
12,Aday,0,9,3,33.3,1.26,0.42,0.00,0.00,27.1,2,0,0,0.3,0.3,0.03
13,Khaled Adénon,0,8,0,0.0,0.36,0.00,0.00,,10.8,0,0,0,0.7,0.7,0.09
14,Claud Adjapong,1,2,1,50.0,0.67,0.33,0.50,1.00,18.0,0,0,0,0.7,0.7,0.36
15,Yacine Adli,0,1,0,0.0,0.42,0.00,0.00,,46.4,0,0,0,0.0,0.0,0.02
16,Ali Adnan Kadhim,0,3,0,0.0,1.63,0.00,0.00,,17.0,0,0,0,0.2,0.2,0.08
17,Aritz Aduriz,2,17,9,52.9,1.62,0.86,0.00,0.00,15.0,0,2,2,3.3,1.8,0.10
18,Luis Advíncula,1,17,5,29.4,0.64,0.19,0.06,0.20,21.8,0,0,0,1.1,1.1,0.06
19,Martin Agirregabiria,0,1,0,0.0,0.04,0.00,0.00,,23.8,0,0,0,0.0,0.0,0.03
20,Nayef Aguerd,3,10,4,40.0,0.86,0.34,0.30,0.75,14.0,0,0,0,1.5,1.5,0.15
21,Sergio Agüero,21,116,41,35.3,4.25,1.50,0.16,0.46,15.0,3,2,2,18.1,16.5,0.14
22,Ruben Aguilar,1,13,4,30.8,0.46,0.14,0.08,0.25,20.1,0,0,0,0.9,0.9,0.07
23,Juan Aguilera,0,3,1,33.3,0.78,0.26,0.00,0.00,19.0,0,0,0,0.5,0.5,0.17
24,Emmanuel Agyemang-Badu,0,2,0,0.0,1.12,0.00,0.00,,13.0,0,0,0,0.1,0.1,0.05
25,Jean-Eudes Aholou,0,13,3,23.1,1.09,0.25,0.00,0.00,18.8,0,0,0,0.8,0.8,0.06
26,Antonis Aidonis,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
27,Ola Aina,1,24,5,20.8,1.00,0.21,0.04,0.20,19.5,0,0,0,1.4,1.4,0.06
28,Youssef Aït Bennasser,0,7,1,14.3,0.67,0.10,0.00,0.00,27.4,0,0,0,0.3,0.3,0.04
29,Youssef Aït Bennasser,0,8,1,12.5,0.67,0.08,0.00,0.00,28.1,0,0,0,0.3,0.3,0.03
30,Rayan Aït-Nouri,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
31,Ludovic Ajorque,9,46,17,37.0,2.70,1.00,0.20,0.53,15.5,2,0,0,5.7,5.7,0.12
32,Manuel Akanji,1,7,2,28.6,0.29,0.08,0.14,0.50,13.2,0,0,0,0.5,0.5,0.07
33,Carlos Akapo,0,7,1,14.3,0.62,0.09,0.00,0.00,24.2,0,0,0,0.2,0.2,0.03
34,Nathan Aké,4,25,8,32.0,0.66,0.21,0.16,0.50,9.4,0,0,0,3.4,3.4,0.13
35,Sergio Akieme,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
