,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
0,Adrián,3,3,270,9,3.00,18,9,50.0,1,1,1,1,33.3,0,0,0,0,
1,Rúnar Alex Rúnarsson,1,0,16,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,
2,Alisson,33,33,"2,970",32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,3,20.0
3,Saturnin Allagbé,12,12,"1,080",30,2.50,66,36,56.1,2,2,8,3,25.0,3,1,1,1,50.0
4,Nícolas Andrade,2,2,180,5,2.50,6,1,16.7,1,0,1,0,0.0,0,0,0,0,
5,Ángel,1,1,90,2,2.00,9,6,88.9,0,0,1,0,0.0,2,1,1,0,50.0
6,Alphonse Areola,36,36,"3,240",48,1.33,161,114,73.9,5,13,18,9,25.0,6,6,0,0,0.0
7,Kepa Arrizabalaga,7,6,585,8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,0.0
8,Sergio Asenjo,36,36,"3,240",40,1.11,118,79,72.0,15,13,8,10,27.8,9,7,1,1,12.5
9,Emil Audero,37,37,"3,330",54,1.46,173,118,72.8,14,7,16,6,16.2,9,7,2,0,22.2
10,Édgar Badía,30,30,"2,700",46,1.53,141,92,70.9,5,11,14,5,16.7,9,5,3,1,37.5
11,Stefan Bajic,1,1,90,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,
12,Oliver Baumann,31,31,"2,790",51,1.65,132,81,65.9,10,8,13,6,19.4,9,6,2,1,25.0
13,Walter Benítez,38,38,"3,420",53,1.39,176,123,73.9,15,7,16,9,23.7,7,7,0,0,0.0
14,Alessandro Berardi,1,0,28,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
15,Paul Bernardoni,38,38,"3,420",58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5
16,Dimitry Bertaud,9,7,745,11,1.33,42,31,76.2,4,2,1,3,42.9,1,1,0,0,0.0
17,Rubén Blanco,19,19,"1,637",27,1.48,61,34,57.4,7,6,6,4,21.1,1,1,0,0,0.0
18,Elias Bördner,1,1,90,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
19,Yassine Bounou,33,33,"2,970",28,0.85,106,78,77.4,21,5,7,15,45.5,6,4,2,0,33.3
20,Claudio Bravo,20,20,"1,800",25,1.25,75,50,72.0,8,8,4,7,35.0,5,4,1,0,20.0
21,Fabian Bredlow,1,1,90,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,
22,Gianluigi Buffon,8,8,720,5,0.62,21,15,85.7,7,1,0,3,37.5,3,2,1,0,33.3
23,Roman Bürki,19,18,"1,665",30,1.62,92,62,71.7,9,2,7,4,22.2,4,4,0,0,0.0
24,Jack Butland,1,1,90,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,
25,David Button,1,1,90,2,2.00,6,4,66.7,1,0,0,0,0.0,0,0,0,0,
26,Marcin Bułka,1,1,90,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
27,Willy Caballero,1,1,90,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,
28,Marc-Aurèle Caillard,5,4,361,10,2.49,23,13,69.6,0,1,3,0,0.0,3,3,0,0,0.0
29,Cárdenas,8,8,720,11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,1,
30,Scott Carson,1,1,90,3,3.00,5,1,60.0,1,0,0,0,0.0,2,1,1,0,50.0
31,Kiko Casilla,3,3,270,2,0.67,10,8,80.0,2,0,1,1,33.3,0,0,0,0,
32,Koen Casteels,32,32,"2,880",33,1.03,108,74,72.2,17,9,6,14,43.8,5,3,2,0,40.0
33,Sébastien Cibois,3,3,270,4,1.33,11,7,72.7,1,1,1,1,33.3,1,1,0,0,0.0
34,Alberto Cifuentes,2,2,180,3,1.50,6,2,50.0,1,0,1,1,50.0,0,0,0,0,
35,Jasper Cillessen,10,10,900,11,1.10,45,33,77.8,5,1,4,3,30.0,2,1,1,0,50.0
36,Simone Colombi,2,2,180,7,3.50,10,3,40.0,0,0,2,0,0.0,1,1,0,0,0.0
37,Andrea Consigli,37,37,"3,330",56,1.51,185,129,71.9,17,10,10,7,18.9,5,4,1,0,20.0
38,Alex Cordaz,36,36,"3,240",91,2.53,207,118,58.5,6,3,27,2,5.6,5,5,0,0,0.0
39,Angelo da Costa Júnior,6,6,540,9,1.50,27,18,70.4,0,5,1,1,16.7,1,1,0,0,0.0
40,Benoît Costil,38,38,"3,420",56,1.47,156,100,68.6,13,6,19,14,36.8,8,7,1,0,12.5
41,Thibaut Courtois,38,38,"3,420",28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5
42,Alessio Cragno,34,34,"3,060",53,1.56,182,129,73.6,6,10,18,6,17.6,5,5,0,0,0.0
43,Gian Crespi,1,1,90,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
44,Finn Dahmen,3,3,270,10,3.33,20,10,55.0,1,0,2,0,0.0,1,1,0,0,0.0
45,Karl Darlow,25,25,"2,250",43,1.72,126,84,68.3,7,4,14,4,16.0,4,3,1,0,25.0
46,Yehvann Diouf,2,1,135,1,0.67,6,5,100.0,0,0,1,0,0.0,1,1,0,0,0.0
47,Marko Dmitrović,35,35,"3,120",49,1.41,129,79,64.3,6,11,18,9,25.7,5,3,1,1,25.0
48,Jaume Doménech,28,28,"2,520",42,1.50,130,88,70.8,5,12,11,4,14.3,6,4,2,0,33.3
49,Gianluigi Donnarumma,37,37,"3,330",38,1.03,126,88,71.4,24,6,7,14,37.8,4,2,1,1,33.3
50,Bartłomiej Drągowski,36,36,"3,148",55,1.57,141,85,66.7,9,12,15,7,19.4,10,8,2,0,20.0
51,Matthieu Dreyer,15,15,"1,350",25,1.67,56,32,66.1,5,5,5,2,13.3,6,6,0,0,0.0
52,Martin Dúbravka,13,13,"1,170",19,1.46,62,44,71.0,5,5,3,3,23.1,1,1,0,0,0.0
53,Ederson,36,36,"3,240",28,0.78,93,65,77.4,25,5,6,19,52.8,8,7,1,0,12.5
54,Aarón Escandell,5,5,450,8,1.60,24,16,66.7,1,1,3,1,20.0,0,0,0,0,
55,Jokin Ezkieta,1,1,90,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
56,Łukasz Fabiański,35,35,"3,150",44,1.26,138,97,70.3,17,8,10,10,28.6,5,3,1,1,25.0
57,Ralf Fährmann,22,22,"1,876",50,2.40,143,94,67.1,3,3,16,3,13.6,4,3,1,0,25.0
58,Wuilker Faríñez,3,1,107,3,2.52,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0
59,Aitor Fernández,29,29,"2,610",44,1.52,120,78,65.8,8,11,10,3,10.3,3,3,0,0,0.0
60,Álvaro Fernández,22,22,"1,980",32,1.45,95,64,68.4,5,5,12,5,22.7,2,2,0,0,0.0
61,Andrés Fernández,16,16,"1,440",21,1.31,54,34,66.7,2,8,6,4,25.0,3,3,0,0,0.0
62,Marco Festa,1,1,90,1,1.00,8,7,87.5,0,1,0,0,0.0,0,0,0,0,
63,Mark Flekken,3,3,270,6,2.00,18,12,77.8,1,1,1,0,0.0,3,2,0,1,0.0
64,Fraser Forster,8,8,720,11,1.37,31,19,71.0,4,0,4,2,25.0,3,2,1,0,33.3
65,Daniel Fuzato,5,5,450,7,1.40,26,19,73.1,2,1,2,2,40.0,0,0,0,0,
66,Manuel Gasparini,1,0,3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
67,Paulo Gazzaniga,8,8,720,9,1.13,22,14,63.6,3,1,4,2,25.0,1,1,0,0,0.0
68,David de Gea,26,26,"2,295",32,1.25,90,59,68.9,12,9,5,9,34.6,4,4,0,0,0.0
69,Rafał Gikiewicz,34,34,"3,060",54,1.59,178,126,73.0,10,6,18,7,20.6,9,6,1,2,14.3
70,David Gil,4,4,360,10,2.50,17,7,47.1,0,1,3,0,0.0,1,1,0,0,0.0
