,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
0,Álvaro Aceves,1,0,13,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,
1,Julen Agirrezabala,8,7,675,6,0.80,19,13,68.4,1,3,3,2,28.6,0,0,0,0,
2,Doğan Alemdar,6,4,406,8,1.77,16,7,56.3,2,0,2,1,25.0,2,1,1,0,50.0
3,Alisson,37,37,"3,330",43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3
4,Alphonse Areola,5,2,309,7,2.04,16,9,68.8,0,1,1,1,50.0,2,2,0,0,0.0
5,Kepa Arrizabalaga,29,29,"2,565",33,1.16,120,90,73.3,8,9,12,9,31.0,1,1,0,0,0.0
6,Sergio Asenjo,10,10,900,21,2.10,51,30,60.8,2,2,6,1,10.0,1,1,0,0,0.0
7,Emil Audero,25,25,"2,250",39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0,28.6
8,Édgar Badía,36,36,"3,240",63,1.75,200,136,72.0,5,10,21,4,11.1,10,7,3,0,30.0
9,Francesco Bardi,1,1,90,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
10,Oliver Baumann,34,34,"3,060",57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0
11,Gavin Bazunu,32,32,"2,880",56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50.0
12,Asmir Begović,1,1,90,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
13,Daniel Bentley,2,2,180,3,1.50,13,10,76.9,0,1,1,0,0.0,0,0,0,0,
14,Paul Bernardoni,27,27,"2,430",62,2.30,143,84,62.2,1,5,21,3,11.1,9,8,0,1,0.0
15,Marco Bizot,37,37,"3,330",54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2
16,Rubén Blanco,6,6,495,6,1.09,19,15,68.4,1,3,2,0,0.0,0,0,0,0,
17,Janis Blaswich,26,26,"2,340",29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3
18,Joaquín Blázquez,1,1,90,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
