,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
19,Yassine Bounou,25,25,"2,151",41,1.72,106,66,63.2,7,6,12,4,16.0,3,2,1,0,33.3
20,Claudio Bravo,12,12,"1,080",9,0.75,42,33,81.0,5,5,2,4,33.3,1,1,0,0,0.0
21,Fabian Bredlow,15,15,"1,350",23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0.0
22,Marcin Bułka,2,2,180,2,1.00,6,4,66.7,0,1,1,0,0.0,0,0,0,0,
23,Juan Carlos,10,10,900,18,1.80,43,25,62.8,2,2,6,0,0.0,2,2,0,0,0.0
24,Marco Carnesecchi,27,27,"2,430",47,1.74,153,107,70.6,4,9,14,4,14.8,2,2,0,0,0.0
25,Matis Carvalho,2,1,136,3,1.99,8,5,62.5,0,0,1,1,100.0,0,0,0,0,
26,Koen Casteels,34,34,"3,060",48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0
27,Michele Cerofolini,5,5,450,3,0.60,11,8,81.8,4,1,0,2,40.0,1,1,0,0,0.0
28,Lucas Chevalier,32,32,"2,880",31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,0,33.3
29,Oliver Christensen,33,33,"2,970",68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7
30,Andrea Consigli,35,35,"3,150",55,1.57,117,64,55.6,12,8,15,9,25.7,3,3,0,0,0.0
31,Alex Cordaz,1,0,26,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,
32,Benoît Costil,19,19,"1,710",41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,0.0
33,Thibaut Courtois,31,31,"2,790",29,0.94,118,88,78.8,20,5,6,10,32.3,5,4,1,0,20.0
34,Alessio Cragno,1,1,90,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
35,Finn Dahmen,8,8,720,16,2.00,44,26,65.9,3,2,3,0,0.0,3,1,2,0,66.7
36,Rémy Descamps,1,1,90,1,1.00,6,5,83.3,0,1,0,0,0.0,0,0,0,0,
37,Michele Di Gregorio,37,37,"3,330",49,1.32,167,119,72.5,14,10,13,10,27.0,3,3,0,0,0.0
38,Mory Diaw,37,37,"3,330",47,1.27,161,110,75.8,17,8,12,10,27.0,12,8,4,0,33.3
39,Stole Dimitrievski,37,37,"3,324",49,1.33,139,94,67.6,13,10,14,9,24.3,5,4,0,1,0.0
40,Yehvann Diouf,31,31,"2,790",31,1.00,137,107,78.1,11,12,8,14,45.2,1,1,0,0,0.0
41,Ouparine Djoco,1,1,90,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
42,Marko Dmitrović,15,13,"1,269",13,0.92,55,43,76.4,6,4,3,5,38.5,0,0,0,0,
43,Gianluigi Donnarumma,38,38,"3,409",40,1.06,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3
44,Bartłomiej Drągowski,34,34,"2,946",54,1.65,164,112,69.5,6,10,18,6,17.6,6,4,1,1,20.0
45,Martin Dúbravka,2,1,157,1,0.57,9,9,88.9,0,1,0,0,0.0,0,0,0,0,
46,Maxime Dupé,38,38,"3,420",57,1.50,179,122,70.4,13,9,16,9,23.7,7,4,3,0,42.9
47,Ederson,35,35,"3,150",32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,0.0
48,Tjark Ernst,1,1,90,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,
49,Łukasz Fabiański,36,36,"3,111",48,1.39,154,106,70.1,11,6,19,8,22.2,4,2,1,1,33.3
50,Ralf Fährmann,12,12,"1,025",13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0.0
51,Wladimiro Falcone,38,38,"3,420",46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0,16.7
52,Aitor Fernández,21,21,"1,890",19,0.90,77,59,75.3,10,5,6,8,38.1,0,0,0,0,
53,Álvaro Fernández,11,11,990,18,1.64,50,33,64.0,3,4,4,2,18.2,0,0,0,0,
54,Fernando,37,37,"3,285",61,1.67,193,132,70.5,11,8,18,4,10.8,6,4,1,1,20.0
55,Vincenzo Fiorillo,1,1,90,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,
56,Mark Flekken,34,34,"3,060",44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0
57,Yahia Fofana,11,11,990,19,1.73,54,35,66.7,3,1,7,1,9.1,2,1,1,0,50.0
58,Fraser Forster,14,13,"1,215",24,1.78,55,30,60.0,5,3,5,3,23.1,3,2,1,0,33.3
59,Gauthier Gallon,30,30,"2,667",65,2.19,177,114,66.1,3,9,18,0,0.0,5,5,0,0,0.0
60,Joan García,1,1,90,3,3.00,4,1,50.0,0,1,0,0,0.0,1,1,0,0,0.0
61,Paulo Gazzaniga,28,28,"2,520",37,1.32,125,87,73.6,11,8,9,4,14.3,6,4,1,1,20.0
62,David de Gea,38,38,"3,420",43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3
63,Rafał Gikiewicz,23,23,"2,070",41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,1,66.7
64,David Gil,4,4,360,5,1.25,23,18,82.6,1,1,2,1,25.0,1,1,0,0,0.0
65,Pierluigi Gollini,3,3,270,2,0.67,8,6,75.0,1,2,0,2,66.7,0,0,0,0,
66,Pierluigi Gollini,4,4,360,4,1.00,16,12,75.0,2,1,1,2,50.0,0,0,0,0,
67,Antonio Gomis,1,0,6,1,15.00,1,0,0.0,0,0,0,0,,0,0,0,0,
68,Ivo Grbić,12,10,922,12,1.17,48,36,81.3,6,3,1,2,20.0,3,3,0,0,0.0
69,Dominik Greif,1,1,90,3,3.00,8,5,62.5,0,0,1,0,0.0,0,0,0,0,
70,Lennart Grill,5,5,450,11,2.20,25,14,64.0,2,1,2,2,40.0,2,2,0,0,0.0
71,Vicente Guaita,27,27,"2,430",34,1.26,116,84,72.4,7,9,11,6,22.2,2,2,0,0,0.0
72,Péter Gulácsi,6,6,540,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0
73,Samir Handanović,14,14,"1,234",18,1.31,52,35,67.3,9,0,5,4,28.6,1,1,0,0,0.0
74,Dean Henderson,18,18,"1,620",31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50.0
75,Wayne Hennessey,4,3,271,5,1.66,14,9,64.3,0,2,1,1,33.3,0,0,0,0,
76,Sergio Herrera,17,17,"1,530",23,1.35,71,48,69.0,5,3,9,3,17.6,4,1,1,2,50.0
77,Lukáš Hrádecký,33,33,"2,969",47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,0.0
78,Daniel Iversen,12,12,"1,080",22,1.83,59,38,66.1,2,4,6,1,8.3,2,2,0,0,0.0
79,Léo Jardim,6,6,540,13,2.17,17,4,35.3,3,1,2,0,0.0,2,2,0,0,0.0
80,Sam Johnstone,9,9,810,10,1.11,34,25,76.5,4,3,2,3,33.3,2,2,0,0,0.0
81,Filip Jørgensen,2,2,180,3,1.50,6,3,50.0,0,1,1,0,0.0,0,0,0,0,
82,Bingourou Kamara,5,4,408,11,2.43,25,13,60.0,0,1,3,0,0.0,3,1,1,1,50.0
83,Caoimhín Kelleher,1,1,90,4,4.00,10,6,60.0,0,1,0,0,0.0,0,0,0,0,
84,Gregor Kobel,27,27,"2,430",32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,0.0
85,Tomáš Koubek,11,11,990,22,2.00,65,45,66.2,1,4,6,1,9.1,0,0,0,0,
86,Alban Lafont,37,37,"3,329",54,1.46,179,129,74.9,7,14,16,11,29.7,9,9,0,0,0.0
87,Jean-Louis Leca,1,1,90,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,
88,Benjamin Lecomte,10,10,899,14,1.40,40,27,65.0,1,5,4,1,10.0,0,0,0,0,
89,Benjamin Lecomte,19,19,"1,710",22,1.16,96,72,79.2,10,3,6,8,42.1,4,2,2,0,50.0
90,Jeremías Ledesma,34,34,"3,060",48,1.41,179,130,77.7,9,11,14,12,35.3,9,8,1,0,11.1
91,Bernd Leno,36,36,"3,240",51,1.42,192,142,77.1,15,5,16,8,22.2,8,7,1,0,12.5
92,Donovan Léon,2,2,180,2,1.00,11,9,90.9,1,1,0,0,0.0,1,1,0,0,0.0
93,Benjamin Leroy,32,32,"2,798",60,1.93,133,74,60.9,6,4,22,4,12.5,9,8,0,1,0.0
94,Alexandre Letellier,1,0,11,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
95,Mateusz Lis,9,8,751,16,1.92,51,34,72.5,1,3,4,1,12.5,3,2,1,0,33.3
96,Hugo Lloris,25,25,"2,205",39,1.59,117,79,67.5,13,3,9,7,28.0,1,1,0,0,0.0
97,Anthony Lopes,32,32,"2,816",39,1.25,131,94,75.6,16,4,12,7,21.9,7,7,0,0,0.0
98,Diego López,2,1,96,4,3.75,5,1,20.0,0,0,1,0,0.0,0,0,0,0,
99,Pau López,33,32,"2,925",34,1.05,123,90,76.4,21,4,7,10,31.3,5,5,0,0,0.0
100,Andriy Lunin,7,7,630,7,1.00,18,12,61.1,4,1,2,3,42.9,0,0,0,0,
101,Andrey Lunyov,1,1,90,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
102,Mike Maignan,22,22,"1,978",21,0.96,62,40,69.4,11,7,4,8,36.4,3,2,1,0,33.3
103,Giorgi Mamardashvili,38,38,"3,420",45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0
104,Steve Mandanda,34,34,"3,014",31,0.93,110,79,73.6,19,5,10,12,35.3,3,2,1,0,33.3
105,Vito Mannone,18,17,"1,608",24,1.34,84,60,72.6,4,6,7,5,29.4,1,1,0,0,0.0
106,Agustín Marchesín,19,19,"1,710",29,1.53,72,42,62.5,5,5,9,6,31.6,4,2,2,0,50.0
107,Federico Marchetti,1,0,66,2,2.73,3,1,33.3,0,0,0,0,,0,0,0,0,
108,Diego Mariño,1,0,45,2,4.00,5,3,60.0,0,0,0,0,,0,0,0,0,
109,Emiliano Martínez,36,36,"3,139",38,1.09,132,97,74.2,17,7,12,11,30.6,5,4,1,0,20.0
110,Jordi Masip,28,28,"2,507",42,1.51,145,101,74.5,9,5,14,8,28.6,9,5,3,1,37.5
111,Luís Maximiano,1,1,5,,,,,,1,,,,,,,,,
112,Alex McCarthy,6,6,540,17,2.83,30,14,46.7,0,1,5,0,0.0,1,1,0,0,0.0
113,Edouard Mendy,10,9,855,14,1.47,39,25,64.1,3,2,4,1,11.1,0,0,0,0,
114,Alex Meret,34,34,"3,060",24,0.71,91,66,74.7,26,5,3,16,47.1,2,1,1,0,50.0
115,Illan Meslier,34,34,"3,060",67,1.97,158,92,59.5,7,9,18,5,14.7,3,3,0,0,0.0
116,Alexander Meyer,7,7,630,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,
117,Vanja Milinković-Savić,38,38,"3,420",41,1.08,136,95,73.5,14,11,13,11,28.9,6,5,0,1,0.0
118,Antonio Mirante,1,0,2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
119,Lorenzo Montipò,37,37,"3,330",59,1.59,181,124,68.0,7,9,21,5,13.5,2,1,1,0,50.0
120,Florian Müller,19,19,"1,710",34,1.79,87,53,62.1,3,7,9,1,5.3,1,1,0,0,0.0
121,Juan Musso,24,24,"2,077",27,1.17,89,64,71.9,13,4,7,7,29.2,2,2,0,0,0.0
122,Yvon Mvogo,21,21,"1,812",29,1.44,98,70,71.4,11,4,6,3,14.3,1,1,0,0,0.0
123,Keylor Navas,17,17,"1,529",32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,0.0
124,Neto,27,27,"2,385",39,1.47,138,100,74.6,9,6,12,6,22.2,5,4,0,1,0.0
125,Manuel Neuer,12,12,"1,080",11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0.0
126,Alexander Nübel,38,38,"3,420",58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,0.0
127,Ørjan Nyland,2,2,180,2,1.00,5,4,60.0,2,0,0,1,50.0,0,0,0,0,
128,Jan Oblak,28,28,"2,492",20,0.72,79,59,75.9,17,5,6,11,39.3,2,1,0,1,0.0
129,Guillermo Ochoa,20,20,"1,800",33,1.65,105,71,71.4,4,10,6,4,20.0,4,3,1,0,25.0
130,Jan Olschowsky,4,4,360,11,2.75,31,20,67.7,1,1,2,0,0.0,1,1,0,0,0.0
131,Robin Olsen,4,2,281,8,2.56,19,11,63.2,1,0,1,1,50.0,1,1,0,0,0.0
132,Jonas Omlin,14,14,"1,166",26,2.01,73,48,68.5,5,1,8,2,14.3,4,3,1,0,25.0
133,Jonas Omlin,15,15,"1,290",18,1.26,56,38,71.4,5,4,6,5,33.3,2,2,0,0,0.0
134,André Onana,24,24,"2,160",24,1.00,83,61,73.5,14,3,7,8,33.3,2,2,0,0,0.0
135,Stefan Ortega,3,3,270,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,0,
136,Fernando Pacheco,1,1,90,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
137,Fernando Pacheco,16,16,"1,440",33,2.06,88,54,67.0,4,3,9,3,18.8,5,4,1,0,20.0
138,Rui Patrício,35,35,"3,150",35,1.00,108,73,69.4,17,8,10,13,37.1,3,2,1,0,33.3
139,Jiří Pavlenka,33,33,"2,908",61,1.89,170,110,65.3,10,5,18,4,12.1,3,2,1,0,33.3
140,Gianluca Pegolo,2,2,180,3,1.50,6,3,66.7,0,1,1,0,0.0,1,1,0,0,0.0
141,Iñaki Peña,2,0,73,2,2.47,4,2,50.0,0,0,0,0,,0,0,0,0,
142,Patrick Pentz,7,7,630,14,2.00,29,16,58.6,1,3,3,0,0.0,2,2,0,0,0.0
143,Simone Perilli,1,1,90,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,
144,Mattia Perin,11,10,948,7,0.66,40,32,85.0,5,3,2,6,60.0,2,1,1,0,50.0
145,Samuele Perisan,7,7,630,9,1.29,24,15,62.5,1,1,5,2,28.6,0,0,0,0,
146,Jordan Pickford,37,37,"3,330",57,1.54,181,123,71.3,7,12,18,8,21.6,6,5,1,0,16.7
147,Nick Pope,37,37,"3,261",32,0.88,118,85,74.6,19,13,5,14,37.8,5,2,2,1,50.0
148,Ivan Provedel,38,37,"3,413",30,0.79,128,99,77.3,21,8,8,21,56.8,2,1,0,1,0.0
149,Ghjuvanni Quilichini,1,0,82,0,0.00,4,4,100.0,0,0,0,1,,0,0,0,0,
150,Ionuț Radu,9,9,810,19,2.11,64,45,75.0,0,3,6,1,11.1,3,3,0,0,0.0
151,Ionuț Radu,17,17,"1,530",20,1.18,74,53,73.0,4,6,7,5,29.4,2,0,2,0,100.0
152,Predrag Rajković,36,36,"3,240",40,1.11,133,92,74.4,13,8,15,12,33.3,7,6,1,0,14.3
153,Diant Ramaj,1,1,90,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
154,Aaron Ramsdale,38,38,"3,420",43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0
155,Nicola Ravaglia,9,9,810,23,2.56,64,41,67.2,0,3,6,0,0.0,2,2,0,0,0.0
156,David Raya,38,38,"3,420",46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0
157,Pepe Reina,22,22,"1,980",27,1.23,87,61,73.6,13,3,6,5,22.7,4,4,0,0,0.0
158,Álex Remiro,38,38,"3,420",35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0
159,Manuel Riemann,34,34,"3,060",72,2.12,200,128,68.0,10,5,19,5,14.7,14,8,3,3,27.3
160,Rémy Riou,7,6,601,8,1.20,24,17,83.3,2,4,0,1,16.7,4,4,0,0,0.0
161,Joel Robles,4,4,360,11,2.75,27,16,66.7,0,1,3,0,0.0,3,2,0,1,0.0
162,Marek Rodák,2,2,180,2,1.00,4,2,50.0,0,2,0,1,50.0,0,0,0,0,
163,Leo Román,1,1,90,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
164,Francesco Rossi,1,0,4,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
165,Gerónimo Rulli,14,14,"1,260",10,0.71,56,46,82.1,6,3,5,7,50.0,0,0,0,0,
166,Alessandro Russo,1,1,90,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
167,Frederik Rønnow,29,29,"2,610",27,0.93,119,92,81.5,16,7,6,11,37.9,5,5,0,0,0.0
168,José Sá,36,36,"3,240",55,1.53,161,105,67.1,11,7,18,11,30.6,4,2,2,0,50.0
169,Brice Samba,37,37,"3,330",28,0.76,125,98,80.0,24,9,4,15,40.5,3,3,0,0,0.0
170,Robert Sánchez,23,23,"2,070",30,1.30,74,46,66.2,11,5,7,6,26.1,6,5,1,0,16.7
171,Mouhamadou Sarr,2,2,180,3,1.50,8,5,62.5,1,0,1,1,50.0,0,0,0,0,
172,Kasper Schmeichel,36,36,"3,240",35,0.97,141,105,77.3,15,12,9,11,30.6,5,3,1,1,25.0
173,Marvin Schwäbe,34,34,"3,060",54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20.0
174,Alexander Schwolow,23,22,"2,035",58,2.57,138,80,60.9,4,4,14,2,9.1,4,4,0,0,0.0
175,Matz Sels,38,38,"3,420",59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0
176,Luigi Sepe,17,17,"1,530",27,1.59,87,57,73.6,4,5,8,3,17.6,7,4,3,0,42.9
177,Rui Silva,26,26,"2,340",32,1.23,104,73,71.2,12,4,10,9,34.6,2,2,0,0,0.0
178,Marco Silvestri,38,38,"3,420",48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1,0.0
179,Unai Simón,31,31,"2,745",37,1.21,104,70,67.3,13,6,12,9,29.0,3,3,0,0,0.0
180,Tobias Sippel,6,5,510,12,2.12,33,21,66.7,1,1,3,1,20.0,1,1,0,0,0.0
181,Salvatore Sirigu,1,1,90,0,0.00,5,5,100.0,1,0,0,1,100.0,0,0,0,0,
182,Łukasz Skorupski,37,37,"3,330",49,1.32,161,113,73.9,13,12,12,7,18.9,9,7,2,0,22.2
183,François-Joseph Sollacaro,6,6,540,14,2.33,24,11,45.8,1,1,4,1,16.7,1,1,0,0,0.0
184,Yann Sommer,19,19,"1,710",25,1.32,55,30,67.3,11,4,4,5,26.3,7,7,0,0,0.0
185,Yann Sommer,10,10,900,14,1.40,60,47,80.0,4,4,2,3,30.0,2,2,0,0,0.0
186,David Soria,38,38,"3,420",45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0
187,Marco Sportiello,15,14,"1,339",21,1.41,64,43,68.8,6,3,5,2,14.3,1,1,0,0,0.0
188,Jason Steele,15,15,"1,350",23,1.53,57,36,61.4,7,3,5,6,40.0,2,1,1,0,50.0
189,Mile Svilar,3,3,270,3,1.00,10,7,70.0,1,1,1,1,33.3,0,0,0,0,
190,Wojciech Szczęsny,28,28,"2,472",26,0.95,93,67,75.3,17,3,8,14,50.0,3,3,0,0,0.0
191,Ciprian Tătărușanu,16,16,"1,440",22,1.37,61,40,67.2,9,3,4,4,25.0,2,2,0,0,0.0
192,Marc-André ter Stegen,38,38,"3,347",18,0.48,98,83,84.7,28,4,6,26,68.4,3,3,0,0,0.0
193,Pietro Terracciano,29,29,"2,610",38,1.31,96,59,66.7,9,8,12,5,17.2,7,6,1,0,14.3
194,Kevin Trapp,33,33,"2,970",51,1.55,130,80,62.3,13,10,10,6,18.2,2,2,0,0,0.0
195,Mark Travers,12,11,"1,035",32,2.78,66,36,54.5,2,0,9,2,18.2,2,2,0,0,0.0
196,Martin Turk,4,4,360,9,2.25,30,21,73.3,1,1,2,0,0.0,2,1,0,1,0.0
197,Samir Ujkani,1,0,7,1,12.86,1,0,0.0,0,0,0,0,,0,0,0,0,
198,Sven Ulreich,3,3,270,2,0.67,8,5,75.0,3,0,0,2,66.7,1,0,1,0,100.0
199,Guglielmo Vicario,31,31,"2,783",39,1.26,134,95,73.9,9,12,10,7,22.6,6,4,1,1,20.0
200,Iván Villar,19,19,"1,710",24,1.26,62,38,66.1,6,5,8,4,21.1,4,3,0,1,0.0
201,Danny Ward,26,26,"2,340",46,1.77,119,75,63.0,7,3,16,6,23.1,3,2,1,0,33.3
202,Axel Werner,2,2,180,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,
203,Joseph Whitworth,2,2,180,5,2.50,10,5,50.0,0,0,2,0,0.0,0,0,0,0,
204,Robin Zentner,26,26,"2,340",39,1.50,109,69,67.0,9,8,9,7,26.9,5,3,1,1,25.0
205,Michael Zetterer,2,1,152,3,1.78,14,11,78.6,0,1,0,0,0.0,0,0,0,0,
206,Jeroen Zoet,5,4,334,4,1.08,13,9,76.9,0,3,1,0,0.0,1,1,0,0,0.0
207,Petar Zovko,1,0,74,2,2.43,3,1,33.3,0,0,0,0,,0,0,0,0,
