,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist
0,Ismael Aaneba,157,9,49,80,31,0,157,3,2,66.7,1,33.3,70,381,239
1,Patrick van Aanholt,2300,123,666,1046,611,63,2300,42,22,52.4,20,47.6,1051,5415,3184
2,Ignazio Abate,1070,67,342,579,156,11,1070,10,4,40.0,6,60.0,646,2673,1487
3,Yunis Abdelhamid,2027,259,1276,738,46,27,2027,23,21,91.3,2,8.7,1040,5366,2909
4,Mehdi Abeid,1356,30,252,870,258,21,1355,60,31,51.7,29,48.3,786,4914,2328
5,Charles Abi,29,1,6,10,14,4,29,3,2,66.7,1,33.3,16,123,52
6,David Abraham,839,94,370,434,47,8,839,7,6,85.7,1,14.3,418,2652,1566
7,Amir Abrashi,461,24,112,294,58,1,461,5,3,60.0,2,40.0,193,944,422
8,Francesco Acerbi,2178,257,1019,1060,112,28,2178,11,9,81.8,2,18.2,1191,7946,4406
9,Afriyie Acquah,901,22,132,474,315,29,901,35,27,77.1,8,22.9,623,4409,2387
10,Tyler Adams,641,16,87,443,119,6,641,19,14,73.7,5,26.3,292,1928,1164
11,Antonio Adán,28,25,28,0,0,0,28,0,0,,0,,10,70,57
12,Aday,380,21,87,161,136,6,380,9,6,66.7,3,33.3,204,1587,836
13,Khaled Adénon,1203,127,587,598,24,16,1203,1,1,100.0,0,0.0,687,3746,2202
14,Claud Adjapong,147,5,29,62,59,8,147,14,6,42.9,8,57.1,71,399,168
15,Yacine Adli,184,0,12,107,68,6,184,15,9,60.0,6,40.0,112,838,341
16,Ali Adnan Kadhim,137,7,34,56,50,4,137,7,5,71.4,2,28.6,73,419,252
17,Aritz Aduriz,313,4,18,149,148,37,311,9,2,22.2,7,77.8,142,520,170
18,Luis Advíncula,1462,84,439,671,370,25,1462,53,39,73.6,14,26.4,824,4387,2172
19,Martin Agirregabiria,1200,89,403,595,218,9,1200,39,26,66.7,13,33.3,478,2887,1656
20,Nayef Aguerd,747,68,336,383,36,9,747,7,6,85.7,1,14.3,376,1848,1032
21,Sergio Agüero,1119,4,22,384,724,200,1117,73,45,61.6,28,38.4,824,4572,1987
22,Ruben Aguilar,1970,63,417,953,614,35,1970,71,36,50.7,35,49.3,921,5482,3172
23,Juan Aguilera,217,5,35,154,30,4,217,1,1,100.0,0,0.0,130,614,365
24,Emmanuel Agyemang-Badu,53,4,10,31,12,2,53,2,0,0.0,2,100.0,25,106,25
25,Jean-Eudes Aholou,661,10,110,439,124,17,661,17,10,58.8,7,41.2,395,2337,1422
26,Antonis Aidonis,46,0,6,18,22,1,46,1,0,0.0,1,100.0,14,49,28
27,Ola Aina,1497,63,382,699,444,35,1497,61,30,49.2,31,50.8,658,4369,2412
28,Youssef Aït Bennasser,748,12,174,494,87,2,748,16,11,68.8,5,31.3,382,1634,900
29,Youssef Aït Bennasser,841,34,217,566,73,0,841,14,12,85.7,2,14.3,542,2920,1654
30,Rayan Aït-Nouri,41,2,5,25,11,2,41,0,0,,0,,17,100,79
31,Ludovic Ajorque,620,11,32,338,255,69,620,18,10,55.6,8,44.4,318,1204,334
32,Manuel Akanji,2068,143,758,1249,68,17,2068,12,8,66.7,4,33.3,1445,8650,5018
33,Carlos Akapo,566,39,184,255,133,14,566,14,8,57.1,6,42.9,228,1687,1091
34,Nathan Aké,2205,305,1260,813,141,50,2205,5,3,60.0,2,40.0,1299,6617,3890
35,Sergio Akieme,107,7,32,49,27,0,107,2,2,100.0,0,0.0,60,364,204
36,Chadrac Akolo,230,0,23,116,93,15,230,14,7,50.0,7,50.0,137,728,356
37,Kevin Akpoguma,345,37,142,197,9,0,345,1,1,100.0,0,0.0,187,841,452
38,Kevin Akpoguma,208,12,82,119,9,0,208,2,2,100.0,0,0.0,126,696,392
39,David Alaba,2385,46,464,1199,743,62,2385,39,29,74.4,10,25.6,1302,6461,3325
40,Sofiane Alakouch,1382,55,390,633,367,17,1382,34,21,61.8,13,38.2,607,3159,1978
41,Lucas Alario,572,14,62,238,274,80,572,15,5,33.3,10,66.7,284,1102,347
42,Jordi Alba,2976,95,683,1300,1018,91,2976,22,16,72.7,6,27.3,1710,6503,3731
43,Luis Alberto,1747,11,137,817,821,51,1746,41,24,58.5,17,41.5,1056,6301,3855
44,Raúl Albiol,1292,130,529,735,31,7,1292,2,1,50.0,1,50.0,758,3466,1959
45,Miiko Albornoz,1154,54,337,541,288,15,1154,25,7,28.0,18,72.0,522,2613,1244
46,Marc Albrighton,1005,39,203,416,402,27,1005,55,20,36.4,35,63.6,633,3260,1410
47,Paco Alcácer,396,6,17,171,210,68,395,8,6,75.0,2,25.0,195,709,289
48,Pedro Alcalá,1110,178,647,435,35,18,1110,5,4,80.0,1,20.0,530,2477,1404
49,Thiago Alcántara,2830,39,488,1865,505,29,2830,67,57,85.1,10,14.9,1698,8863,4874
50,Rubén Alcaraz,2152,93,559,1332,288,21,2151,30,23,76.7,7,23.3,1201,6376,3051
51,Toby Alderweireld,2690,270,1244,1360,107,18,2690,2,1,50.0,1,50.0,1848,8658,4863
52,Álex Alegría,56,0,4,27,25,8,56,8,6,75.0,2,25.0,36,183,78
53,Alexis Alegue,3,0,0,1,2,0,3,0,0,,0,,1,6,6
54,Iván Alejo,67,1,12,30,27,1,67,10,4,40.0,6,60.0,41,462,177
55,Carles Aleñá,644,2,48,387,215,11,644,18,12,66.7,6,33.3,481,2498,1154
56,Rúnar Alex Rúnarsson,917,733,911,7,0,0,917,2,2,100.0,0,0.0,406,2210,1483
57,Alexander,11,0,5,2,4,0,11,0,0,,0,,6,7,3
58,Trent Alexander-Arnold,2514,70,528,1210,798,39,2514,27,14,51.9,13,48.1,1416,5548,3296
59,Alfonso,5,1,1,2,2,1,5,0,0,,0,,1,1,0
60,Rachid Alioui,525,8,28,219,280,43,525,12,7,58.3,5,41.7,249,1297,628
61,Alisson,1347,1118,1338,10,0,0,1347,2,2,100.0,0,0.0,838,3680,2466
62,Bobby Allain,509,427,509,0,0,0,509,0,0,,0,,231,1692,1287
63,Allan,2582,70,466,1711,439,26,2582,64,41,64.1,23,35.9,1757,8379,4562
64,Allan,81,1,13,51,21,1,81,1,1,100.0,0,0.0,35,242,116
65,Dele Alli,1320,32,147,674,514,91,1320,54,29,53.7,25,46.3,857,4278,1961
66,Miguel Almirón,380,7,56,157,175,25,380,14,7,50.0,7,50.0,215,1714,1037
67,Júnior Alonso,386,24,121,202,65,8,386,4,1,25.0,3,75.0,196,649,336
68,Marcos Alonso,2631,109,668,1137,843,70,2631,33,17,51.5,15,45.5,1446,7514,4482
69,Mickaël Alphonse,375,23,108,154,116,8,375,6,4,66.7,2,33.3,159,1141,649
70,Sergio Álvarez,619,49,178,405,42,6,619,2,1,50.0,1,50.0,276,1152,482
71,Sergio Álvarez,490,444,489,1,0,0,490,0,0,,0,,221,1397,1043
72,Yeray Álvarez,1628,172,772,819,55,23,1628,6,5,83.3,1,16.7,755,4481,2747
73,Bruno Alves,1564,277,898,601,75,28,1564,3,3,100.0,0,0.0,739,4057,2384
74,Dani Alves,1745,24,244,1012,506,36,1745,30,16,53.3,14,46.7,1049,4226,2553
75,Ibrahim Amadou,451,31,153,258,45,5,451,6,5,83.3,1,16.7,222,942,458
76,Romain Amalfitano,1407,58,284,878,261,11,1407,51,27,52.9,24,47.1,791,4983,2345
77,Daniel Amartey,518,43,193,272,54,3,518,4,2,50.0,2,50.0,293,1124,608
78,Jordi Amat,1595,145,758,816,42,10,1595,28,24,85.7,4,14.3,907,5429,3118
79,Amath,387,10,65,153,177,42,387,45,20,44.4,25,55.6,222,1738,801
80,Jordan Amavi,1641,79,461,807,401,20,1641,43,23,53.5,20,46.5,806,4782,2657
81,Kelvin Amian,1548,121,531,758,280,11,1548,39,24,61.5,15,38.5,655,3921,2519
82,Nadiem Amiri,469,7,64,257,155,18,469,27,20,74.1,7,25.9,271,1802,853
83,Yanis Ammour,0,0,0,0,0,0,0,0,0,,0,,0,0,0
84,Luke Amos,4,0,1,3,0,0,4,0,0,,0,,0,0,0
85,Joachim Andersen,2328,277,1033,1260,52,17,2328,16,15,93.8,1,6.3,1363,8170,5150
86,Felipe Anderson,2319,29,269,1148,954,107,2319,156,76,48.7,80,51.3,1397,10958,6130
87,Florin Andone,345,15,50,143,161,46,345,37,9,24.3,28,75.7,210,1186,368
88,Benjamin André,1884,61,342,1165,397,46,1884,32,21,65.6,11,34.4,946,4992,2430
89,Marco Andreolli,84,12,42,41,1,1,84,0,0,,0,,33,125,79
90,Marco Andreolli,314,43,183,128,5,2,314,0,0,,0,,146,530,273
91,Yoann Andreu,4,1,2,1,1,0,4,0,0,,0,,2,8,0
92,José Ángel,2485,92,597,1189,734,12,2485,61,45,73.8,16,26.2,1137,6323,3094
93,Miguel Ángel Moyá,389,319,385,5,0,0,389,1,1,100.0,0,0.0,183,925,668
94,Cristian Ansaldi,1159,37,233,474,479,36,1159,80,53,66.3,27,33.8,632,5111,2846
95,Mirco Antenucci,764,4,46,330,398,73,762,42,20,47.6,22,52.4,557,2886,996
96,Waldemar Anton,2154,263,1062,1029,86,30,2154,26,17,65.4,9,34.6,1165,7513,4224
97,Luca Antonelli,490,37,142,240,110,18,490,7,5,71.4,2,28.6,259,1496,937
98,Mauro Antonio Burruchaga,45,3,11,30,5,0,45,1,1,100.0,0,0.0,25,124,83
99,Michail Antonio,1170,38,152,531,511,93,1170,104,58,55.8,46,44.2,683,4981,2349
100,Antoñito,1090,42,279,454,368,17,1090,40,22,55.0,18,45.0,580,3435,1937
101,Vitorino Antunes,1457,74,400,642,431,20,1457,34,22,64.7,12,35.3,541,3181,1569
102,Anuar,513,32,146,315,64,12,513,6,4,66.7,2,33.3,255,1813,915
103,Dennis Aogo,654,20,135,411,112,8,654,6,5,83.3,1,16.7,303,1388,605
104,Houssem Aouar,2457,35,306,1572,605,106,2457,97,58,59.8,39,40.2,1741,9785,4654
105,Emmanuel Apeh,6,0,0,3,3,1,6,0,0,,0,,7,18,0
106,Mauro Arambarri,1095,50,213,682,218,21,1095,50,34,68.0,16,32.0,465,2242,888
107,Guilherme Arana,346,13,108,146,93,14,346,8,3,37.5,5,62.5,168,846,506
108,Charles Aránguiz,1888,44,302,1244,353,37,1888,16,9,56.3,7,43.8,865,3968,2115
109,Luiz Araújo,436,3,44,212,191,17,436,38,23,60.5,15,39.5,286,1956,967
110,Néstor Araujo,1796,212,948,814,43,21,1796,2,2,100.0,0,0.0,913,3923,2076
111,Anaitz Arbilla,1380,92,458,833,100,18,1380,6,4,66.7,2,33.3,686,4776,2605
112,Joaquín Ardaiz,5,0,0,3,2,0,5,1,1,100.0,0,0.0,2,3,3
113,Alphonse Areola,552,482,550,2,0,0,552,0,0,,0,,291,1571,1116
114,Santiago Arias,1205,48,289,508,412,18,1205,14,8,57.1,6,42.9,571,2793,1520
115,Lorenzo Ariaudo,823,149,491,322,16,13,823,3,3,100.0,0,0.0,413,2524,1518
116,Nicolò Armini,27,1,9,14,4,0,27,0,0,,0,,14,111,98
117,Yoël Armougom,1107,47,349,540,230,7,1107,31,11,35.5,20,64.5,528,3164,1687
118,Stuart Armstrong,837,14,92,379,371,39,837,30,19,63.3,11,36.7,456,2678,1111
119,José Arnaiz,48,1,9,16,23,4,48,5,3,60.0,2,40.0,40,259,85
120,Marko Arnautović,848,6,45,333,479,126,847,36,20,55.6,16,44.4,498,2611,926
121,Maximilian Arnold,1768,78,369,1000,427,24,1768,30,25,83.3,5,16.7,930,4937,2399
122,Kepa Arrizabalaga,1207,1059,1198,9,0,0,1207,1,1,100.0,0,0.0,662,3034,1787
123,Harry Arter,886,33,165,500,231,15,886,7,3,42.9,4,57.1,294,1589,813
124,Kwadwo Asamoah,2475,77,588,1332,579,20,2475,65,40,61.5,25,38.5,1540,7411,4524
125,Takuma Asano,253,5,35,105,119,18,253,18,7,38.9,11,61.1,170,1283,537
126,Santiago Ascacíbar,1402,59,342,862,212,22,1402,19,13,68.4,6,31.6,632,3176,1434
127,Sergio Asenjo,928,833,922,6,0,0,928,0,0,,0,,361,2745,1899
128,Marco Asensio,1214,6,86,501,647,86,1214,60,41,68.3,19,31.7,865,6386,3271
129,Iago Aspas,1129,7,86,511,540,114,1124,36,20,55.6,16,44.4,758,4366,1975
130,Simon Asta,54,3,17,24,14,0,54,1,1,100.0,0,0.0,20,100,51
131,Youcef Atal,1772,61,364,790,657,87,1771,203,101,49.8,102,50.2,1013,7446,4352
132,Christian Atsu,636,16,100,277,276,37,636,52,25,48.1,27,51.9,380,2646,1355
133,Pierre-Emerick Aubameyang,1048,17,83,417,560,142,1043,55,29,52.7,26,47.3,609,3920,2078
134,Emil Audero,1253,1153,1247,6,0,0,1253,0,0,,0,,621,2902,1941
135,Jean-Kévin Augustin,166,0,4,67,98,33,166,21,9,42.9,12,57.1,123,824,334
136,Ludwig Augustinsson,2300,86,617,1003,702,64,2300,24,12,50.0,12,50.0,1052,5175,3079
137,Serge Aurier,432,22,122,176,137,9,432,14,8,57.1,6,42.9,203,794,434
138,Charlie Austin,331,17,38,150,144,47,330,6,1,16.7,5,83.3,147,643,167
139,Ezequiel Ávila,879,27,106,365,417,99,878,46,22,47.8,24,52.2,506,2852,1336
140,Jordan Ayew,485,7,50,231,216,56,485,26,11,42.3,15,57.7,273,1734,667
141,Kaan Ayhan,1751,186,925,746,90,23,1751,17,12,70.6,5,29.4,1018,5809,3592
142,Floyd Ayité,272,6,38,140,98,14,272,17,10,58.8,7,41.2,160,1122,489
143,César Azpilicueta,3352,121,993,1493,873,48,3352,22,10,45.5,12,54.5,1605,5682,3081
144,Abdoulaye Ba,1357,203,836,502,26,11,1357,5,4,80.0,1,20.0,740,3135,1515
145,Florian Baak,0,0,0,0,0,0,0,0,0,,0,,0,0,0
146,Ludovic Baal,102,3,31,59,14,1,102,0,0,,0,,56,256,147
147,Khouma Babacar,514,29,47,219,256,74,512,21,10,47.6,11,52.4,316,1401,514
148,Ryan Babel,649,19,66,335,255,30,649,34,27,79.4,7,20.6,391,2802,1218
149,Carlos Bacca,382,4,27,150,208,63,381,19,12,63.2,7,36.8,241,1262,642
150,Juninho Bacuna,990,17,181,613,214,10,990,50,26,52.0,24,48.0,539,2602,1215
151,Leandro Bacuna,237,15,72,128,45,2,237,7,5,71.4,2,28.6,72,687,421
152,Milan Badelj,1034,26,201,666,180,4,1034,37,29,78.4,8,21.6,552,2441,1216
153,Benoît Badiashile,1243,97,576,648,24,9,1243,1,1,100.0,0,0.0,799,4027,2654
154,Holger Badstuber,322,35,166,156,1,0,322,0,0,,0,,165,842,468
155,Stéphane Bahoken,785,4,27,380,384,105,782,17,6,35.3,11,64.7,459,2332,700
156,Daniel Baier,1942,59,498,1221,253,8,1942,26,16,61.5,10,38.5,970,5085,2557
157,Leon Bailey,1203,17,145,454,626,87,1203,77,53,68.8,24,31.2,664,4893,2471
158,Eric Bailly,390,56,215,167,11,7,390,5,4,80.0,1,20.0,191,868,338
159,Leighton Baines,291,11,52,165,75,0,291,1,0,0.0,1,100.0,127,476,301
160,Marvin Bakalorz,609,47,162,328,128,16,609,24,10,41.7,14,58.3,262,1417,618
161,Tiemoué Bakayoko,1679,74,358,1089,256,30,1679,84,60,71.4,24,28.6,1071,5565,2908
162,Ridle Baku,558,13,99,339,124,18,558,18,8,44.4,10,55.6,341,1379,645
163,Fabián Balbuena,1157,198,631,489,39,28,1157,1,1,100.0,0,0.0,485,2345,1391
164,Keita Baldé,450,3,28,141,289,56,450,34,20,58.8,14,41.2,330,2327,1132
165,Gareth Bale,997,14,92,441,473,92,996,44,24,54.5,20,45.5,669,4094,1802
166,Mikel Balenziaga,272,20,96,132,46,0,272,2,2,100.0,0,0.0,119,520,265
167,Andrija Balić,28,1,6,14,10,0,28,1,0,0.0,1,100.0,17,88,30
168,Fodé Ballo-Touré,975,44,291,504,191,15,975,31,18,58.1,13,41.9,462,2550,1482
169,Fodé Ballo-Touré,1066,31,270,533,283,11,1066,51,30,58.8,21,41.2,523,3430,2081
170,Florent Balmont,806,17,145,524,142,2,806,4,4,100.0,0,0.0,449,2183,1208
171,Leon Balogun,300,35,183,113,6,6,300,1,0,0.0,1,100.0,117,483,141
172,Mario Balotelli,345,10,20,174,154,28,345,15,3,20.0,12,80.0,194,803,336
173,Mario Balotelli,337,8,25,178,138,32,337,17,10,58.8,7,41.2,193,913,435
174,Abdoulaye Bamba,1540,58,480,759,312,17,1540,26,15,57.7,11,42.3,647,3223,2009
175,Jonathan Bamba,1606,9,188,774,681,92,1605,76,34,44.7,42,55.3,1114,7785,3715
176,Sol Bamba,1016,195,567,418,49,28,1016,20,14,70.0,6,30.0,289,1565,702
177,Yacine Bammou,452,21,76,208,172,24,451,6,3,50.0,3,50.0,224,995,412
178,Éver Banega,2527,55,574,1507,484,17,2525,81,59,72.8,22,27.2,1546,7883,4241
179,Mattia Bani,1647,236,976,631,53,21,1647,2,1,50.0,1,50.0,781,3467,1997
180,Léo Baptistão,565,17,90,231,258,48,564,32,21,65.6,11,34.4,327,2161,1220
181,Antonín Barák,211,3,39,129,44,1,211,4,3,75.0,1,25.0,149,779,369
182,Federico Barba,1567,146,707,730,147,12,1567,7,3,42.9,4,57.1,696,3366,2067
183,Danilo Barbosa,890,29,181,532,186,31,890,53,33,62.3,20,37.7,457,2297,1250
184,Enis Bardhi,1564,57,307,745,545,40,1564,72,43,59.7,29,40.3,838,4858,2567
185,Francesco Bardi,82,71,82,0,0,0,82,0,0,,0,,41,272,187
186,Phil Bardsley,990,80,278,518,202,5,990,8,4,50.0,4,50.0,334,1842,885
187,Nicolò Barella,2423,43,363,1395,707,58,2422,67,42,62.7,25,37.3,1472,8731,4219
188,Philipp Bargfrede,730,59,238,440,57,1,730,7,4,57.1,3,42.9,337,1718,893
189,Antonino Barillà,1131,68,333,549,269,22,1131,32,14,43.8,17,53.1,638,2916,1415
190,Ross Barkley,1121,24,135,657,339,38,1121,22,15,68.2,7,31.8,703,3329,1465
191,Aymen Barkok,283,4,52,155,79,4,283,10,7,70.0,3,30.0,161,1048,472
192,Ashley Barnes,874,34,86,394,401,106,872,13,7,53.8,6,46.2,432,1603,602
193,Harvey Barnes,473,6,37,144,301,78,473,49,30,61.2,19,38.8,334,2592,1569
194,Antonio Barragán,731,38,198,286,250,15,731,9,3,33.3,6,66.7,361,1739,781
195,Antonio Barreca,3,0,0,2,1,0,3,0,0,,0,,3,19,17
196,Antonio Barreca,359,13,117,164,83,10,359,10,2,20.0,8,80.0,154,893,434
197,Leandro Barreiro Martins,34,2,10,18,7,1,34,3,3,100.0,0,0.0,14,81,45
198,Ander Barrenetxea,175,5,25,64,93,14,175,32,19,59.4,13,40.6,119,853,441
199,Édgar Barreto,596,12,97,337,163,15,596,6,1,16.7,5,83.3,275,899,406
200,Musa Barrow,352,1,14,115,229,47,352,19,7,36.8,12,63.2,260,1546,739
201,Fin Bartels,8,0,2,5,2,1,8,0,0,,0,,7,119,46
202,Marc Bartra,2679,236,1175,1398,125,21,2679,22,13,59.1,9,40.9,1569,9118,5799
203,Andrea Barzagli,216,15,76,133,7,0,216,1,0,0.0,1,100.0,147,622,360
204,Daniele Baselli,1551,40,260,829,479,40,1551,31,22,71.0,9,29.0,770,4418,2181
205,Toma Bašić,782,18,110,472,209,11,782,30,18,60.0,12,40.0,456,2453,1078
206,Thomas Basila,39,6,18,21,0,0,39,0,0,,0,,16,54,47
207,Borja Bastón,471,14,56,224,194,49,471,9,5,55.6,4,44.4,230,878,319
208,Alessandro Bastoni,843,133,465,365,24,6,843,7,5,71.4,2,28.6,453,2368,1282
209,Bastos,680,67,292,325,68,11,680,12,10,83.3,2,16.7,418,2562,1533
210,Michy Batshuayi,250,4,28,121,106,40,250,16,9,56.3,7,43.8,135,756,285
211,Michy Batshuayi,202,4,20,93,93,28,202,10,4,40.0,6,60.0,125,597,250
212,Robert Bauer,1037,99,362,465,220,4,1037,7,4,57.1,3,42.9,388,2253,1293
213,Oliver Baumann,1375,981,1341,36,0,0,1375,0,0,,0,,728,3705,2451
214,Timo Baumgartl,1073,133,578,463,41,12,1073,5,4,80.0,1,20.0,507,2704,1532
215,Julian Baumgartlinger,1554,46,329,986,243,21,1554,20,15,75.0,5,25.0,715,3311,1646
216,Christoph Baumgartner,48,0,8,28,13,2,48,6,5,83.3,1,16.7,37,312,255
217,Jon Bautista,223,6,10,116,97,33,223,8,5,62.5,3,37.5,83,350,117
218,Paul Baysse,42,7,22,20,0,0,42,0,0,,0,,22,114,32
219,Paul Baysse,1052,142,581,449,31,17,1052,1,1,100.0,0,0.0,493,2308,1213
220,Noah Joel Sarenren Bazee,53,3,10,19,29,9,53,8,2,25.0,6,75.0,37,338,174
221,Claudio Beauvue,603,27,80,287,245,66,602,26,10,38.5,16,61.5,298,1375,544
222,Bebé,736,19,123,285,359,20,736,60,35,58.3,25,41.7,470,4255,1995
223,Bebé,45,0,3,12,31,3,45,2,0,0.0,2,100.0,33,246,102
224,Ihlas Bebou,604,11,74,295,254,34,603,57,35,61.4,22,38.6,330,2346,1302
225,Uffe Bech,16,0,1,7,9,2,16,3,2,66.7,1,33.3,9,87,37
226,Andreas Beck,1077,61,329,524,232,13,1077,11,9,81.8,2,18.2,464,2278,1017
227,Jan Bednarek,1237,179,583,627,35,12,1237,3,1,33.3,2,66.7,450,2057,1134
228,Andrea Beghetto,1336,66,406,499,440,28,1336,21,7,33.3,14,66.7,618,2704,1527
229,Asmir Begović,718,655,717,1,0,0,718,0,0,,0,,349,1804,1181
230,Valon Behrami,674,42,202,420,59,7,674,10,5,50.0,5,50.0,280,1164,468
231,Hanno Behrens,1233,82,372,603,271,77,1229,16,8,50.0,8,50.0,500,2637,1278
232,Ishak Belfodil,688,14,48,233,419,166,688,55,38,69.1,17,30.9,408,2667,1345
233,Stefan Bell,1497,152,685,757,83,25,1497,17,14,82.4,3,17.6,853,4620,3015
234,Karim Bellarabi,643,4,89,229,340,46,643,39,20,51.3,19,48.7,405,3018,1647
235,Héctor Bellerín,1117,48,300,459,364,52,1117,23,15,65.2,8,34.8,577,3433,1794
236,Andrea Belotti,1280,27,90,506,705,194,1274,82,34,41.5,48,58.5,753,4375,2168
237,Fran Beltrán,1005,28,222,620,178,10,1005,15,12,80.0,3,20.0,625,2995,1212
238,Hatem Ben Arfa,1234,0,71,645,553,58,1231,207,116,56.0,91,44.0,882,7166,3650
239,Wissam Ben Yedder,1082,4,63,397,643,210,1080,81,46,56.8,35,43.2,661,3729,1994
240,Diego Benaglio,705,639,704,1,0,0,705,0,0,,0,,331,2022,1463
241,Marco Benassi,1090,32,148,538,413,70,1090,24,16,66.7,8,33.3,613,3151,1785
242,Medhi Benatia,374,34,172,192,14,3,374,2,2,100.0,0,0.0,226,1032,523
243,Lars Bender,1102,36,257,623,229,35,1102,14,10,71.4,4,28.6,460,2138,1131
244,Sven Bender,1939,132,798,1103,49,18,1939,6,5,83.3,1,16.7,1000,5272,2410
245,László Bénes,21,1,8,13,0,0,21,0,0,,0,,10,44,17
246,Nicolas Benezet,1103,6,114,486,517,63,1103,50,34,68.0,16,32.0,610,4386,1991
247,Walter Benítez,1213,1142,1213,0,0,0,1213,0,0,,0,,520,2423,1732
248,Ismaël Bennacer,2347,75,524,1419,442,10,2347,85,66,77.6,19,22.4,1401,7995,3699
249,Joe Bennett,1227,117,373,570,294,13,1227,34,24,70.6,10,29.4,384,1979,1050
250,Ryan Bennett,1733,177,704,916,122,24,1733,4,3,75.0,1,25.0,721,2960,1828
251,Yassine Benrahou,149,1,21,58,73,4,149,9,2,22.2,7,77.8,71,548,200
252,Ramy Bensebaini,1582,91,523,769,305,25,1582,28,12,42.9,16,57.1,751,4433,2726
253,Nabil Bentaleb,1126,36,198,733,214,17,1123,27,21,77.8,6,22.2,499,2980,1466
254,Rodrigo Bentancur,1482,60,262,916,321,22,1482,33,19,57.6,14,42.4,919,4398,2163
255,Christian Benteke,354,19,34,168,154,49,354,8,5,62.5,3,37.5,153,668,190
256,Karim Benzema,1531,27,72,639,828,202,1528,74,47,63.5,26,35.1,1012,5582,2583
257,Yassine Benzia,111,1,6,68,37,3,111,1,1,100.0,0,0.0,83,373,161
258,Domenico Berardi,1753,28,193,667,923,97,1752,94,46,48.9,48,51.1,1120,6933,3446
259,Yuri Berchiche,2118,106,629,950,568,37,2118,56,33,58.9,23,41.1,1043,6258,3519
260,Álex Berenguer,980,11,123,419,454,50,980,66,33,50.0,33,50.0,575,3939,2000
261,Bartosz Bereszyński,1805,82,490,916,412,13,1805,37,23,62.2,14,37.8,958,4533,2521
262,Jóhann Berg Guðmundsson,868,43,152,294,438,49,868,40,16,40.0,24,60.0,454,3073,1494
263,Markel Bergara,33,2,7,17,9,1,33,1,0,0.0,1,100.0,11,67,27
264,Robert Berić,343,3,20,184,140,62,343,15,5,33.3,10,66.7,159,596,217
265,Etrit Berisha,511,431,509,2,0,0,511,0,0,,0,,234,1242,858
266,Valon Berisha,178,2,26,110,45,1,178,1,1,100.0,0,0.0,82,439,212
267,Bernard,1180,20,202,473,521,69,1180,82,40,48.8,42,51.2,754,4838,2619
268,Federico Bernardeschi,892,15,95,363,449,77,892,40,21,52.5,19,47.5,590,3909,1770
269,Bernardo,1295,98,448,591,266,10,1295,22,14,63.6,8,36.4,581,3139,1924
270,Paul Bernardoni,1227,951,1216,11,0,0,1227,0,0,,0,,516,2852,2096
271,Juan Bernat,1384,47,276,692,421,46,1384,32,18,56.3,14,43.8,813,3767,2003
272,Antoine Bernede,197,3,32,140,26,0,197,0,0,,0,,115,435,175
273,Dimitry Bertaud,37,28,37,0,0,0,37,0,0,,0,,10,109,72
274,Ryan Bertrand,1342,71,286,591,470,27,1342,20,6,30.0,14,70.0,517,2791,1445
275,Daniel Bessa,1338,16,206,583,579,55,1338,24,16,66.7,8,33.3,812,5115,2743
276,Marcus Bettinelli,267,230,267,0,0,0,267,0,0,,0,,94,510,353
277,Jordan Beyer,576,50,247,279,53,6,576,10,7,70.0,3,30.0,315,1696,1028
278,Jonathan Biabiany,460,27,125,207,138,8,460,31,20,64.5,11,35.5,279,1842,932
279,Giulian Biancone,59,4,21,28,11,0,59,0,0,,0,,26,151,85
280,Ermin Bičakčić,1411,119,549,789,78,14,1411,0,0,,0,,761,4535,2783
281,Pedro Bigas,346,24,118,219,10,4,346,1,0,0.0,1,100.0,171,1144,620
282,Lucas Biglia,974,52,298,564,118,2,974,4,3,75.0,1,25.0,494,1914,936
283,Philip Billing,1633,64,362,791,505,32,1633,38,20,52.6,18,47.4,773,4685,2133
284,Cristiano Biraghi,2291,125,601,972,739,32,2291,26,15,57.7,11,42.3,1025,5123,2947
285,Davide Biraschi,1645,116,596,876,211,5,1645,65,46,70.8,19,29.2,777,5060,3026
286,Valter Birsa,284,1,21,138,126,6,284,6,4,66.7,2,33.3,153,744,354
287,Valter Birsa,692,13,68,377,255,17,691,24,13,54.2,11,45.8,446,2743,1333
