,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
161,Diant Ramaj,1,1,90,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
162,Aaron Ramsdale,34,34,"3,060",39,1.15,128,90,73.4,21,3,10,12,35.3,6,5,0,1,0.0
163,Nicola Ravaglia,1,0,5,1,18.00,1,0,100.0,0,0,0,0,,1,1,0,0,0.0
164,David Raya,24,24,"2,160",27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,0.0
165,Manolo Reina,21,21,"1,890",26,1.24,75,49,68.0,6,9,6,8,38.1,3,2,1,0,33.3
166,Pepe Reina,15,15,"1,350",29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,1,0.0
167,Álex Remiro,35,35,"3,150",32,0.91,112,79,75.0,15,11,9,19,54.3,5,4,1,0,20.0
168,Sergio Rico,14,14,"1,260",29,2.07,57,29,54.4,4,0,10,1,7.1,4,3,1,0,25.0
169,Sergio Rico,1,0,23,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,0,
170,Manuel Riemann,31,31,"2,790",45,1.45,155,112,72.9,10,6,15,7,22.6,6,3,2,1,40.0
171,Leo Román,2,2,180,5,2.50,14,10,71.4,0,0,2,0,0.0,1,1,0,0,0.0
172,Sergio Romero,16,16,"1,440",33,2.06,105,74,74.3,3,4,9,3,18.8,6,6,0,0,0.0
173,Francesco Rossi,1,0,37,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0,
174,John Ruddy,2,1,135,3,2.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,
175,Gerónimo Rulli,32,32,"2,880",28,0.87,100,72,75.0,14,9,9,14,43.8,4,3,1,0,25.0
176,Mathew Ryan,3,3,270,5,1.67,15,10,73.3,2,0,1,1,33.3,1,1,0,0,0.0
177,Frederik Rønnow,7,7,630,5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,0,
178,José Sá,37,37,"3,285",40,1.10,160,121,80.6,15,5,17,11,29.7,10,9,0,1,0.0
179,Romain Salin,1,1,90,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
180,Robert Sánchez,37,37,"3,329",42,1.14,141,99,72.3,12,15,10,11,29.7,4,3,0,1,0.0
181,Giacomo Satalino,1,0,8,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
182,Kasper Schmeichel,37,37,"3,330",58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,0,22.2
183,Marvin Schwäbe,21,21,"1,890",28,1.33,98,70,71.4,10,4,7,3,14.3,1,0,1,0,100.0
184,Alexander Schwolow,25,25,"2,175",51,2.11,123,72,62.6,7,5,13,4,16.0,5,5,0,0,0.0
185,Matz Sels,37,37,"3,330",43,1.16,130,88,70.0,16,12,9,13,35.1,4,4,0,0,0.0
186,Adrian Šemper,1,1,90,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
187,Luigi Sepe,16,16,"1,392",24,1.55,78,54,73.1,4,8,4,1,6.3,3,3,0,0,0.0
188,Rui Silva,22,21,"1,964",21,0.96,76,55,75.0,11,4,6,8,38.1,2,2,0,0,0.0
189,Marco Silvestri,35,35,"3,150",50,1.43,141,92,68.1,10,14,11,7,20.0,7,5,0,2,0.0
190,Unai Simón,34,34,"3,060",31,0.91,111,81,74.8,13,11,10,12,35.3,3,3,0,0,0.0
191,Tobias Sippel,1,1,90,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
192,Salvatore Sirigu,37,37,"3,330",59,1.59,180,122,69.4,4,16,17,10,27.0,5,4,1,0,20.0
193,Antonio Sivera,4,3,277,4,1.30,16,12,81.3,0,1,2,1,33.3,1,1,0,0,0.0
194,Łukasz Skorupski,36,36,"3,240",53,1.47,174,122,74.1,11,9,16,12,33.3,9,8,1,0,11.1
195,Yann Sommer,33,33,"2,970",60,1.82,182,120,68.7,12,8,13,5,15.2,5,3,2,0,40.0
196,David Soria,38,38,"3,414",41,1.08,132,91,70.5,8,15,15,13,34.2,4,2,1,1,33.3
197,Marco Sportiello,5,5,450,5,1.00,18,13,83.3,0,3,2,2,40.0,2,2,0,0,0.0
198,Jason Steele,1,1,90,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
199,Jed Steer,1,1,90,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
200,Zack Steffen,1,1,90,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
201,Thomas Strakosha,23,23,"2,070",29,1.26,86,58,67.4,12,6,5,7,30.4,1,1,0,0,0.0
202,Wojciech Szczęsny,33,33,"2,970",29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,0,50.0
203,Ciprian Tătărușanu,6,6,540,10,1.67,24,14,66.7,4,1,1,1,16.7,3,2,1,0,33.3
204,Marc-André ter Stegen,35,35,"3,150",34,0.97,109,74,70.6,19,9,7,11,31.4,3,2,1,0,33.3
205,Pietro Terracciano,32,31,"2,862",43,1.35,100,58,59.0,16,5,10,9,29.0,3,2,1,0,33.3
