,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
0,Patrick van Aanholt,47,32,29,15,3,16,34,47.1,18,24,5,19,47,64,2
1,Rolando Aarons,4,4,3,1,0,4,6,66.7,2,3,0,3,1,0,0
2,Rolando Aarons,13,8,4,4,5,1,7,14.3,6,3,1,2,2,0,0
3,Ignazio Abate,20,17,10,9,1,6,11,54.5,5,22,2,20,8,29,0
4,Aymen Abdennour,7,3,5,2,0,4,7,57.1,3,5,5,0,4,20,0
5,Aly Abeid,2,1,1,1,0,0,1,0.0,1,1,0,1,3,3,0
6,Mehdi Abeid,23,15,8,14,1,8,32,25.0,24,11,6,5,18,25,2
7,David Abraham,40,32,29,10,1,27,36,75.0,9,29,15,14,40,141,1
8,Tammy Abraham,10,8,1,7,2,1,13,7.7,12,8,1,7,1,11,0
9,Amir Abrashi,35,32,15,18,2,16,23,69.6,7,22,5,17,19,20,0
10,Francesco Acerbi,51,32,26,22,3,22,36,61.1,14,42,21,21,88,255,1
11,Afriyie Acquah,8,6,2,6,0,1,7,14.3,6,8,1,7,16,10,2
12,Charlie Adam,9,5,2,5,2,5,17,29.4,12,2,0,2,9,11,2
13,Antonio Adán,1,0,1,0,0,1,1,100.0,0,1,0,1,0,11,2
14,Aday,17,15,11,4,2,6,17,35.3,11,19,3,16,25,52,1
15,Khaled Adénon,38,24,26,12,0,15,32,46.9,17,42,26,16,65,221,1
16,Claud Adjapong,35,26,24,5,6,11,13,84.6,2,16,3,13,23,37,0
17,René Adler,1,1,1,0,0,1,1,100.0,0,0,0,0,0,8,1
18,Yacine Adli,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
19,Ali Adnan Kadhim,54,35,35,14,5,29,50,58.0,21,31,6,25,41,90,0
20,Adrián,2,1,2,0,0,1,4,25.0,3,1,0,1,0,15,1
21,Aritz Aduriz,11,8,2,6,3,1,6,16.7,5,6,0,6,3,18,0
22,Ibrahim Afellay,3,3,0,3,0,1,2,50.0,1,1,0,1,1,1,0
23,Benik Afobe,4,3,1,2,1,1,6,16.7,5,4,0,4,0,6,0
24,Martin Agirregabiria,50,33,31,17,2,32,50,64.0,18,13,7,6,41,66,0
25,Imanol Agirretxe,0,0,0,0,0,0,1,0.0,1,0,0,0,0,2,0
26,Sergio Agüero,9,6,2,6,1,2,17,11.8,15,12,1,11,6,3,0
27,Ruben Aguilar,91,50,37,41,13,36,71,50.7,35,25,3,22,37,90,0
28,Matías Aguirregaray,26,20,12,12,2,12,32,37.5,20,13,1,12,24,25,0
29,Jean-Eudes Aholou,70,34,32,37,1,17,55,30.9,38,29,7,22,75,58,1
30,Ailton,8,5,3,5,0,4,8,50.0,4,5,0,5,2,5,0
31,Youssef Aït Bennasser,47,28,17,27,3,15,64,23.4,49,35,2,33,32,30,0
32,Arlind Ajeti,42,23,25,14,3,18,30,60.0,12,27,15,12,34,82,0
33,Manuel Akanji,22,15,14,8,0,15,17,88.2,2,11,4,7,7,43,2
34,Nathan Aké,53,32,34,16,3,22,40,55.0,18,47,24,23,48,246,2
35,Ager Aketxe,1,1,1,0,0,1,2,50.0,1,1,0,1,1,0,0
36,Chadrac Akolo,20,14,3,12,5,6,14,42.9,8,19,0,19,5,5,0
37,Kevin Akpoguma,47,39,29,16,2,24,35,68.6,11,18,4,14,22,60,1
38,David Alaba,23,14,11,9,3,14,20,70.0,6,21,6,15,10,23,0
39,Lucas Alario,16,10,2,12,2,3,8,37.5,5,17,4,13,4,16,0
40,David Alba,1,1,1,0,0,1,1,100.0,0,0,0,0,0,7,1
41,Jordi Alba,63,42,35,22,6,26,52,50.0,26,34,5,29,68,67,1
42,Raúl Albentosa,13,6,9,4,0,7,20,35.0,13,26,19,7,26,92,1
43,Luis Alberto,39,28,8,23,8,10,44,22.7,34,30,2,28,16,7,0
44,Raúl Albiol,29,19,15,14,0,13,19,68.4,6,18,13,5,32,129,1
45,Miiko Albornoz,24,20,17,4,3,11,16,68.8,5,15,2,13,5,23,0
46,Marc Albrighton,52,33,16,29,7,16,52,30.8,36,32,4,28,27,34,0
47,Paco Alcácer,4,3,0,2,2,0,6,0.0,6,5,0,5,11,3,0
48,Pedro Alcalá,9,5,5,4,0,1,3,33.3,2,7,3,4,14,41,0
49,Thiago Alcántara,45,35,11,25,9,15,26,57.7,11,22,3,19,27,6,1
50,David Alcibiade,9,5,5,3,1,2,4,50.0,2,5,3,2,7,8,0
51,Toby Alderweireld,19,13,7,11,1,8,15,53.3,7,11,5,6,4,55,0
52,Steve Aldo One,1,0,0,1,0,0,0,,0,0,0,0,0,7,0
53,Álex Alegría,8,5,1,3,4,2,6,33.3,4,7,0,7,4,9,0
54,Iván Alejo,20,16,4,9,7,1,10,10.0,9,9,0,9,5,1,0
55,Alexander,14,11,2,11,1,2,12,16.7,10,11,0,11,22,4,0
56,Trent Alexander-Arnold,37,25,23,9,5,22,36,61.1,14,20,5,15,28,46,1
57,Alexis,33,24,24,7,2,20,45,44.4,25,28,14,14,30,114,3
58,Alisson,1,0,1,0,0,0,1,0.0,1,0,0,0,2,22,4
59,Allan,107,68,24,65,18,36,104,34.6,68,52,3,49,28,16,0
60,Joe Allen,96,62,41,43,12,27,87,31.0,60,43,9,34,58,68,1
61,Dele Alli,46,30,15,21,10,8,34,23.5,26,33,7,26,19,22,1
62,Júnior Alonso,58,31,36,22,0,28,50,56.0,22,26,16,10,56,153,1
63,José Alonso Lara,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
64,Marcos Alonso,51,33,30,18,3,23,44,52.3,21,36,5,31,47,76,1
65,Ricky Álvarez,4,2,1,3,0,1,4,25.0,3,5,0,5,2,3,0
66,Sergio Álvarez,0,0,0,0,0,0,1,0.0,1,1,0,1,0,11,1
67,Yeray Álvarez,12,7,8,4,0,6,9,66.7,3,8,2,6,11,18,0
