,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
0,Brenden Aaronson,1,41,9,22.0,1.56,0.34,0.02,0.11,18.4,2,0,0,3.9,3.9,0.09
1,Paxten Aaronson,0,4,1,25.0,2.08,0.52,0.00,0.00,18.7,0,0,0,0.2,0.2,0.04
2,James Abankwah,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
3,George Abbott,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
4,Yunis Abdelhamid,1,32,3,9.4,0.86,0.08,0.03,0.33,15.0,0,0,0,2.4,2.4,0.07
5,Himad Abdelli,2,24,7,29.2,1.01,0.29,0.08,0.29,22.4,2,0,0,1.4,1.4,0.06
6,Salis Abdul Samed,1,13,4,30.8,0.40,0.12,0.08,0.25,19.1,0,0,0,0.9,0.9,0.07
7,Laurent Abergel,0,13,2,15.4,0.50,0.08,0.00,0.00,24.0,0,0,0,0.5,0.5,0.04
8,Oliver Abildgaard,0,3,2,66.7,0.46,0.30,0.00,0.00,14.0,0,0,0,0.1,0.1,0.05
9,Matthis Abline,2,24,8,33.3,2.68,0.89,0.04,0.13,20.6,0,1,2,3.6,2.0,0.08
10,Matthis Abline,1,6,2,33.3,5.05,1.68,0.17,0.50,12.2,0,0,0,0.8,0.8,0.13
11,Abner,0,5,1,20.0,0.74,0.15,0.00,0.00,13.6,0,0,0,1.7,1.7,0.34
12,Zakaria Aboukhlal,10,83,30,36.1,3.02,1.09,0.12,0.33,15.9,0,0,0,11.5,11.5,0.14
13,Tammy Abraham,8,62,28,45.2,2.55,1.15,0.13,0.29,12.0,0,0,0,10.8,10.8,0.17
14,Christian Acella,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
15,Francesco Acerbi,0,18,2,11.1,0.67,0.07,0.00,0.00,15.9,0,0,0,1.0,1.0,0.06
16,Álvaro Aceves,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
17,Mohamed Achi,0,1,0,0.0,2.50,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.12
18,Marcos Acuña,3,21,5,23.8,0.99,0.24,0.14,0.60,25.6,1,0,0,1.2,1.2,0.06
19,Che Adams,5,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0,0,0,6.7,6.7,0.14
20,Tyler Adams,0,4,0,0.0,0.17,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.03
21,Sargis Adamyan,1,21,11,52.4,2.93,1.54,0.05,0.09,14.0,0,0,0,3.4,3.4,0.16
22,Tosin Adarabioyo,1,16,4,25.0,0.69,0.17,0.06,0.25,21.2,1,0,0,0.7,0.7,0.04
23,Martin Adeline,0,1,0,0.0,0.84,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.07
24,Karim Adeyemi,6,37,14,37.8,2.40,0.91,0.16,0.43,17.4,0,0,1,5.0,4.3,0.12
25,Amine Adli,5,37,17,45.9,2.32,1.07,0.14,0.29,14.0,1,0,0,5.0,5.0,0.14
26,Yacine Adli,0,2,2,100.0,1.25,1.25,0.00,0.00,18.5,0,0,0,0.1,0.1,0.04
27,Michel Aebischer,1,15,2,13.3,0.88,0.12,0.07,0.50,17.1,1,0,0,1.5,1.5,0.10
28,Felix Afena-Gyan,0,21,2,9.5,2.31,0.22,0.00,0.00,18.7,0,0,0,1.9,1.9,0.09
29,Emmanuel Agbadou,0,22,3,13.6,0.83,0.11,0.00,0.00,15.8,0,0,0,1.7,1.7,0.08
30,Julen Agirrezabala,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
31,Lucien Agoume,0,9,3,33.3,0.74,0.25,0.00,0.00,15.6,0,0,0,0.8,0.8,0.09
32,Felix Agu,0,1,0,0.0,1.84,0.00,0.00,,15.9,0,0,0,0.0,0.0,0.04
33,Álvaro Aguado,1,20,6,30.0,0.95,0.29,0.05,0.17,24.6,1,0,0,1.0,1.0,0.05
34,Kevin Agudelo,0,28,7,25.0,1.18,0.30,0.00,0.00,21.4,0,0,0,1.5,1.5,0.05
35,Nayef Aguerd,2,12,2,16.7,0.68,0.11,0.17,1.00,9.9,0,0,0,2.2,2.2,0.19
