,name,passes completed,passes attempted,passes success rate,total distance of passes (yards),progressive distance,short passes completed,short passes attempted,short passes succes rate,medium passes completed,medium passes attempted,medium passes succes rate,long passes completed,long passes attempted,long passes succes rate,assists,expected assists 2nd deegree,expected assists,key passes,passes into 1/3,passes into penalty area
56,Paul Akouokou,16,17,94.1,280,65,7,8,87.5,7,7,100.0,1,1,100.0,0,0.0,0.0,0,0,0
57,Paul Akouokou,158,185,85.4,2723,717,61,73,83.6,76,81,93.8,14,19,73.7,0,0.0,0.1,0,16,0
58,Jean-Daniel Akpa-Akpro,220,263,83.7,3557,826,113,128,88.3,95,104,91.3,12,15,80.0,0,0.1,0.2,1,14,0
59,David Akpan Ankeye,8,9,88.9,85,20,2,3,66.7,3,3,100.0,0,0,,0,0.0,0.4,0,0,1
60,Kevin Akpoguma,611,711,85.9,10584,3879,275,302,91.1,277,307,90.2,50,79,63.3,0,0.3,0.4,5,71,2
61,David Alaba,810,904,89.6,12977,4997,447,464,96.3,297,330,90.0,49,84,58.3,1,0.7,0.8,10,56,5
62,Luis Alberto,1303,1679,77.6,20459,6568,711,797,89.2,442,538,82.2,104,239,43.5,7,4.7,4.8,64,172,48
63,Raúl Albiol,1095,1272,86.1,22569,8497,295,325,90.8,663,714,92.9,130,206,63.1,1,0.8,0.6,3,64,1
64,Thiago Alcántara,7,10,70.0,130,30,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0,0,0
65,Carlos Alcaraz,143,165,86.7,2573,754,68,79,86.1,56,62,90.3,17,19,89.5,1,0.1,0.4,2,20,4
66,Rubén Alcaraz,1271,1582,80.3,23608,6666,577,637,90.6,487,558,87.3,167,303,55.1,1,1.4,1.6,23,151,16
67,Omar Alderete,678,1056,64.2,16564,7319,155,199,77.9,351,441,79.6,167,384,43.5,1,1.0,0.8,13,98,14
68,Iván Alejo,245,481,50.9,4241,1711,117,163,71.8,70,147,47.6,39,104,37.5,2,1.3,2.8,16,17,25
69,Carles Aleñá,308,396,77.8,5315,1146,144,169,85.2,114,138,82.6,38,59,64.4,1,1.6,1.0,18,31,3
70,Trent Alexander-Arnold,1553,2062,75.3,30386,12434,676,734,92.1,607,762,79.7,244,495,49.3,4,7.2,6.1,64,202,57
71,Aboubacar Ali,22,34,64.7,287,51,14,19,73.7,7,12,58.3,0,0,,1,0.1,0.1,1,4,1
72,Mohamed Ali Cho,38,66,57.6,502,124,23,32,71.9,12,18,66.7,1,9,11.1,0,0.1,0.3,1,1,0
73,Mohamed Ali Cho,193,268,72.0,3014,731,111,133,83.5,66,90,73.3,11,27,40.7,2,2.0,1.4,14,10,11
74,Faride Alidou,196,305,64.3,3211,831,97,134,72.4,69,100,69.0,20,41,48.8,0,0.6,0.7,14,14,7
75,Nabil Alioui,228,358,63.7,3856,1464,118,151,78.1,64,92,69.6,35,83,42.2,1,2.2,2.5,24,35,15
76,Alisson,985,1142,86.3,21428,13147,238,239,99.6,597,607,98.4,147,284,51.8,0,0.0,0.0,1,8,0
77,Tadeo Allende,60,98,61.2,900,309,39,52,75.0,12,22,54.5,5,8,62.5,0,0.4,0.2,2,5,2
78,Jim Allevinah,589,743,79.3,8314,2195,321,375,85.6,206,264,78.0,20,42,47.6,1,1.2,1.4,20,36,20
79,Domingos André Ribeiro Almeida,315,399,78.9,4701,1257,183,202,90.6,99,124,79.8,23,40,57.5,1,1.2,0.9,13,29,10
80,Miguel Almirón,668,801,83.4,9023,1846,411,456,90.1,208,250,83.2,21,38,55.3,1,2.6,2.4,24,38,21
81,Pontus Almqvist,351,478,73.4,4689,1071,224,282,79.4,85,120,70.8,17,20,85.0,1,2.7,1.8,27,14,12
82,Marcos Alonso,180,214,84.1,2690,803,105,112,93.8,57,67,85.1,8,21,38.1,0,0.5,0.3,5,10,3
83,Adrià Altimira,389,465,83.7,6578,2133,180,208,86.5,170,193,88.1,31,42,73.8,0,0.1,0.2,2,25,5
84,Sergi Altimira,289,320,90.3,4841,1149,142,154,92.2,110,116,94.8,30,36,83.3,0,0.3,0.3,4,26,2
85,Edson Álvarez,1033,1207,85.6,17083,5225,518,573,90.4,401,445,90.1,87,132,65.9,1,0.6,0.8,12,87,6
86,Gastón Álvarez,754,1017,74.1,14087,5016,296,339,87.3,356,438,81.3,86,197,43.7,0,0.6,0.4,8,64,5
87,Hugo Álvarez,380,455,83.5,5179,1437,241,263,91.6,117,134,87.3,8,27,29.6,1,1.5,1.8,19,19,15
88,Julián Álvarez,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40.0,8,6.4,6.3,67,43,41
89,Yeray Álvarez,572,710,80.6,11772,4181,157,181,86.7,346,378,91.5,63,128,49.2,0,0.1,0.4,3,38,3
90,Skelly Alvero,159,193,82.4,2519,738,83,95,87.4,60,75,80.0,12,16,75.0,0,0.0,0.2,1,17,3
91,Skelly Alvero,59,76,77.6,1098,274,24,35,68.6,25,27,92.6,8,9,88.9,0,0.0,0.0,1,3,1
92,Papa Amadou Diallo,167,257,65.0,2726,899,86,121,71.1,64,98,65.3,12,24,50.0,1,0.9,0.7,12,17,6
93,Selim Amallah,120,164,73.2,1635,456,69,83,83.1,32,46,69.6,7,14,50.0,1,0.3,0.3,4,11,3
94,Amath,76,113,67.3,1118,296,42,55,76.4,24,38,63.2,6,8,75.0,0,0.4,0.3,3,8,4
95,Lorenzo Amatucci,22,25,88.0,449,101,6,7,85.7,14,14,100.0,2,2,100.0,0,0.0,0.1,0,3,0
96,Jordan Amavi,47,54,87.0,858,247,18,20,90.0,25,29,86.2,4,4,100.0,0,0.0,0.0,0,2,0
97,Zeki Amdouni,396,500,79.2,6229,1153,216,265,81.5,141,161,87.6,24,35,68.6,1,1.4,1.3,16,28,9
98,Kelvin Amian,268,350,76.6,4336,1782,142,159,89.3,100,127,78.7,22,45,48.9,1,0.6,0.7,5,26,4
99,Bruno Amione,217,273,79.5,3776,1390,83,99,83.8,114,132,86.4,15,33,45.5,0,0.0,0.0,1,11,0
100,Michael Amir Murillo,492,602,81.7,8248,2497,220,257,85.6,222,268,82.8,35,54,64.8,2,1.2,1.2,7,26,8
101,Nadiem Amiri,567,798,71.1,10700,4288,247,291,84.9,205,263,77.9,94,201,46.8,4,4.3,4.1,52,70,17
102,Nadiem Amiri,92,100,92.0,1039,238,70,72,97.2,17,19,89.5,1,1,100.0,0,0.0,0.1,1,8,2
103,Kofi Amoako,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0
104,Sofyan Amrabat,578,664,87.0,10308,2747,244,274,89.1,264,296,89.2,56,67,83.6,0,0.3,0.4,6,62,6
105,Joachim Andersen,1731,2209,78.4,37874,14700,488,559,87.3,950,1041,91.3,281,547,51.4,3,2.8,2.3,20,171,17
106,Elliot Anderson,370,460,80.4,5041,1322,241,274,88.0,108,130,83.1,8,27,29.6,2,1.9,1.2,15,36,12
107,Felipe Anderson,1012,1336,75.7,14375,3827,601,690,87.1,320,411,77.9,47,96,49.0,6,6.3,4.7,42,66,50
108,Benjamin André,1598,1919,83.3,26448,7329,751,860,87.3,648,733,88.4,123,199,61.8,0,1.3,2.2,19,173,9
109,Komnen Andrić,45,59,76.3,600,72,26,33,78.8,15,18,83.3,1,2,50.0,0,0.2,0.1,4,4,1
110,Robert Andrich,1346,1494,90.1,20529,6451,749,789,94.9,487,542,89.9,74,105,70.5,2,1.8,2.2,22,117,19
111,Miguel Ángel Rubio,622,775,80.3,12049,4316,201,229,87.8,357,405,88.1,58,120,48.3,0,0.1,0.1,2,24,3
112,Angeliño,546,715,76.4,9819,3457,257,285,90.2,221,284,77.8,62,123,50.4,1,1.6,1.5,19,36,21
113,Fabrizio Angileri,68,103,66.0,1143,377,30,38,78.9,25,36,69.4,8,18,44.4,0,1.3,0.9,4,4,4
114,Jaidon Anthony,30,45,66.7,453,139,17,20,85.0,10,14,71.4,1,6,16.7,0,0.0,0.0,0,3,1
115,Waldemar Anton,2330,2624,88.8,41479,15026,904,955,94.7,1251,1342,93.2,143,260,55.0,3,1.0,1.5,9,163,7
116,Michail Antonio,180,308,58.4,2635,626,111,154,72.1,48,90,53.3,13,26,50.0,2,0.9,1.3,8,13,7
117,Antony,468,595,78.7,6175,1608,295,348,84.8,130,153,85.0,16,30,53.3,1,2.8,1.9,22,26,29
118,Christopher Antwi-Adjei,274,454,60.4,4315,1592,154,187,82.4,80,143,55.9,31,80,38.8,2,3.5,3.0,24,11,15
119,Houssem Aouar,300,359,83.6,4459,818,166,181,91.7,113,133,85.0,14,21,66.7,0,0.5,0.6,10,25,3
120,Stredair Appuah,14,23,60.9,184,39,5,7,71.4,7,7,100.0,0,5,0.0,0,0.0,0.0,0,1,0
121,Mauro Arambarri,114,142,80.3,2299,646,48,55,87.3,48,56,85.7,18,25,72.0,0,0.0,0.1,2,17,2
122,Jon Aramburu,254,321,79.1,4015,1243,126,141,89.4,114,137,83.2,11,27,40.7,0,0.0,0.1,0,25,2
123,Asaf Arania,4,4,100.0,60,2,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0
124,Julian Araujo,680,831,81.8,11255,3943,328,367,89.4,297,352,84.4,43,75,57.3,0,1.2,0.9,16,69,12
125,Ronald Araújo,1458,1641,88.8,27691,10325,543,578,93.9,769,818,94.0,136,218,62.4,2,1.4,1.7,8,111,6
126,Oliver Arblaster,349,438,79.7,5894,1788,173,200,86.5,146,166,88.0,26,50,52.0,0,0.7,0.9,11,37,6
127,Cameron Archer,266,332,80.1,3245,471,171,207,82.6,64,69,92.8,5,9,55.6,1,2.8,1.4,23,11,7
128,Cameron Archer,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0,0.0,0.0,0,0,0
129,Alphonse Areola,562,867,64.8,17799,12917,74,76,97.4,245,246,99.6,241,538,44.8,0,0.0,0.0,0,8,0
130,Adu Ares,79,104,76.0,1252,82,45,53,84.9,27,34,79.4,5,9,55.6,0,0.0,0.1,1,5,0
131,Jesús Areso,1021,1368,74.6,16878,7275,502,572,87.8,416,547,76.1,79,160,49.4,6,3.6,2.9,36,77,40
132,Simone Aresti,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0
133,Matias Arezo,52,82,63.4,736,186,31,44,70.5,11,21,52.4,6,8,75.0,0,0.1,0.1,2,3,2
134,Iñigo Arguibide,1,4,25.0,10,0,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0,0,0
135,Yoël Armougom,97,131,74.0,1282,363,61,70,87.1,29,39,74.4,2,15,13.3,0,0.3,0.2,5,5,6
136,José Arnaiz,233,318,73.3,3471,615,136,157,86.6,65,85,76.5,21,43,48.8,1,1.8,1.6,14,6,5
137,Hákon Arnar Haraldsson,451,549,82.1,6644,1432,227,272,83.5,165,195,84.6,26,33,78.8,0,1.5,1.6,15,38,11
138,Marko Arnautović,203,271,74.9,2726,533,124,154,80.5,55,68,80.9,8,11,72.7,3,2.6,2.1,16,9,10
139,Maximilian Arnold,1285,1582,81.2,25047,7547,497,549,90.5,590,664,88.9,175,316,55.4,1,3.9,4.4,48,151,28
140,Mohamed El Arouch,1,1,100.0,22,22,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0
141,Sergio Arribas,588,751,78.3,8318,2305,355,412,86.2,168,196,85.7,32,77,41.6,4,3.7,3.3,42,51,26
142,Kepa Arrizabalaga,386,456,84.6,8976,5956,89,90,98.9,225,226,99.6,72,139,51.8,0,0.0,0.0,0,2,0
143,Arthur,88,109,80.7,1360,367,53,58,91.4,28,39,71.8,6,8,75.0,2,0.3,0.4,5,2,6
144,Takuma Asano,262,397,66.0,3476,855,171,217,78.8,67,96,69.8,11,26,42.3,1,1.3,0.9,21,17,13
145,Marco Asensio,545,656,83.1,8033,2110,304,334,91.0,185,208,88.9,27,68,39.7,5,5.8,4.3,33,49,22
146,Kristjan Asllani,662,744,89.0,12108,3064,296,306,96.7,284,302,94.0,78,120,65.0,2,1.1,0.8,8,47,4
147,Joel Asoro,94,147,63.9,1492,451,47,64,73.4,29,40,72.5,11,23,47.8,1,0.3,0.3,8,9,6
148,Jonathan Asp Jensen,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0
149,Iago Aspas,949,1305,72.7,15355,4670,475,583,81.5,320,408,78.4,98,202,48.5,10,10.1,9.3,90,99,55
150,Lorenz Assignon,352,485,72.6,5411,1984,182,225,80.9,152,194,78.4,10,31,32.3,2,2.6,1.6,13,16,10
151,Lorenz Assignon,516,600,86.0,8700,2414,220,236,93.2,247,284,87.0,34,47,72.3,1,1.8,1.3,20,32,12
152,Youcef Atal,214,238,89.9,3127,832,125,132,94.7,67,73,91.8,14,19,73.7,0,0.8,0.4,4,8,3
153,Valentin Atangana Edoa,155,179,86.6,2784,585,50,60,83.3,90,97,92.8,10,12,83.3,0,0.1,0.3,2,14,1
154,Arthur Atta,301,401,75.1,5603,1409,121,154,78.6,131,157,83.4,39,65,60.0,2,1.3,0.5,12,37,12
155,Noah Atubolu,982,1392,70.5,28328,20599,171,173,98.8,468,474,98.7,343,741,46.3,0,0.0,0.2,0,33,2
156,Pierre-Emerick Aubameyang,444,660,67.3,6310,1446,261,357,73.1,141,204,69.1,16,39,41.0,8,5.6,4.4,27,29,27
157,Emil Audero,166,197,84.3,3484,2227,44,45,97.8,96,100,96.0,25,49,51.0,0,0.0,0.0,0,1,0
158,Tommaso Augello,919,1329,69.1,16120,7212,418,481,86.9,403,550,73.3,90,233,38.6,1,2.0,2.4,27,68,31
159,Carlos Augusto,921,1099,83.8,14740,4852,466,509,91.6,369,422,87.4,61,95,64.2,3,2.8,2.1,19,45,15
160,Yann Aurel Bisseck,590,641,92.0,10225,2915,238,253,94.1,296,313,94.6,47,55,85.5,0,0.5,0.4,1,27,4
161,Serge Aurier,348,448,77.7,5238,2147,191,225,84.9,130,156,83.3,17,45,37.8,2,0.5,0.5,4,31,9
162,Ezequiel Ávila,232,371,62.5,5068,1419,94,122,77.0,75,118,63.6,59,109,54.1,3,2.3,2.7,21,25,18
163,Ezequiel Ávila,55,91,60.4,914,180,26,30,86.7,18,30,60.0,6,17,35.3,0,0.1,0.1,2,2,2
164,Taiwo Awoniyi,127,175,72.6,1594,312,88,111,79.3,34,47,72.3,3,5,60.0,3,1.7,0.9,10,6,3
165,André Ayew,197,266,74.1,2678,655,127,157,80.9,55,72,76.4,5,9,55.6,0,0.8,0.5,8,26,4
166,Jordan Ayew,681,920,74.0,9753,1856,417,478,87.2,213,285,74.7,24,74,32.4,7,4.2,2.7,25,43,26
167,Neil El Aynaoui,576,670,86.0,8486,2193,302,344,87.8,209,230,90.9,25,43,58.1,2,0.8,0.9,16,66,10
168,Sardar Azmoun,108,156,69.2,1497,361,69,90,76.7,34,42,81.0,2,5,40.0,0,1.4,0.5,8,9,4
169,César Azpilicueta,867,1035,83.8,13049,5238,490,522,93.9,300,353,85.0,51,111,45.9,2,2.4,1.9,15,74,15
170,Paulo Azzi,322,487,66.1,5033,2123,175,216,81.0,119,181,65.7,19,59,32.2,0,0.7,0.4,9,24,10
171,Oussama El Azzouzi,352,390,90.3,6100,1161,159,174,91.4,138,147,93.9,42,50,84.0,2,0.6,0.2,6,21,0
172,Abdellah Baallal,3,4,75.0,40,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0
173,Iddrisu Baba,543,654,83.0,10011,2718,207,245,84.5,272,308,88.3,52,67,77.6,0,0.6,0.4,6,51,3
174,Srđan Babić,58,62,93.5,1267,388,13,13,100.0,37,41,90.2,8,8,100.0,0,0.0,0.0,0,2,0
175,Shavy Babicka,77,127,60.6,1188,236,41,58,70.7,27,45,60.0,5,6,83.3,0,0.1,0.4,2,3,7
176,Aliou Badara Baldé,15,30,50.0,183,33,12,17,70.6,2,9,22.2,0,1,0.0,0,0.0,0.0,0,0,0
177,Loïc Bade,1113,1346,82.7,21547,8244,373,411,90.8,623,701,88.9,106,199,53.3,1,0.5,0.5,9,79,1
178,Milan Badelj,1136,1407,80.7,19451,6788,504,579,87.0,474,547,86.7,110,189,58.2,3,1.1,1.4,18,140,23
179,Matthias Bader,687,912,75.3,12501,4100,280,323,86.7,330,394,83.8,67,137,48.9,2,2.3,3.5,18,38,22
180,Benoît Badiashile,1065,1173,90.8,18737,7087,442,463,95.5,543,584,93.0,71,106,67.0,1,1.5,0.9,6,48,4
181,Alex Baena,893,1255,71.2,16899,5861,394,460,85.7,351,467,75.2,129,244,52.9,14,9.2,9.5,83,95,59
182,Jaime Báez,141,202,69.8,2309,920,68,87,78.2,50,64,78.1,16,33,48.5,0,0.5,0.8,8,12,9
183,Nicola Bagnolini,2,3,66.7,106,82,1,1,100.0,0,0,,1,2,50.0,0,0.0,0.0,0,0,0
184,Leon Bailey,573,790,72.5,8993,2559,327,391,83.6,184,242,76.0,48,82,58.5,9,9.2,7.3,52,38,51
185,Eric Bailly,337,385,87.5,6283,2551,112,123,91.1,191,210,91.0,29,41,70.7,0,0.0,0.0,0,12,1
186,Stefan Bajcetic,7,10,70.0,101,44,3,3,100.0,4,6,66.7,0,0,,0,0.0,0.0,0,0,0
187,Nedim Bajrami,330,460,71.7,5347,1538,154,186,82.8,134,174,77.0,25,63,39.7,2,2.2,1.6,22,16,15
188,Cédric Bakambu,26,39,66.7,277,58,14,20,70.0,7,12,58.3,0,0,,0,0.3,0.4,3,1,0
189,Tiemoué Bakayoko,550,637,86.3,9243,2584,251,282,89.0,240,270,88.9,42,50,84.0,1,0.5,0.3,4,55,2
190,Mitchel Bakker,167,212,78.8,2347,433,105,117,89.7,51,62,82.3,6,16,37.5,0,0.1,0.1,3,9,0
191,Ridle Baku,789,1048,75.3,12508,3955,408,475,85.9,306,403,75.9,58,115,50.4,0,3.0,3.5,29,46,26
192,Dilane Bakwa,587,862,68.1,10108,3121,282,345,81.7,214,299,71.6,64,153,41.8,6,6.2,4.6,49,50,36
193,Tommaso Baldanzi,201,257,78.2,3075,751,102,119,85.7,70,86,81.4,15,22,68.2,0,1.0,0.8,13,12,11
194,Tommaso Baldanzi,175,205,85.4,2356,434,111,124,89.5,57,66,86.4,3,7,42.9,0,0.7,0.7,4,16,6
195,Alejandro Balde,694,817,84.9,9879,2231,430,473,90.9,229,264,86.7,22,42,52.4,1,1.2,1.5,13,26,20
196,George Baldock,291,397,73.3,4602,1810,169,191,88.5,100,124,80.6,18,52,34.6,1,0.8,0.6,7,18,11
197,Carlos Baleba,713,775,92.0,10618,2185,402,429,93.7,267,278,96.0,24,30,80.0,0,0.3,0.3,8,38,3
198,Carlos Baleba,39,45,86.7,627,100,20,22,90.9,12,13,92.3,4,6,66.7,0,0.0,0.0,0,5,0
199,Leonardo Balerdi,1402,1628,86.1,26569,9543,520,562,92.5,678,753,90.0,169,260,65.0,0,0.2,0.5,5,115,3
200,Iván Balliu,1116,1487,75.1,18841,8333,553,626,88.3,443,566,78.3,97,206,47.1,1,2.6,2.3,24,77,18
201,Fodé Ballo-Touré,56,78,71.8,1002,224,23,30,76.7,26,33,78.8,6,8,75.0,0,0.0,0.0,0,3,0
202,Folarin Balogun,263,365,72.1,3304,588,150,187,80.2,73,98,74.5,5,16,31.3,5,3.3,1.9,26,20,11
203,Jonathan Bamba,590,769,76.7,7575,2148,397,455,87.3,138,190,72.6,20,36,55.6,2,4.7,3.7,38,38,33
204,Mohamed Bamba,185,256,72.3,2456,373,96,129,74.4,69,88,78.4,3,4,75.0,3,2.1,1.2,14,8,10
205,Samuel Bamba,14,20,70.0,207,42,11,12,91.7,1,2,50.0,2,4,50.0,0,0.1,0.1,1,0,1
206,Lameck Banda,250,342,73.1,3877,745,137,160,85.6,88,113,77.9,15,41,36.6,4,1.9,1.2,24,12,17
207,Daniel Bandeira,187,233,80.3,3306,1112,82,93,88.2,77,91,84.6,22,36,61.1,0,0.2,0.3,3,30,5
208,Mamady Bangré,59,74,79.7,791,234,27,32,84.4,21,26,80.8,2,4,50.0,1,0.7,0.6,6,2,5
209,Mattia Bani,962,1152,83.5,18643,6794,325,356,91.3,533,586,91.0,95,181,52.5,0,0.1,0.1,2,36,1
210,Léo Baptistão,366,568,64.4,5127,1333,217,297,73.1,104,157,66.2,23,49,46.9,0,1.8,1.0,19,21,8
