,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
72,Yeray Álvarez,55,30,39,14,2,19,33,57.6,14,35,16,19,63,149,1
73,Bruno Alves,15,8,11,4,0,4,7,57.1,3,36,28,8,29,210,0
74,Dani Alves,42,22,16,23,3,13,38,34.2,25,18,5,13,8,11,0
75,Ibrahim Amadou,27,20,9,15,3,2,9,22.2,7,7,4,3,11,24,0
76,Romain Amalfitano,52,33,20,28,4,25,67,37.3,42,45,13,32,47,35,0
77,Daniel Amartey,18,12,11,6,1,10,15,66.7,5,6,4,2,17,28,1
78,Jordi Amat,54,31,34,19,1,24,42,57.1,18,31,10,21,43,133,1
79,Amath,20,13,7,11,2,6,27,22.2,21,17,0,17,10,12,0
80,Jordan Amavi,74,50,34,26,14,35,56,62.5,21,24,8,16,46,93,4
81,Kelvin Amian,68,45,54,12,2,20,30,66.7,10,36,13,23,36,113,1
82,Nadiem Amiri,14,9,8,4,2,3,13,23.1,10,11,0,11,7,4,0
83,Yanis Ammour,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
84,Luke Amos,1,0,0,1,0,0,0,,0,0,0,0,0,0,0
85,Joachim Andersen,40,27,31,8,1,19,31,61.3,12,30,15,15,35,147,1
86,Felipe Anderson,89,49,33,44,12,31,101,30.7,70,71,0,71,41,18,1
87,Florin Andone,10,2,3,4,3,1,6,16.7,5,9,1,8,3,12,0
88,Benjamin André,101,60,39,50,12,33,85,38.8,52,40,6,34,54,58,0
89,Marco Andreolli,1,1,1,0,0,1,1,100.0,0,2,1,1,1,5,0
90,Marco Andreolli,10,6,7,2,1,6,10,60.0,4,4,2,2,6,33,0
91,Yoann Andreu,1,0,1,0,0,0,1,0.0,1,0,0,0,1,0,0
92,José Ángel,66,46,36,23,7,31,56,55.4,25,24,5,19,41,113,1
93,Miguel Ángel Moyá,1,1,1,0,0,1,2,50.0,1,0,0,0,1,9,2
94,Cristian Ansaldi,50,26,19,21,10,15,30,50.0,15,21,4,17,15,31,0
95,Mirco Antenucci,11,9,5,1,5,1,10,10.0,9,14,0,14,5,5,0
96,Waldemar Anton,49,32,33,14,2,22,50,44.0,28,56,33,23,69,169,3
97,Luca Antonelli,13,11,4,5,4,7,17,41.2,10,19,4,15,16,25,1
98,Mauro Antonio Burruchaga,2,2,1,1,0,0,2,0.0,2,2,1,1,0,3,0
99,Michail Antonio,23,14,12,6,5,6,12,50.0,6,38,3,35,18,26,1
100,Antoñito,35,21,16,15,4,18,42,42.9,24,21,8,13,18,31,0
101,Vitorino Antunes,41,26,22,17,2,27,45,60.0,18,33,7,26,43,75,1
102,Anuar,33,19,15,16,2,6,14,42.9,8,14,1,13,11,25,1
103,Dennis Aogo,15,10,6,7,2,6,15,40.0,9,8,1,7,9,19,0
104,Houssem Aouar,63,38,28,25,10,17,61,27.9,44,33,6,27,32,25,3
105,Emmanuel Apeh,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
106,Mauro Arambarri,59,33,18,37,4,23,76,30.3,53,44,9,35,30,36,0
107,Guilherme Arana,11,6,5,5,1,6,7,85.7,1,6,3,3,9,8,0
