,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist
0,Brenden Aaronson,1143,12,116,495,554,72,1143,100,34,34.0,48,48.0,686,3646,1532
1,Paxten Aaronson,99,2,6,41,53,17,99,6,3,50.0,3,50.0,55,314,143
2,James Abankwah,39,8,26,13,0,0,39,1,1,100.0,0,0.0,18,48,19
3,George Abbott,2,1,1,1,0,0,2,0,0,,0,,0,0,0
4,Yunis Abdelhamid,2459,241,1088,1275,123,39,2459,37,21,56.8,14,37.8,1723,10871,6123
5,Himad Abdelli,1516,26,237,914,409,23,1516,76,43,56.6,28,36.8,1184,6861,3294
6,Salis Abdul Samed,2224,66,404,1502,340,16,2224,49,29,59.2,13,26.5,1849,9645,3457
7,Laurent Abergel,1779,76,581,1069,151,4,1779,41,23,56.1,14,34.1,1384,6069,2597
8,Oliver Abildgaard,257,15,82,137,40,13,257,1,1,100.0,0,0.0,99,401,156
9,Matthis Abline,210,3,11,101,103,41,208,23,12,52.2,11,47.8,141,918,319
10,Matthis Abline,37,1,1,15,22,15,37,0,0,,0,,27,174,105
11,Abner,425,25,128,189,113,11,425,10,3,30.0,7,70.0,204,858,469
12,Zakaria Aboukhlal,1163,32,156,456,571,151,1163,109,42,38.5,57,52.3,901,6003,2662
13,Tammy Abraham,786,19,50,391,355,125,786,68,22,32.4,37,54.4,421,2154,856
14,Christian Acella,11,0,1,9,1,0,11,0,0,,0,,7,19,7
15,Francesco Acerbi,1890,226,858,880,167,27,1890,12,7,58.3,4,33.3,1041,5108,2867
16,Álvaro Aceves,8,6,8,0,0,0,8,0,0,,0,,8,42,34
17,Mohamed Achi,25,0,4,11,10,0,25,1,0,0.0,1,100.0,21,134,75
18,Marcos Acuña,1523,69,406,670,467,26,1523,54,26,48.1,23,42.6,823,4070,2178
19,Che Adams,717,29,66,286,377,103,717,34,17,50.0,13,38.2,406,1623,471
20,Tyler Adams,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555
21,Sargis Adamyan,310,6,36,134,147,48,310,27,6,22.2,16,59.3,166,924,352
22,Tosin Adarabioyo,1545,231,776,735,47,19,1545,11,9,81.8,2,18.2,834,4470,2733
23,Martin Adeline,59,4,22,22,16,1,59,3,1,33.3,2,66.7,31,173,83
24,Karim Adeyemi,676,11,68,240,384,65,675,94,34,36.2,48,51.1,455,3163,1489
25,Amine Adli,786,9,74,394,327,67,786,58,26,44.8,22,37.9,467,2610,1368
