,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
27,Michele Cerofolini,8,7,675,11,1.47,28,18,60.7,2,2,3,3,42.9,1,0,0,1,
28,Lucas Chevalier,33,33,"2,969",32,0.97,123,91,76.4,16,10,7,15,45.5,5,3,2,0,40.0
29,Oliver Christensen,4,4,360,9,2.25,19,10,63.2,1,1,2,0,0.0,2,2,0,0,0.0
30,Andrea Consigli,35,35,"3,150",68,1.94,159,93,61.6,6,8,21,3,8.6,10,7,1,2,12.5
31,Nikita Contini Baranovsky,1,0,17,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
32,Benoît Costil,13,13,"1,170",29,2.23,66,38,60.6,2,3,8,1,7.7,3,3,0,0,0.0
33,Grégoire Coudert,3,2,181,0,0.00,4,4,100.0,2,0,0,2,100.0,0,0,0,0,
34,Thibaut Courtois,4,4,332,0,0.00,15,15,100.0,3,1,0,3,75.0,0,0,0,0,
35,Alessio Cragno,3,3,270,7,2.33,14,8,57.1,1,1,1,0,0.0,1,1,0,0,0.0
36,Cristian,1,0,57,1,1.58,3,2,66.7,0,0,0,0,,0,0,0,0,
37,Iván Cuéllar,1,1,90,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
38,Finn Dahmen,31,31,"2,790",52,1.68,158,106,71.5,10,9,12,3,9.7,10,7,2,1,22.2
39,Rémy Descamps,6,6,540,11,1.83,37,26,73.0,2,2,2,1,16.7,2,1,0,1,0.0
40,Arthur Desmas,33,33,"2,970",43,1.30,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50.0
41,Raffaele Di Gennaro,1,0,23,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,
42,Michele Di Gregorio,33,33,"2,872",35,1.10,159,122,79.9,11,11,11,12,36.4,5,3,2,0,40.0
43,Mory Diaw,30,30,"2,700",54,1.80,188,134,74.5,4,8,18,5,16.7,8,6,1,1,14.3
44,Guillaume Dietsch,1,0,73,1,1.23,3,2,66.7,0,0,0,0,,0,0,0,0,
45,Stole Dimitrievski,37,37,"3,330",47,1.27,150,104,69.3,8,14,15,13,35.1,2,1,1,0,50.0
46,Yehvann Diouf,34,34,"3,060",47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3
47,Marko Dmitrović,13,13,"1,170",25,1.92,68,44,66.2,2,2,9,2,15.4,2,2,0,0,0.0
48,Jaume Doménech,2,1,79,3,3.42,12,9,75.0,0,0,1,0,0.0,0,0,0,0,
49,Gianluigi Donnarumma,25,25,"2,169",20,0.83,110,89,84.5,18,6,1,10,40.0,4,3,1,0,25.0
50,Martin Dúbravka,23,22,"1,985",42,1.90,130,87,70.8,9,4,9,5,22.7,5,4,1,0,20.0
51,Ederson,33,33,"2,785",27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0.0
52,Aarón Escandell,2,1,153,3,1.76,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
53,Łukasz Fabiański,10,7,721,21,2.62,53,33,66.0,3,1,3,1,14.3,3,3,0,0,0.0
54,Wladimiro Falcone,38,38,"3,420",54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0,16.7
55,Aitor Fernández,7,6,551,9,1.47,20,11,60.0,0,2,4,1,16.7,1,1,0,0,0.0
56,Raúl Fernández,4,4,280,11,3.54,17,7,35.3,1,0,3,0,0.0,1,0,0,1,
57,Fernando,4,4,360,10,2.50,23,13,56.5,1,1,2,0,0.0,0,0,0,0,
58,André Ferreira,15,14,"1,340",29,1.95,77,49,66.2,0,5,9,0,0.0,3,3,0,0,0.0
59,Vincenzo Fiorillo,4,4,360,8,2.00,26,18,69.2,0,2,2,0,0.0,0,0,0,0,
60,Mark Flekken,37,37,"3,285",63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0.0
61,Wes Foderingham,30,29,"2,649",79,2.68,204,130,63.7,3,4,22,1,3.4,6,5,0,1,0.0
62,Daniel Fuzato,1,0,7,2,25.71,2,0,0.0,0,0,0,0,,0,0,0,0,
63,Paulo Gazzaniga,38,38,"3,420",46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7
64,Luca Gemello,2,2,180,5,2.50,9,4,55.6,0,0,2,0,0.0,1,1,0,0,0.0
65,David Gil,5,4,372,8,1.94,24,17,66.7,0,3,1,1,25.0,0,0,0,0,
66,Pierluigi Gollini,7,7,630,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,
67,Mathieu Gorgelin,1,1,90,2,2.00,5,3,80.0,0,0,1,0,0.0,1,1,0,0,0.0
68,Jens Grahl,2,2,180,2,1.00,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
69,Ivo Grbić,9,9,771,25,2.92,59,36,57.6,0,3,6,0,0.0,1,0,0,1,
70,Dominik Greif,1,1,90,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,
71,Vicente Guaita,27,26,"2,403",39,1.46,120,83,70.8,8,7,11,6,23.1,5,4,0,1,0.0
72,Péter Gulácsi,13,13,"1,170",9,0.69,41,33,78.0,9,4,0,5,38.5,1,0,0,1,
73,Dean Henderson,18,18,"1,620",30,1.67,86,57,66.3,8,4,6,4,22.2,1,1,0,0,0.0
74,Sergio Herrera,32,32,"2,869",47,1.47,132,84,64.4,12,7,13,9,28.1,1,0,1,0,100.0
75,Lukáš Hrádecký,33,33,"2,970",24,0.73,102,78,76.5,28,5,0,15,45.5,0,0,0,0,
76,Sam Johnstone,20,20,"1,796",27,1.35,67,41,62.7,5,6,9,6,30.0,2,2,0,0,0.0
77,Filip Jørgensen,36,36,"3,240",63,1.75,205,143,72.2,13,10,13,6,16.7,6,6,0,0,0.0
78,Thomas Kaminski,38,38,"3,405",85,2.25,221,140,63.3,6,8,24,2,5.3,4,4,0,0,0.0
79,Loris Karius,1,1,90,4,4.00,7,4,42.9,0,0,1,0,0.0,0,0,0,0,
80,Caoimhín Kelleher,10,10,900,11,1.10,38,28,71.1,8,2,0,2,20.0,0,0,0,0,
81,Gregor Kobel,27,27,"2,365",34,1.29,118,84,75.4,14,8,5,7,25.9,6,5,1,0,16.7
82,Philipp Köhn,22,22,"1,980",32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7
83,Tomáš Koubek,3,3,270,8,2.67,25,17,68.0,0,0,3,0,0.0,0,0,0,0,
84,Matej Kovar,1,1,90,0,0.00,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
85,Alban Lafont,28,28,"2,496",43,1.55,118,75,70.3,7,4,17,7,25.0,8,8,0,0,0.0
86,Nicola Leali,3,2,176,2,1.02,9,7,77.8,1,0,1,0,0.0,0,0,0,0,
87,Jean-Louis Leca,1,1,90,2,2.00,2,0,0.0,0,1,0,0,0.0,0,0,0,0,
88,Benjamin Lecomte,30,30,"2,700",37,1.23,137,102,75.9,9,11,10,10,33.3,5,4,1,0,20.0
89,Jeremías Ledesma,34,34,"3,048",47,1.39,151,104,70.2,6,12,16,9,26.5,2,2,0,0,0.0
90,Bernd Leno,38,38,"3,420",61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0.0
91,Anthony Lopes,31,31,"2,790",49,1.58,155,106,71.0,16,4,11,9,29.0,6,4,1,1,20.0
92,Pau López,33,33,"2,939",39,1.19,124,86,71.0,13,11,9,7,21.2,3,3,0,0,0.0
93,Andriy Lunin,21,21,"1,890",17,0.81,65,48,75.4,16,5,0,10,47.6,1,1,0,0,0.0
94,Andreas Luthe,1,1,90,4,4.00,4,1,0.0,0,0,1,0,0.0,0,0,0,0,
95,Mike Maignan,29,29,"2,609",34,1.17,120,86,77.5,19,5,5,10,34.5,7,7,0,0,0.0
96,Radosław Majecki,12,12,"1,080",10,0.83,54,45,81.5,9,2,1,7,58.3,0,0,0,0,
97,Giorgi Mamardashvili,37,37,"3,284",41,1.12,145,103,73.8,13,10,14,13,35.1,6,3,3,0,50.0
98,Steve Mandanda,34,34,"3,060",46,1.35,147,104,70.7,12,10,12,7,20.6,3,3,0,0,0.0
99,Christos Mandas,9,8,721,6,0.75,29,23,79.3,6,1,1,4,50.0,0,0,0,0,
100,Vito Mannone,2,1,91,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
101,Diego Mariño,1,1,90,2,2.00,4,2,100.0,0,0,1,0,0.0,2,2,0,0,0.0
102,Unai Marrero,2,1,142,3,1.90,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0
103,Tommaso Martinelli,1,1,90,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,
104,Emiliano Martínez,34,34,"3,015",48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0
105,Josep Martinez,36,36,"3,239",43,1.19,130,87,69.2,11,13,12,8,22.2,4,3,1,0,25.0
106,Marc Martínez,3,3,270,11,3.67,23,12,60.9,0,0,3,0,0.0,2,2,0,0,0.0
107,Remi Matthews,1,0,4,1,22.50,1,0,0.0,0,0,0,0,,0,0,0,0,
108,Luís Maximiano,33,33,"2,970",63,1.91,175,111,66.3,2,11,20,6,18.2,7,4,1,2,20.0
109,Alex Meret,31,31,"2,773",40,1.30,104,62,63.5,10,13,8,5,16.1,4,2,2,0,50.0
110,Alexander Meyer,8,7,695,9,1.17,27,19,66.7,4,1,2,3,42.9,0,0,0,0,
111,Vanja Milinković-Savić,36,36,"3,240",31,0.86,134,103,81.3,13,14,9,18,50.0,6,6,0,0,0.0
112,Antonio Mirante,2,2,177,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,0,0,
113,Lorenzo Montipò,37,37,"3,330",49,1.32,153,105,69.3,9,10,18,8,21.6,2,2,0,0,0.0
114,Kevin Müller,34,34,"3,060",55,1.62,174,121,72.4,10,12,12,6,17.6,10,7,1,2,12.5
115,Arijanet Muric,10,10,900,16,1.60,78,62,80.8,2,4,4,0,0.0,2,1,1,0,50.0
116,Juan Musso,11,11,990,12,1.09,34,23,70.6,6,1,4,6,54.5,2,2,0,0,0.0
117,Yvon Mvogo,34,34,"3,060",66,1.94,207,142,72.0,7,8,19,4,11.8,8,8,0,0,0.0
118,Lapo Nava,1,0,3,1,30.00,2,1,50.0,0,0,0,0,,0,0,0,0,
119,Keylor Navas,4,4,360,6,1.50,12,6,58.3,2,2,0,1,25.0,1,1,0,0,0.0
120,Massamba Ndiaye,4,4,360,6,1.50,24,18,79.2,1,2,1,0,0.0,1,1,0,0,0.0
121,Neto,32,32,"2,880",55,1.72,165,110,69.7,10,9,13,7,21.9,6,5,1,0,16.7
122,Manuel Neuer,23,23,"2,053",33,1.45,93,59,66.7,16,1,6,6,26.1,3,2,1,0,33.3
123,Moritz Nicolas,27,27,"2,430",49,1.81,160,111,71.9,6,11,10,4,14.8,4,4,0,0,0.0
124,Alexander Nübel,30,30,"2,700",36,1.20,107,74,69.2,20,3,7,11,36.7,3,3,0,0,0.0
125,Ørjan Nyland,24,24,"2,160",27,1.13,104,78,76.9,8,9,7,6,25.0,3,3,0,0,0.0
126,Jan Oblak,38,38,"3,420",43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0.0
127,Guillermo Ochoa,21,21,"1,890",44,2.10,115,72,67.8,0,6,15,1,4.8,7,7,0,0,0.0
128,Maduka Okoye,21,21,"1,890",25,1.19,89,65,75.3,5,8,8,5,23.8,3,3,0,0,0.0
129,Robin Olsen,5,4,405,13,2.89,34,20,61.8,1,0,3,0,0.0,1,0,1,0,100.0
130,Jonas Omlin,7,7,630,18,2.57,47,29,66.0,1,2,4,0,0.0,2,2,0,0,0.0
131,André Onana,38,38,"3,420",58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0
132,Stefan Ortega,9,5,635,7,0.99,27,20,74.1,4,1,0,3,60.0,0,0,0,0,
133,Alexandre Oukidja,34,34,"2,987",57,1.72,185,128,72.4,8,5,21,6,17.6,6,6,0,0,0.0
134,Jesús Owono,4,4,360,8,2.00,24,16,66.7,1,2,1,1,25.0,0,0,0,0,
135,Rui Patrício,23,23,"2,070",27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0.0
136,Jiří Pavlenka,7,7,630,17,2.43,38,21,60.5,2,0,5,1,14.3,2,2,0,0,0.0
137,Iñaki Peña,10,10,900,17,1.70,39,22,56.4,6,2,2,2,20.0,0,0,0,0,
138,Daniel Peretz,1,0,17,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
139,Simone Perilli,1,1,90,2,2.00,10,8,80.0,0,1,0,0,0.0,0,0,0,0,
140,Mattia Perin,3,3,225,1,0.40,5,4,80.0,2,1,0,1,33.3,0,0,0,0,
141,Samuele Perisan,1,1,90,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
142,Pavao Pervan,9,9,810,17,1.89,36,20,52.8,2,1,6,2,22.2,0,0,0,0,
143,Denis Petrić,1,0,24,1,3.75,1,0,0.0,0,0,0,0,,0,0,0,0,
144,Đorđe Petrović,23,22,"1,987",38,1.72,108,73,65.7,13,5,4,5,22.7,2,1,0,1,0.0
145,Jordan Pickford,38,38,"3,420",51,1.34,165,117,73.9,13,9,16,13,34.2,8,8,0,0,0.0
146,Carlo Pinsoglio,1,0,45,0,0.00,3,3,100.0,0,0,0,1,,0,0,0,0,
147,Nick Pope,15,15,"1,345",16,1.07,58,42,72.4,9,2,4,5,33.3,0,0,0,0,
148,Ivan Provedel,30,30,"2,699",33,1.10,119,86,73.9,12,6,12,9,30.0,3,2,0,1,0.0
149,Ionuț Radu,2,2,180,7,3.50,11,4,36.4,1,0,1,0,0.0,0,0,0,0,
150,Boris Radunović,7,7,630,12,1.71,27,16,55.6,0,2,5,2,28.6,1,0,0,1,
151,Predrag Rajković,36,36,"3,240",43,1.19,138,95,71.7,7,15,14,9,25.0,5,4,1,0,20.0
152,Aaron Ramsdale,6,6,540,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,
153,Federico Ravaglia,6,6,535,3,0.50,18,13,83.3,4,1,1,4,66.7,1,0,1,0,100.0
154,David Raya,32,32,"2,880",24,0.75,69,45,68.1,23,4,5,16,50.0,3,2,1,0,33.3
155,Pepe Reina,2,2,180,2,1.00,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
156,Álex Remiro,37,37,"3,275",36,0.99,130,94,76.2,16,12,9,15,40.5,6,5,1,0,16.7
157,Guillaume Restes,34,34,"3,060",46,1.35,139,93,69.8,11,10,13,6,17.6,4,4,0,0,0.0
158,Manuel Riemann,33,33,"2,970",70,2.12,185,116,67.0,7,12,14,4,12.1,11,9,2,0,18.2
159,Rémy Riou,3,3,270,6,2.00,14,8,57.1,0,1,2,1,33.3,0,0,0,0,
160,Francesco Rossi,1,0,5,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
161,Frederik Rønnow,33,33,"2,970",56,1.70,162,105,68.5,9,6,18,7,21.2,7,5,2,0,28.6
162,José Sá,35,35,"3,037",58,1.72,188,131,73.4,12,7,16,4,11.4,8,8,0,0,0.0
163,Brice Samba,33,33,"2,970",35,1.06,136,101,78.7,14,8,11,14,42.4,8,6,1,1,14.3
164,Robert Sánchez,16,16,"1,433",25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3
165,Marcel Schuhen,31,31,"2,790",76,2.45,198,123,62.1,3,7,21,3,9.7,2,1,1,0,50.0
166,Marvin Schwäbe,34,34,"3,060",60,1.76,168,108,66.1,5,12,17,4,11.8,3,3,0,0,0.0
167,Alexander Schwolow,1,1,90,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
168,Simone Scuffet,31,31,"2,789",55,1.77,129,76,59.7,8,10,13,3,9.7,3,3,0,0,0.0
169,Matz Sels,16,16,"1,440",27,1.69,61,36,57.4,4,4,8,1,6.3,1,1,0,0,0.0
170,Matz Sels,19,19,"1,710",24,1.26,62,40,62.9,6,7,6,3,15.8,1,1,0,0,0.0
171,James Shea,1,0,15,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,
172,Rui Silva,28,28,"2,475",36,1.31,120,85,75.8,10,9,9,9,32.1,8,7,1,0,12.5
173,Marco Silvestri,17,17,"1,530",28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0.0
174,Unai Simón,36,36,"3,182",33,0.93,122,90,73.8,18,11,7,16,44.4,5,1,3,1,75.0
175,Antonio Sivera,34,34,"3,060",38,1.12,123,87,75.6,11,8,15,10,29.4,8,8,0,0,0.0
176,Łukasz Skorupski,32,32,"2,880",29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2,25.0
177,Daniele Sommariva,1,0,5,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
178,Yann Sommer,34,34,"3,060",19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1,33.3
179,David Soria,38,38,"3,413",52,1.37,171,118,72.5,10,13,15,10,26.3,7,5,1,1,16.7
180,Alessandro Sorrentino,7,5,548,16,2.63,32,16,62.5,0,1,4,0,0.0,4,4,0,0,0.0
181,Marco Sportiello,7,7,630,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0.0
182,Jason Steele,17,17,"1,530",34,2.00,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0.0
183,Thomas Strakosha,2,1,135,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
184,Mile Svilar,15,15,"1,350",19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0,50.0
185,Wojciech Szczęsny,35,35,"3,150",30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3
186,Arnau Tenas,6,5,529,7,1.19,25,18,72.0,2,2,1,1,20.0,0,0,0,0,
187,Marc-André ter Stegen,28,28,"2,520",27,0.96,102,75,75.5,20,5,3,15,53.6,2,2,0,0,0.0
188,Pietro Terracciano,33,33,"2,970",35,1.06,126,90,77.0,15,8,10,8,24.2,7,6,1,0,14.3
189,James Trafford,28,28,"2,520",62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0
190,Kevin Trapp,32,32,"2,880",48,1.50,137,87,71.5,10,13,9,7,21.9,11,9,2,0,18.2
191,Mark Travers,4,4,360,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0
192,Stefano Turati,31,31,"2,745",58,1.90,152,94,65.1,6,9,16,4,12.9,7,5,1,1,16.7
193,Matt Turner,17,17,"1,530",28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0.0
194,Sven Ulreich,11,11,990,12,1.09,31,19,64.5,7,2,2,4,36.4,1,1,0,0,0.0
195,Álvaro Vallés,37,37,"3,263",44,1.21,152,108,74.3,10,10,17,8,21.6,9,5,3,1,37.5
196,Bart Verbruggen,21,21,"1,890",28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0
197,Guglielmo Vicario,38,38,"3,420",61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0.0
198,Fran Vieites,4,3,315,4,1.14,18,14,77.8,1,2,0,2,66.7,0,0,0,0,
199,Iván Villar,12,12,"1,014",18,1.60,44,26,63.6,2,4,6,0,0.0,3,2,1,0,33.3
200,Odisseas Vlachodimos,5,5,450,12,2.40,22,10,50.0,1,0,4,1,20.0,1,1,0,0,0.0
201,Robin Zentner,30,30,"2,700",48,1.60,128,81,64.8,7,12,11,7,23.3,4,3,0,1,0.0
202,Michael Zetterer,27,27,"2,430",37,1.37,128,92,74.2,9,9,9,6,22.2,4,4,0,0,0.0
