,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
0,Julen Agirrezabala,4,2,238,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,0,0,
1,Alisson,28,28,"2,520",30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0
2,Alphonse Areola,31,31,"2,699",53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6
3,Simone Aresti,1,0,1,1,90.00,1,0,100.0,0,0,0,0,,1,1,0,0,0.0
4,Kepa Arrizabalaga,14,13,"1,198",9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,
5,Noah Atubolu,34,34,"3,060",58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0
6,Emil Audero,4,4,337,3,0.80,11,8,72.7,2,1,1,2,50.0,0,0,0,0,
7,Nicola Bagnolini,1,0,5,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
8,Augusto Batalla,17,17,"1,530",28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,
9,Daniel Batz,4,4,360,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,
10,Oliver Baumann,34,34,"3,060",66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0
11,Alaa Bellaarouch,15,15,"1,350",26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0
12,Daniel Bentley,5,3,383,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,
13,Etrit Berisha,14,14,"1,260",25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3
14,Dimitry Bertaud,4,4,360,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,
15,Marco Bizot,32,32,"2,876",34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3
16,Rubén Blanco,2,1,121,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
17,Janis Blaswich,21,21,"1,890",30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0.0
18,Yassine Bounou,1,1,90,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
19,Claudio Bravo,7,7,630,5,0.71,20,16,75.0,3,4,0,2,28.6,0,0,0,0,
20,Fabian Bredlow,4,4,360,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,
21,Alexander Brunst,3,3,270,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,
22,Marcin Bułka,34,34,"3,060",29,0.85,105,74,77.1,15,10,9,17,50.0,8,5,3,0,37.5
23,Elia Caprile,23,23,"2,070",27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0,20.0
24,Cárdenas,1,1,90,1,1.00,1,0,0.0,0,0,1,0,0.0,0,0,0,0,
25,Marco Carnesecchi,27,27,"2,425",30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3
26,Koen Casteels,25,25,"2,250",39,1.56,115,78,67.8,8,6,11,4,16.0,3,2,0,1,0.0
