,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
398,Erick Cabaco,0,1,0,0.0,0.34,0.00,0.00,,6.0,0,0,0,0.3,0.3,0.26
399,Erick Cabaco,0,4,0,0.0,0.44,0.00,0.00,,14.6,0,0,0,0.3,0.3,0.09
400,Willy Caballero,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
401,Yohan Cabaye,0,11,3,27.3,1.15,0.31,0.00,0.00,23.2,1,0,0,0.5,0.5,0.05
402,Manuel Cabit,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
403,Ariday Cabrera,0,1,1,100.0,2.43,2.43,0.00,0.00,17.7,0,0,0,0.1,0.1,0.05
404,Leandro Cabrera,2,10,3,30.0,0.59,0.18,0.20,0.67,12.5,0,0,0,1.0,1.0,0.10
405,Leandro Cabrera,0,1,0,0.0,0.06,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.03
406,Fabrizio Cacciatore,0,3,0,0.0,0.23,0.00,0.00,,13.5,0,0,0,0.3,0.3,0.10
407,Martín Cáceres,1,12,3,25.0,0.46,0.11,0.08,0.33,12.2,0,0,0,2.0,2.0,0.17
408,Anthony Caci,1,4,3,75.0,0.52,0.39,0.25,0.33,19.9,0,0,0,0.4,0.4,0.10
409,Jhonder Cádiz,2,31,13,41.9,3.49,1.46,0.06,0.15,14.8,0,0,0,3.2,3.2,0.10
410,Mathieu Cafaro,1,38,12,31.6,3.70,1.17,0.00,0.00,24.6,7,1,1,2.7,1.9,0.05
411,Jonathan Cafu,0,1,0,0.0,0.45,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.04
412,Gary Cahill,0,21,5,23.8,0.87,0.21,0.00,0.00,12.3,0,0,0,1.6,1.6,0.07
413,Felipe Caicedo,9,29,13,44.8,1.86,0.83,0.31,0.69,13.2,0,0,1,5.5,4.7,0.16
414,Arturo Calabresi,1,6,1,16.7,0.29,0.05,0.17,1.00,16.9,0,0,0,0.8,0.8,0.14
415,Davide Calabria,1,13,2,15.4,0.72,0.11,0.08,0.50,22.9,0,0,0,0.5,0.5,0.04
416,Riccardo Calafiori,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
417,Mattia Caldara,0,5,0,0.0,0.47,0.00,0.00,,11.1,0,0,0,0.3,0.3,0.05
418,Marco Calderoni,3,23,5,21.7,1.00,0.22,0.13,0.60,25.8,0,0,0,0.7,0.7,0.03
419,Fernando Calero,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
