,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
35,Joseph Aidoo,26,17,17,9,0,12,21,57.1,9,7,4,3,25,88,1
36,Ola Aina,37,20,22,7,8,21,43,48.8,22,22,6,16,45,94,2
37,Rayan Aït-Nouri,29,16,18,10,1,13,27,48.1,14,14,1,13,15,25,0
38,Rayan Aït-Nouri,3,2,1,2,0,3,5,60.0,2,2,1,1,4,1,0
39,Semi Ajayi,40,14,34,6,0,23,41,56.1,18,51,32,19,42,122,2
40,Ludovic Ajorque,30,18,6,18,6,7,31,22.6,24,14,5,9,11,54,0
41,Manuel Akanji,41,22,23,12,6,19,31,61.3,12,23,10,13,49,70,1
42,Carlos Akapo,18,14,14,4,0,10,18,55.6,8,16,3,13,19,33,0
43,Marley Aké,3,3,1,0,2,0,1,0.0,1,2,0,2,0,1,0
44,Nathan Aké,10,5,3,6,1,3,4,75.0,1,2,1,1,9,23,0
45,Paul Akouokou,11,8,2,8,1,5,8,62.5,3,3,1,2,6,7,0
46,Jean-Daniel Akpa-Akpro,38,25,13,22,3,8,27,29.6,19,24,6,18,18,13,0
47,Kevin Akpoguma,18,12,11,6,1,8,14,57.1,6,28,15,13,13,32,2
48,David Alaba,37,21,14,19,4,17,32,53.1,15,29,13,16,43,60,0
49,Sofiane Alakouch,53,33,30,16,7,29,45,64.4,16,17,2,15,21,38,0
50,Jony Álamo,2,1,1,0,1,0,1,0.0,1,0,0,0,1,0,0
51,Lucas Alario,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,0
52,Jordi Alba,45,30,22,16,7,24,52,46.2,28,21,2,19,49,48,0
53,Luis Alberto,43,24,15,19,9,15,73,20.5,58,41,2,39,13,11,1
54,Raúl Albiol,22,15,19,3,0,13,18,72.2,5,32,22,10,22,146,2
55,Marc Albrighton,33,19,14,15,4,16,45,35.6,29,29,3,26,17,27,1
56,Paco Alcácer,6,3,1,2,3,3,7,42.9,4,8,0,8,9,6,0
57,Pedro Alcalá,8,4,6,2,0,3,5,60.0,2,19,13,6,16,50,0
58,Thiago Alcántara,61,36,20,30,11,17,49,34.7,32,26,0,26,30,14,0
59,Rubén Alcaraz,54,29,32,21,1,30,80,37.5,50,35,8,27,31,28,0
60,Omar Alderete,16,10,11,5,0,7,16,43.8,9,14,10,4,21,61,1
61,Toby Alderweireld,35,22,22,11,2,18,30,60.0,12,40,28,12,10,121,0
62,Iván Alejo,14,10,8,4,2,4,23,17.4,19,14,1,13,3,10,0
63,Carles Aleñá,1,0,1,0,0,0,0,,0,0,0,0,0,0,0
64,Carles Aleñá,15,10,3,9,3,7,25,28.0,18,14,1,13,2,2,0
65,Rúnar Alex Rúnarsson,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
66,Trent Alexander-Arnold,56,33,31,18,7,36,56,64.3,20,24,3,21,49,50,3
67,Alfon,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
68,Mohamed Ali Cho,9,7,2,6,1,4,9,44.4,5,4,0,4,3,0,0
69,Ezgjan Alioski,74,31,38,28,8,32,74,43.2,42,17,2,15,23,50,2
70,Rachid Alioui,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
71,Alisson,3,2,3,0,0,3,4,75.0,1,0,0,0,2,26,7
72,Saturnin Allagbé,0,0,0,0,0,0,1,0.0,1,0,0,0,0,9,3
73,Allan,80,45,39,37,4,28,95,29.5,67,31,12,19,19,25,1
74,Dele Alli,18,11,8,6,4,7,19,36.8,12,9,0,9,7,3,0
75,Miguel Almirón,49,29,21,25,3,14,56,25.0,42,23,4,19,25,20,1
76,Marcos Alonso,13,3,6,4,3,7,14,50.0,7,12,1,11,12,30,0
77,Sergio Álvarez,42,25,13,26,3,8,22,36.4,14,22,5,17,22,24,2
78,Yeray Álvarez,19,12,11,8,0,9,21,42.9,12,12,5,7,53,73,0
79,Bruno Alves,13,10,10,3,0,7,9,77.8,2,17,12,5,26,81,0
80,Steven Alzate,17,8,10,4,3,6,15,40.0,9,8,1,7,8,10,0
81,Ibrahim Amadou,39,26,18,19,2,15,38,39.5,23,14,4,10,23,25,0
82,Romain Amalfitano,4,2,3,1,0,1,3,33.3,2,2,1,1,1,1,0
83,Emmanuel Amankwaa Akurugu,0,0,0,0,0,0,1,0.0,1,1,0,1,2,1,0
84,Daniel Amartey,11,7,6,4,1,8,12,66.7,4,8,4,4,12,26,0
85,Jordan Amavi,11,9,9,1,1,9,12,75.0,3,12,2,10,27,33,1
86,Thierry Ambrose,7,4,1,1,5,2,12,16.7,10,2,0,2,2,4,0
87,Wisdom Amey,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
88,Nadiem Amiri,12,7,4,8,0,7,33,21.2,26,18,3,15,12,7,0
89,Ethan Ampadu,57,36,31,24,2,20,46,43.5,26,40,19,21,49,87,3
90,Sofyan Amrabat,39,22,11,24,4,18,48,37.5,30,30,5,25,23,12,0
91,Jon Ander Garrido,18,10,8,7,3,10,26,38.5,16,12,4,8,14,13,0
92,Joachim Andersen,33,19,18,11,4,15,28,53.6,13,24,13,11,44,151,1
93,Joachim Andersen,2,1,1,1,0,2,2,100.0,0,1,1,0,2,6,0
94,Djavan Anderson,0,0,0,0,0,0,1,0.0,1,1,0,1,1,0,0
95,Elliot Anderson,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
96,Felipe Anderson,1,1,0,1,0,0,0,,0,0,0,0,0,0,0
97,Sebastian Andersson,3,2,0,3,0,1,8,12.5,7,10,3,7,2,9,0
98,Nícolas Andrade,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
99,Benjamin André,114,68,47,61,6,53,122,43.4,69,39,10,29,76,49,0
100,Marcos André,8,2,2,2,4,0,8,0.0,8,15,2,13,2,9,0
101,Robert Andrich,51,24,22,27,2,24,53,45.3,29,40,6,34,51,31,2
102,Victorien Angban,36,24,17,15,4,17,42,40.5,25,17,4,13,19,9,1
103,Ángel,0,0,0,0,0,0,0,,0,0,0,0,0,1,0
104,José Ángel,15,8,9,4,2,8,12,66.7,4,7,0,7,13,17,1
105,Miguel Ángel Rubio,0,0,0,0,0,0,0,,0,2,2,0,3,11,0
106,Angeliño,31,19,10,18,3,13,24,54.2,11,22,1,21,30,40,0
107,Davide Angelo Ghislandi,0,0,0,0,0,0,0,,0,0,0,0,0,1,0
108,Philip Ankhrah,0,0,0,0,0,0,0,,0,1,0,1,0,0,0
109,Cristian Ansaldi,48,33,25,14,9,24,38,63.2,14,21,7,14,16,38,0
110,Waldemar Anton,31,20,17,14,0,12,31,38.7,19,28,18,10,47,114,0
111,Michail Antonio,7,4,1,5,1,1,7,14.3,6,20,3,17,7,7,0
112,José Antonio Miranda,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0
113,Valentin Antov,4,2,3,1,0,3,10,30.0,7,6,5,1,4,13,0
114,Houssem Aouar,17,12,0,13,4,8,25,32.0,17,17,1,16,17,4,0
115,Adil Aouchiche,38,20,12,17,9,13,49,26.5,36,15,1,14,10,6,0
116,Dennis Appiah,55,34,33,15,7,32,59,54.2,27,23,6,17,25,43,0
117,Aritz Arambarri,1,1,0,1,0,1,2,50.0,1,0,0,0,0,0,0
118,Mauro Arambarri,64,39,22,35,7,23,80,28.8,57,40,5,35,42,28,0
119,Charles Aránguiz,41,23,16,21,4,17,43,39.5,26,32,4,28,33,17,0
120,Luiz Araújo,38,25,12,18,8,8,28,28.6,20,23,1,22,11,3,0
121,Néstor Araujo,24,16,14,9,1,7,15,46.7,8,23,18,5,43,89,2
122,Ronald Araújo,22,11,12,8,2,9,9,100.0,0,24,15,9,20,47,1
123,Anaitz Arbilla,45,26,31,11,3,27,54,50.0,27,36,11,25,69,73,1
124,Alphonse Areola,1,0,1,0,0,1,5,20.0,4,0,0,0,1,13,3
125,Santiago Arias,2,1,0,1,1,1,1,100.0,0,0,0,0,1,4,0
126,Karim Aribi,2,2,0,1,1,0,5,0.0,5,1,0,1,0,3,0
127,Unai Arietaleanizbeaskoa,1,0,0,0,1,0,0,,0,0,0,0,0,0,0
128,Nicolò Armini,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
129,Stuart Armstrong,60,41,19,32,9,27,75,36.0,48,26,1,25,24,19,0
130,Maximilian Arnold,47,32,20,26,1,18,49,36.7,31,24,3,21,49,57,0
131,Tolu Arokodare,1,1,0,0,1,0,0,,0,1,0,1,1,0,0
132,Sergio Arribas,3,1,2,1,0,1,3,33.3,2,2,0,2,4,2,0
133,Kepa Arrizabalaga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3
134,Tolgay Arslan,52,32,24,24,4,25,54,46.3,29,22,2,20,22,15,1
135,Kwadwo Asamoah,4,3,2,2,0,2,3,66.7,1,5,1,4,4,2,1
136,Santiago Ascacíbar,30,15,15,14,1,15,28,53.6,13,23,2,21,13,14,0
137,Sergio Asenjo,0,0,0,0,0,0,1,0.0,1,0,0,0,0,13,2
138,Marco Asensio,12,6,7,4,1,3,24,12.5,21,15,0,15,11,10,0
139,Kristoffer Askildsen,0,0,0,0,0,0,0,,0,2,0,2,3,3,0
140,Iago Aspas,11,3,2,7,2,2,23,8.7,21,25,2,23,16,21,0
141,Roger Assalé,10,8,3,5,2,4,12,33.3,8,7,3,4,2,2,0
142,Youcef Atal,25,12,11,14,0,13,26,50.0,13,10,2,8,26,12,0
143,Miguel Atienza,20,9,5,15,0,8,23,34.8,15,14,1,13,9,12,0
144,Pierre-Emerick Aubameyang,12,8,7,4,1,3,20,15.0,17,18,0,18,7,17,0
145,Emil Audero,1,1,1,0,0,1,2,50.0,1,0,0,0,1,16,0
146,Tommaso Augello,42,30,27,10,5,23,39,59.0,16,22,2,20,32,76,1
147,Jean-Kévin Augustin,2,0,0,2,0,2,2,100.0,0,0,0,0,0,0,0
148,Ludwig Augustinsson,37,20,19,14,4,17,29,58.6,12,21,7,14,20,62,0
149,Serge Aurier,55,33,33,17,5,15,40,37.5,25,28,5,23,19,44,3
150,Charlie Austin,4,2,1,2,1,1,3,33.3,2,0,0,0,3,4,0
151,Ezequiel Ávila,6,2,3,1,2,2,4,50.0,2,1,0,1,1,0,0
152,Taiwo Awoniyi,5,3,2,3,0,1,14,7.1,13,9,0,9,3,4,0
153,Mehmet Aydin,15,7,9,6,0,4,10,40.0,6,6,1,5,6,16,0
154,Jordan Ayew,38,26,8,16,14,16,44,36.4,28,28,2,26,16,12,0
155,Kaan Ayhan,15,9,8,5,2,8,13,61.5,5,9,5,4,16,33,0
156,Luke Ayling,108,61,69,30,9,49,87,56.3,38,53,36,17,36,96,5
157,Ramon Azeez,1,1,0,1,0,0,0,,0,0,0,0,1,1,0
158,César Azpilicueta,53,28,22,24,7,19,37,51.4,18,30,5,25,28,62,2
159,Ludovic Baal,6,5,4,1,1,2,5,40.0,3,4,1,3,5,5,0
160,Carlos Bacca,9,5,5,3,1,3,5,60.0,2,5,0,5,3,2,0
161,Loïc Bade,57,34,47,10,0,30,55,54.5,25,43,17,26,74,135,2
162,Milan Badelj,56,27,27,22,7,26,84,31.0,58,51,10,41,87,45,1
163,Édgar Badía,1,0,1,0,0,1,3,33.3,2,0,0,0,0,17,3
164,Benoît Badiashile,24,17,15,9,0,13,28,46.4,15,21,12,9,58,102,4
165,Alex Baena,4,3,1,2,1,1,3,33.3,2,1,1,0,1,1,0
166,Miguel Baeza,7,6,5,2,0,5,13,38.5,8,3,0,3,3,2,0
167,Stéphane Bahoken,9,6,1,7,1,4,12,33.3,8,9,0,9,9,9,0
168,Leon Bailey,14,8,3,7,4,4,15,26.7,11,13,0,13,9,3,0
169,Eric Bailly,5,5,3,1,1,0,1,0.0,1,13,11,2,13,36,2
170,Stefan Bajic,0,0,0,0,0,0,0,,0,0,0,0,0,1,0
171,Tiemoué Bakayoko,69,41,21,41,7,23,40,57.5,17,24,2,22,36,13,2
172,Mitchel Bakker,38,30,15,14,9,17,26,65.4,9,22,2,20,22,20,0
173,Ridle Baku,50,31,20,20,10,22,53,41.5,31,54,4,50,40,33,1
174,Ridle Baku,4,2,3,1,0,2,6,33.3,4,3,1,2,3,6,0
175,Dilane Bakwa,2,2,1,1,0,0,1,0.0,1,2,0,2,1,0,0
176,Fabián Balbuena,24,12,23,1,0,14,23,60.9,9,23,6,17,25,63,0
177,Keita Baldé,9,6,2,6,1,4,10,40.0,6,10,1,9,0,3,0
178,George Baldock,47,34,28,14,5,21,50,42.0,29,26,7,19,25,70,1
179,Gareth Bale,17,10,4,9,4,7,14,50.0,7,13,2,11,8,16,0
180,Mikel Balenziaga,26,15,11,12,3,9,18,50.0,9,22,7,15,7,46,0
181,Leonardo Balerdi,29,18,19,7,3,14,31,45.2,17,17,9,8,28,65,3
182,Fodé Ballo-Touré,21,17,9,11,1,6,13,46.2,7,7,0,7,6,11,1
183,Botond Balogh,9,7,9,0,0,2,5,40.0,3,4,3,1,2,8,0
184,Abdoulaye Bamba,27,17,19,7,1,19,28,67.9,9,7,1,6,19,34,0
185,Jonathan Bamba,45,23,15,19,11,24,84,28.6,60,24,2,22,24,15,0
186,Robson Bambu,16,11,14,2,0,11,14,78.6,3,8,7,1,10,57,0
187,Patrick Bamford,21,9,2,11,8,8,27,29.6,19,14,4,10,10,37,0
188,Mattia Bani,10,5,5,5,0,5,12,41.7,7,16,11,5,27,44,0
189,Mattia Bani,20,11,15,4,1,4,8,50.0,4,10,6,4,33,50,0
190,Simon Banza,13,6,0,4,9,1,14,7.1,13,16,1,15,7,15,0
191,Antonín Barák,30,19,8,16,6,14,47,29.8,33,26,7,19,12,38,1
192,Federico Barba,31,16,22,8,1,21,35,60.0,14,39,18,21,48,94,4
193,Danilo Barbosa,6,3,5,1,0,4,6,66.7,2,2,1,1,2,11,2
194,Barcia,1,1,1,0,0,0,0,,0,1,1,0,3,9,0
195,Melvin Bard,12,8,7,4,1,6,11,54.5,5,10,2,8,6,14,0
196,Enis Bardhi,28,12,8,16,4,10,36,27.8,26,8,2,6,21,14,0
197,Phil Bardsley,6,5,4,2,0,3,6,50.0,3,3,1,2,6,12,0
198,Nicolò Barella,58,31,23,29,6,23,72,31.9,49,29,4,25,26,14,0
199,Philipp Bargfrede,0,0,0,0,0,0,0,,0,0,0,0,0,3,0
200,Kike Barja,10,5,6,1,3,5,24,20.8,19,10,1,9,16,8,0
201,Ross Barkley,6,2,2,4,0,3,15,20.0,12,9,1,8,5,6,1
202,Ross Barkley,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
203,Aymen Barkok,29,15,11,9,9,10,31,32.3,21,15,1,14,10,9,1
204,Ashley Barnes,12,6,2,6,4,3,13,23.1,10,14,2,12,5,11,0
205,Harvey Barnes,19,9,11,3,5,5,22,22.7,17,16,3,13,8,11,0
206,Marc Baró,2,1,2,0,0,0,2,0.0,2,1,0,1,2,2,1
207,Antonio Barragán,28,14,21,5,2,12,21,57.1,9,22,8,14,33,67,1
208,Antonio Barreca,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0
209,Leandro Barreiro Martins,58,32,19,26,13,20,50,40.0,30,34,9,25,57,55,0
210,Ander Barrenetxea,29,19,5,18,6,9,24,37.5,15,20,0,20,6,8,0
211,Jacob Barrett Laursen,23,12,13,8,2,10,16,62.5,6,14,4,10,24,37,0
212,Musa Barrow,26,10,8,10,8,10,25,40.0,15,37,2,35,11,15,0
213,Kyle Bartley,27,16,14,10,3,11,23,47.8,12,50,35,15,38,159,1
214,Paolo Bartolomei,6,2,3,1,2,4,7,57.1,3,1,0,1,1,2,0
215,Marc Bartra,27,16,18,8,1,12,22,54.5,10,19,5,14,40,74,3
216,Daniele Baselli,12,7,3,6,3,6,10,60.0,4,2,0,2,9,5,0
217,Chris Basham,69,42,41,23,5,41,67,61.2,26,36,15,21,49,105,1
218,Toma Bašić,33,22,15,16,2,16,58,27.6,42,21,5,16,32,42,1
219,Álvaro Bastida,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
220,Alessandro Bastoni,36,22,13,21,2,17,27,63.0,10,34,16,18,40,75,0
221,Simone Bastoni,50,29,26,22,2,27,52,51.9,25,19,1,18,16,31,0
222,Bastos,3,1,2,0,1,3,5,60.0,2,1,0,1,0,3,0
223,Michy Batshuayi,5,3,1,2,2,1,9,11.1,8,5,1,4,4,5,0
224,Rodrigo Battaglia,38,16,21,14,3,16,50,32.0,34,30,14,16,29,40,1
225,Cristian Battocchio,5,2,1,4,0,2,9,22.2,7,0,0,0,4,5,0
226,Oliver Baumann,0,0,0,0,0,0,1,0.0,1,0,0,0,2,14,0
227,Julian Baumgartlinger,43,20,14,26,3,16,31,51.6,15,12,0,12,12,10,1
228,Christoph Baumgartner,44,31,13,24,7,14,51,27.5,37,40,8,32,24,24,0
229,Jon Bautista,5,3,0,2,3,0,3,0.0,3,3,1,2,2,4,0
230,Paul Baysse,35,18,21,13,1,16,21,76.2,5,33,24,9,52,123,1
231,Noah Joel Sarenren Bazee,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,0
232,Ihlas Bebou,24,9,5,10,9,8,14,57.1,6,18,4,14,17,16,0
233,Rodrigo Becão,59,33,36,20,3,27,49,55.1,22,48,27,21,68,94,2
234,Sheraldo Becker,5,4,2,2,1,3,5,60.0,2,4,0,4,6,7,0
235,Timo Becker,34,23,28,6,0,16,25,64.0,9,18,4,14,22,58,0
236,Jan Bednarek,37,19,25,11,1,25,49,51.0,24,44,27,17,84,132,0
237,Donny van de Beek,15,10,2,11,2,7,15,46.7,8,10,1,9,6,7,0
238,Valon Behrami,21,9,9,10,2,9,26,34.6,17,13,5,8,9,13,0
239,Brian Behrendt,0,0,0,0,0,0,1,0.0,1,0,0,0,0,1,0
240,Maximilian Beier,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
241,Ishak Belfodil,3,2,0,0,3,0,2,0.0,2,1,0,1,1,3,0
242,Erwan Belhadji,3,0,3,0,0,3,5,60.0,2,1,0,1,0,0,0
243,Haris Belkebla,69,39,32,28,9,31,66,47.0,35,26,5,21,57,34,0
244,Stefan Bell,24,18,15,9,0,14,23,60.9,9,19,11,8,27,76,1
245,Karim Bellarabi,12,10,3,4,5,4,17,23.5,13,12,0,12,12,4,0
246,Jean-Ricner Bellegarde,56,39,22,25,9,14,23,60.9,9,20,2,18,19,16,0
247,Héctor Bellerín,29,19,14,12,3,12,41,29.3,29,26,8,18,33,33,0
248,Jude Bellingham,49,31,11,29,9,19,46,41.3,27,37,5,32,24,13,0
249,Andrea Belotti,30,18,4,16,10,11,35,31.4,24,27,4,23,12,21,0
250,Fran Beltrán,30,22,15,12,3,8,24,33.3,16,14,1,13,16,24,0
251,Sami Ben Amar,0,0,0,0,0,0,0,,0,1,0,1,0,0,0
252,Hatem Ben Arfa,11,7,1,7,3,2,9,22.2,7,3,0,3,2,0,0
253,Salim Ben Seghir,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
254,Wissam Ben Yedder,18,9,2,10,6,3,13,23.1,10,16,0,16,13,3,0
255,Ahmad Benali,19,11,10,9,0,11,38,28.9,27,15,2,13,6,15,0
256,Samy Benchamma,1,1,1,0,0,0,0,,0,0,0,0,0,1,0
257,Lars Bender,19,13,12,6,1,9,21,42.9,12,19,5,14,16,19,0
258,Sven Bender,17,9,8,8,1,7,20,35.0,13,20,9,11,21,41,1
259,Darío Benedetto,6,4,1,4,1,5,13,38.5,8,9,2,7,3,17,0
260,László Bénes,8,6,4,4,0,2,8,25.0,6,6,2,4,7,1,1
261,László Bénes,6,2,5,1,0,2,4,50.0,2,0,0,0,2,1,0
262,Walter Benítez,1,1,1,0,0,1,3,33.3,2,1,0,1,1,7,2
263,Loris Benito,42,26,27,12,3,22,48,45.8,26,33,10,23,42,70,0
264,Sergio Benito,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
265,Bilal Benkhedim,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0
266,Djamel Benlamri,5,3,5,0,0,3,6,50.0,3,3,2,1,6,11,0
267,Ismaël Bennacer,39,18,17,21,1,15,32,46.9,17,10,1,9,20,12,0
268,Saïd Benrahma,24,15,8,11,5,8,28,28.6,20,10,0,10,8,8,0
269,Yassine Benrahou,16,9,8,6,2,7,25,28.0,18,9,0,9,4,5,1
270,Ramy Bensebaini,43,24,27,13,3,26,42,61.9,16,39,7,32,47,66,0
271,Josh Benson,5,1,3,0,2,1,6,16.7,5,3,0,3,3,2,0
272,Nabil Bentaleb,14,8,7,6,1,4,15,26.7,11,5,2,3,6,8,0
273,Rodrigo Bentancur,63,33,21,37,5,20,59,33.9,39,35,12,23,47,46,1
274,Christian Benteke,15,7,1,7,7,2,9,22.2,7,17,6,11,4,39,0
275,Karim Benzema,8,6,4,2,2,5,15,33.3,10,9,2,7,8,24,0
276,Yassine Benzia,10,5,5,3,2,2,10,20.0,8,3,0,3,6,2,0
277,Alessandro Berardi,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
278,Domenico Berardi,42,22,17,11,14,21,62,33.9,41,23,1,22,26,34,0
279,Gaetano Berardi,2,2,1,0,1,0,0,,0,2,1,1,1,2,0
280,Yuri Berchiche,24,19,14,5,5,10,24,41.7,14,14,0,14,11,29,0
281,Álex Berenguer,2,0,0,0,2,2,5,40.0,3,2,0,2,0,1,0
282,Álex Berenguer,47,31,21,20,6,9,51,17.6,42,48,3,45,18,27,0
283,Bartosz Bereszyński,66,44,37,22,7,41,73,56.2,32,40,20,20,42,88,0
284,Jóhann Berg Guðmundsson,19,11,6,9,4,11,23,47.8,12,11,2,9,17,19,0
285,Sander Berge,16,7,8,5,3,7,15,46.7,8,11,2,9,4,18,0
286,Steven Bergwijn,15,7,8,3,4,7,20,35.0,13,7,1,6,5,9,0
287,Valon Berisha,40,23,19,17,4,11,47,23.4,36,14,2,12,25,21,1
288,Bernard,8,3,3,3,2,7,15,46.7,8,5,0,5,8,6,0
289,Federico Bernardeschi,9,4,3,5,1,4,20,20.0,16,6,2,4,14,7,1
290,Bernardo,10,8,8,1,1,4,6,66.7,2,2,0,2,1,1,0
291,Paul Bernardoni,1,1,1,0,0,1,2,50.0,1,0,0,0,2,23,1
292,Juan Bernat,5,3,0,4,1,3,5,60.0,2,4,0,4,1,6,0
293,Dimitry Bertaud,0,0,0,0,0,0,0,,0,0,0,0,1,2,0
294,Marco Bertini,1,0,1,0,0,0,0,,0,0,0,0,0,0,0
295,Ryan Bertrand,60,32,26,27,7,30,48,62.5,18,19,1,18,30,41,1
296,Daniel Bessa,15,8,3,11,1,6,14,42.9,8,5,1,4,2,0,0
297,Loïc Bessile,0,0,0,0,0,0,0,,0,2,1,1,1,3,0
298,Jordan Beyer,2,1,2,0,0,1,2,50.0,1,5,4,1,5,5,0
299,Giulian Biancone,3,3,1,1,1,2,3,66.7,1,1,0,1,1,4,0
300,Bartosz Białek,6,5,1,4,1,4,4,100.0,0,5,1,4,3,4,0
301,Ermin Bičakčić,1,1,0,1,0,1,1,100.0,0,1,1,0,3,9,0
302,Pedro Bigas,11,9,7,4,0,7,14,50.0,7,12,6,6,23,54,0
303,El Bilal Touré,22,12,3,16,3,8,18,44.4,10,8,3,5,6,10,1
304,Cristiano Biraghi,42,23,19,15,8,27,45,60.0,18,23,9,14,27,56,3
305,Davide Biraschi,17,9,12,5,0,5,10,50.0,5,12,6,6,21,26,0
306,Yves Bissouma,104,68,50,48,6,33,67,49.3,34,42,6,36,64,67,0
307,Leonardo Bittencourt,58,32,24,28,6,16,51,31.4,35,29,2,27,13,10,0
308,Alejandro Blanco,8,4,4,4,0,3,18,16.7,15,5,0,5,8,9,0
309,Antonio Blanco,7,2,4,2,1,3,7,42.9,4,6,2,4,3,5,0
310,Rubén Blanco,0,0,0,0,0,0,0,,0,0,0,0,0,7,3
311,Ludovic Blas,58,30,18,37,3,23,54,42.6,31,33,4,29,21,19,0
312,Alejandro Blesa,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
313,Jérôme Boateng,26,16,17,8,1,14,32,43.8,18,24,17,7,40,63,1
314,Antonin Bobichon,23,14,10,8,5,9,15,60.0,6,4,1,3,2,1,0
315,Yann Bodiger,2,2,1,1,0,1,6,16.7,5,7,3,4,8,4,0
316,Jean-Paul Boëtius,42,28,13,15,14,17,47,36.2,30,37,3,34,33,14,0
317,Sacha Boey,54,40,30,23,1,27,55,49.1,28,25,5,20,41,62,0
318,Sacha Boey,3,3,2,1,0,3,4,75.0,1,0,0,0,2,2,0
319,Jeremie Boga,11,9,5,0,6,3,11,27.3,8,10,0,10,8,7,0
320,Melayro Bogarde,7,3,3,3,1,5,9,55.6,4,0,0,0,5,1,0
