,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
0,Ismael Aaneba,0,0,0,0,0,0,0,,0,0,0,0,1,1,0
1,Patrick van Aanholt,35,22,18,17,0,19,43,44.2,24,18,6,12,30,40,2
2,Yunis Abdelhamid,59,37,36,23,0,26,42,61.9,16,34,15,19,61,132,0
3,Sabit Abdulai,2,0,1,1,0,1,3,33.3,2,0,0,0,0,0,0
4,Mehdi Abeid,34,19,16,14,4,15,30,50.0,15,9,2,7,20,10,0
5,Laurent Abergel,145,84,64,69,12,54,162,33.3,108,64,6,58,46,12,0
6,Charles Abi,8,2,5,0,3,3,12,25.0,9,6,2,4,4,5,0
7,Matthis Abline,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
8,Pape Abou Cissé,15,13,10,5,0,6,10,60.0,4,7,4,3,27,87,0
9,David Abraham,18,12,13,3,2,11,17,64.7,6,13,4,9,17,34,0
10,Tammy Abraham,7,5,3,3,1,1,7,14.3,6,6,0,6,5,17,0
11,Amir Abrashi,1,1,1,0,0,0,0,,0,1,1,0,2,1,0
12,Gennaro Acampora,6,4,1,4,1,2,7,28.6,5,4,1,3,4,4,0
13,Francesco Acerbi,51,32,34,13,4,18,40,45.0,22,24,15,9,76,121,2
14,Ragnar Ache,2,0,0,1,1,0,0,,0,1,0,1,1,1,0
15,Marcos Acuña,62,42,34,20,8,23,41,56.1,18,23,2,21,23,30,1
16,Che Adams,25,16,4,15,6,6,17,35.3,11,20,2,18,4,19,1
17,Tyler Adams,35,24,12,15,8,17,31,54.8,14,22,5,17,29,30,0
18,Sargis Adamyan,9,4,4,3,2,7,14,50.0,7,2,0,2,6,1,0
19,Tosin Adarabioyo,37,19,30,6,1,19,40,47.5,21,26,20,6,42,197,2
20,Bobby Adekanye,0,0,0,0,0,0,1,0.0,1,0,0,0,0,1,0
21,Yacine Adli,74,37,30,33,11,35,92,38.0,57,27,2,25,39,17,2
22,Andrea Adorante,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
23,Adrián,0,0,0,0,0,0,0,,0,0,0,0,0,3,1
24,Martin Agirregabiria,32,18,17,12,3,17,33,51.5,16,9,3,6,27,36,0
25,Lucien Agoume,18,10,11,7,0,6,19,31.6,13,10,5,5,15,10,0
26,Felix Agu,20,9,10,9,1,10,18,55.6,8,14,3,11,12,18,0
27,Kevin Agudelo,39,28,9,15,15,12,34,35.3,22,30,0,30,10,2,0
28,Nayef Aguerd,37,30,28,9,0,21,33,63.6,12,34,22,12,47,102,0
29,Sergio Agüero,4,1,0,2,2,2,11,18.2,9,2,0,2,2,0,0
30,Ruben Aguilar,63,37,32,21,10,32,52,61.5,20,30,3,27,47,43,1
31,Naouirou Ahamada,4,1,3,1,0,1,1,100.0,0,2,0,2,1,1,0
32,Matteo Ahlinvi,26,20,10,14,2,11,39,28.2,28,6,0,6,2,8,0
33,Jean-Eudes Aholou,46,25,18,25,3,19,48,39.6,29,17,5,12,53,32,0
34,Jean-Eudes Aholou,1,0,0,1,0,1,3,33.3,2,0,0,0,1,1,0
