,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
0,Patrick van Aanholt,43,23,31,10,2,23,50,46.0,27,31,9,22,45,52,1
1,Max Aarons,48,30,33,9,6,18,36,50.0,18,46,29,17,37,97,1
2,Yunis Abdelhamid,46,33,29,15,2,17,30,56.7,13,26,14,12,47,99,1
3,Suleiman Abdullahi,0,0,0,0,0,0,3,0.0,3,2,1,1,1,1,0
4,Mehdi Abeid,55,29,18,32,5,20,53,37.7,33,16,3,13,23,8,1
5,Charles Abi,9,9,2,5,2,2,7,28.6,5,2,0,2,4,4,0
6,David Abraham,21,14,16,4,1,15,32,46.9,17,27,11,16,25,61,1
7,Tammy Abraham,8,4,2,5,1,3,14,21.4,11,20,2,18,6,27,0
8,Amir Abrashi,16,8,7,8,1,10,19,52.6,9,18,3,15,7,16,2
9,Francesco Acerbi,59,29,42,12,5,14,20,70.0,6,40,27,13,42,109,1
10,Che Adams,6,4,1,5,0,1,4,25.0,3,9,1,8,2,10,0
11,Tyler Adams,22,15,13,8,1,12,25,48.0,13,16,1,15,14,14,0
12,Sargis Adamyan,11,7,3,6,2,3,21,14.3,18,8,1,7,2,4,0
13,Antonio Adán,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
14,Bobby Adekanye,3,2,0,3,0,0,5,0.0,5,0,0,0,2,1,0
15,Claud Adjapong,5,3,4,1,0,2,3,66.7,1,4,3,1,3,7,0
16,Amine Adli,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,0
17,Yacine Adli,22,14,4,15,3,11,34,32.4,23,10,0,10,8,3,0
18,Adrián,1,1,1,0,0,1,1,100.0,0,0,0,0,0,8,3
19,Aritz Aduriz,3,2,0,3,0,0,0,,0,0,0,0,0,2,0
20,Lumor Agbenyenu,31,21,19,9,3,16,35,45.7,19,13,2,11,21,66,1
21,Martin Agirregabiria,55,30,32,18,5,30,54,55.6,24,19,7,12,18,48,0
22,Lucien Agoume,3,2,0,2,1,0,0,,0,3,1,2,0,0,0
23,Kevin Agudelo,2,1,0,1,1,0,1,0.0,1,1,0,1,1,0,0
24,Kevin Agudelo,23,14,9,12,2,10,20,50.0,10,12,1,11,6,2,0
25,Nayef Aguerd,13,9,7,5,1,8,12,66.7,4,11,11,0,18,54,0
26,Sergio Agüero,7,4,0,4,3,1,8,12.5,7,9,1,8,3,2,0
27,Ruben Aguilar,36,22,19,15,2,19,28,67.9,9,6,2,4,11,21,0
28,Emmanuel Agyemang-Badu,1,1,0,1,0,1,2,50.0,1,2,2,0,1,6,0
29,Jean-Eudes Aholou,16,12,2,11,3,3,9,33.3,6,6,1,5,15,10,0
30,Joseph Aidoo,43,27,30,11,2,13,27,48.1,14,31,14,17,45,124,3
31,Ola Aina,45,24,23,18,4,17,37,45.9,20,24,6,18,41,61,0
32,Youssef Aït Bennasser,11,8,6,4,1,4,24,16.7,20,6,1,5,4,10,1
33,Rayan Aït-Nouri,29,22,14,8,7,10,21,47.6,11,14,1,13,18,33,0
34,Albian Ajeti,1,0,0,0,1,0,0,,0,0,0,0,0,0,0
35,Ludovic Ajorque,15,10,2,10,3,2,13,15.4,11,11,0,11,2,20,0
36,Manuel Akanji,38,21,23,14,1,12,20,60.0,8,20,11,9,30,61,2
37,Marley Aké,2,2,1,1,0,1,3,33.3,2,0,0,0,1,1,0
38,Nathan Aké,31,21,23,8,0,14,23,60.9,9,40,29,11,36,152,0
39,Chadrac Akolo,16,8,8,6,2,5,12,41.7,7,6,1,5,5,5,0
40,Kevin Akpoguma,24,16,20,4,0,13,24,54.2,11,21,11,10,13,48,0
41,David Alaba,30,17,14,15,1,16,25,64.0,9,19,10,9,29,40,0
42,Sofiane Alakouch,45,26,25,13,7,25,48,52.1,23,13,2,11,23,39,3
43,Lucas Alario,6,3,0,4,2,1,8,12.5,7,12,2,10,1,9,0
44,Jordi Alba,20,13,9,7,4,6,27,22.2,21,12,3,9,37,40,0
45,Luis Alberto,50,30,21,19,10,27,82,32.9,55,32,1,31,21,9,1
46,Raúl Albiol,43,23,27,16,0,18,27,66.7,9,29,21,8,42,175,2
47,Marc Albrighton,24,17,10,13,1,9,30,30.0,21,19,2,17,10,8,0
48,Paco Alcácer,3,3,2,1,0,1,7,14.3,6,4,1,3,2,10,0
49,Paco Alcácer,2,2,0,2,0,1,5,20.0,4,4,1,3,2,3,0
50,Thiago Alcántara,45,26,17,23,5,12,33,36.4,21,12,3,9,45,13,1
51,Rubén Alcaraz,61,30,37,20,4,30,63,47.6,33,46,15,31,15,41,0
52,Toby Alderweireld,40,29,24,13,3,11,24,45.8,13,48,32,16,31,172,2
53,Haitam Aleesami,36,16,25,9,2,18,43,41.9,25,33,10,23,34,59,1
54,Álex Alegría,1,0,1,0,0,0,0,,0,2,0,2,0,0,0
55,Carles Aleñá,2,1,1,1,0,1,4,25.0,3,1,0,1,0,0,0
56,Carles Aleñá,14,9,5,7,2,3,17,17.6,14,4,1,3,1,3,0
57,Rúnar Alex Rúnarsson,0,0,0,0,0,0,2,0.0,2,0,0,0,0,3,3
58,Trent Alexander-Arnold,55,34,35,17,3,36,78,46.2,42,27,9,18,45,84,3
59,Enrico Alfonso,0,0,0,0,0,0,0,,0,0,0,0,0,2,0
60,Rachid Alioui,8,5,0,7,1,2,13,15.4,11,3,0,3,2,9,0
61,Alisson,0,0,0,0,0,0,2,0.0,2,0,0,0,1,13,3
62,Allan,50,27,20,21,9,18,54,33.3,36,19,3,16,16,11,1
63,Dele Alli,34,16,11,20,3,13,37,35.1,24,35,3,32,17,17,2
64,Miguel Almirón,60,39,32,20,8,19,52,36.5,33,25,1,24,31,25,0
65,Marcos Alonso,28,16,20,6,2,14,33,42.4,19,18,2,16,20,32,0
66,Mickaël Alphonse,39,25,26,12,1,23,37,62.2,14,19,3,16,17,64,0
67,Sergio Álvarez,37,22,11,24,2,8,24,33.3,16,16,2,14,17,26,1
68,Sergio Álvarez,0,0,0,0,0,0,0,,0,0,0,0,0,1,0
69,Yeray Álvarez,36,19,28,7,1,17,30,56.7,13,33,22,11,62,138,2
70,Bruno Alves,17,11,12,5,0,8,13,61.5,5,30,21,9,25,150,2
71,Steven Alzate,33,19,20,11,2,17,27,63.0,10,18,3,15,14,13,0
72,Ibrahim Amadou,18,11,9,8,1,3,11,27.3,8,8,5,3,16,55,1
73,Ibrahim Amadou,16,9,5,9,2,4,11,36.4,7,5,0,5,12,6,0
74,Romain Amalfitano,43,27,18,21,4,21,61,34.4,40,23,9,14,36,14,2
75,Amath,2,1,1,1,0,0,5,0.0,5,2,0,2,0,0,0
76,Jordan Amavi,55,29,31,19,5,31,64,48.4,33,27,6,21,56,97,0
77,Thierry Ambrose,7,5,2,2,3,2,7,28.6,5,3,0,3,3,3,0
78,Kelvin Amian,27,21,21,5,1,14,25,56.0,11,14,7,7,18,56,0
79,Nadiem Amiri,26,16,7,15,4,16,34,47.1,18,12,2,10,14,8,1
80,Ethan Ampadu,5,4,3,2,0,1,1,100.0,0,3,1,2,1,3,0
81,Opoku Ampomah,9,4,3,4,2,3,12,25.0,9,3,0,3,4,5,0
82,Sofyan Amrabat,58,36,26,21,11,26,55,47.3,29,29,10,19,31,15,1
83,Joachim Andersen,17,9,15,2,0,7,19,36.8,12,16,12,4,10,74,2
84,Djavan Anderson,0,0,0,0,0,0,0,,0,1,0,1,3,3,0
85,Felipe Anderson,46,32,20,21,5,11,47,23.4,36,19,1,18,22,11,0
