,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist
0,Ismael Aaneba,3,1,3,0,0,0,3,0,0,,0,,1,3,1
1,Patrick van Aanholt,1353,61,420,612,329,37,1353,22,10,45.5,12,54.5,728,3406,1622
2,Yunis Abdelhamid,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618
3,Sabit Abdulai,19,0,2,11,6,0,19,2,1,50.0,1,50.0,11,21,11
4,Mehdi Abeid,852,23,184,541,149,10,852,27,19,70.4,8,29.6,532,2865,1352
5,Laurent Abergel,1940,31,486,1210,280,12,1940,37,29,78.4,8,21.6,1075,4705,2140
6,Charles Abi,320,9,38,138,146,36,320,24,12,50.0,12,50.0,166,1056,424
7,Matthis Abline,1,0,0,0,1,0,1,1,1,100.0,0,0.0,1,0,0
8,Pape Abou Cissé,858,115,504,335,22,16,858,4,2,50.0,2,50.0,440,2357,1307
9,David Abraham,792,50,293,425,83,8,792,5,4,80.0,1,20.0,367,1776,1030
10,Tammy Abraham,358,20,35,171,154,61,358,18,6,33.3,12,66.7,154,694,266
11,Amir Abrashi,30,3,12,14,4,0,30,0,0,,0,,18,102,47
12,Gennaro Acampora,282,8,39,147,102,4,282,16,10,62.5,6,37.5,187,1191,444
13,Francesco Acerbi,2430,309,1122,1136,191,22,2430,8,6,75.0,2,25.0,1410,8649,4938
14,Ragnar Ache,53,1,2,27,25,10,53,0,0,,0,,17,109,34
15,Marcos Acuña,2019,61,661,878,502,30,2019,61,41,67.2,20,32.8,1103,5721,3242
16,Che Adams,926,24,98,403,439,97,926,50,28,56.0,22,44.0,516,2336,900
17,Tyler Adams,1591,47,327,964,313,19,1591,26,15,57.7,11,42.3,901,4292,1941
18,Sargis Adamyan,226,2,20,63,146,38,226,7,3,42.9,4,57.1,151,1099,514
19,Tosin Adarabioyo,2272,398,1310,900,67,35,2272,14,11,78.6,3,21.4,1337,5844,3132
20,Bobby Adekanye,18,1,2,5,11,3,18,1,1,100.0,0,0.0,13,103,68
21,Yacine Adli,1920,40,348,1217,390,25,1920,79,50,63.3,29,36.7,1179,5988,3121
22,Andrea Adorante,2,0,0,2,0,0,2,0,0,,0,,2,9,0
23,Adrián,110,99,110,0,0,0,110,0,0,,0,,52,259,79
24,Martin Agirregabiria,888,41,314,418,164,9,888,6,2,33.3,4,66.7,380,1426,691
25,Lucien Agoume,563,26,165,338,68,1,563,8,6,75.0,2,25.0,308,1391,569
26,Felix Agu,409,21,152,180,80,7,409,11,5,45.5,6,54.5,160,841,345
27,Kevin Agudelo,544,2,58,233,271,56,544,76,44,57.9,32,42.1,325,2764,1424
28,Nayef Aguerd,3016,241,1281,1679,75,38,3016,11,9,81.8,2,18.2,1885,7924,4548
