,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist
0,Patrick van Aanholt,1435,90,445,616,391,32,1435,31,26,83.9,5,16.1,717,3714,1966
1,Rolando Aarons,65,0,11,30,25,3,65,6,4,66.7,2,33.3,37,380,127
2,Rolando Aarons,166,3,18,71,80,7,166,15,8,53.3,7,46.7,105,712,352
3,Ignazio Abate,864,35,237,428,206,8,864,1,0,0.0,1,100.0,386,1802,1124
4,Aymen Abdennour,375,27,175,200,4,2,375,1,1,100.0,0,0.0,296,1522,829
5,Aly Abeid,49,4,20,20,10,0,49,1,1,100.0,0,0.0,17,95,67
6,Mehdi Abeid,752,30,183,496,84,10,752,20,14,70.0,6,30.0,503,2859,1321
7,David Abraham,1580,139,734,829,33,11,1580,10,8,80.0,2,20.0,824,4547,2817
8,Tammy Abraham,498,12,33,246,230,65,498,47,27,57.4,20,42.6,305,1600,555
9,Amir Abrashi,435,23,98,263,77,3,435,5,4,80.0,1,20.0,169,947,335
10,Francesco Acerbi,2124,299,1076,954,135,21,2124,23,17,73.9,6,26.1,918,5957,2979
11,Afriyie Acquah,562,8,79,405,92,7,562,24,16,66.7,8,33.3,392,2545,1243
12,Charlie Adam,342,9,58,218,76,5,341,12,12,100.0,0,0.0,206,960,436
13,Antonio Adán,1327,1084,1324,4,0,0,1327,5,5,100.0,0,0.0,759,4220,3057
14,Aday,1259,49,261,504,505,39,1257,42,27,64.3,15,35.7,658,4681,2297
15,Khaled Adénon,1562,274,941,621,16,10,1562,7,4,57.1,3,42.9,697,3218,1795
16,Claud Adjapong,691,38,199,296,207,26,691,19,9,47.4,10,52.6,344,2339,1105
17,René Adler,476,363,471,4,1,1,476,0,0,,0,,225,1232,757
18,Yacine Adli,7,0,1,5,1,0,7,0,0,,0,,6,55,16
19,Ali Adnan Kadhim,1142,94,343,539,269,6,1142,33,25,75.8,8,24.2,472,2327,1139
20,Adrián,641,541,633,9,0,0,641,0,0,,0,,284,2193,1505
21,Aritz Aduriz,702,20,41,314,350,108,697,24,19,79.2,5,20.8,411,1876,691
22,Ibrahim Afellay,89,0,18,63,12,0,89,1,1,100.0,0,0.0,61,214,50
23,Benik Afobe,219,8,18,100,105,28,219,9,7,77.8,2,22.2,138,820,317
24,Martin Agirregabiria,1114,81,401,496,234,6,1114,34,16,47.1,18,52.9,476,2344,1290
25,Imanol Agirretxe,78,2,3,42,33,11,78,3,3,100.0,0,0.0,46,154,29
26,Sergio Agüero,894,6,41,308,561,152,890,84,56,66.7,28,33.3,610,4166,1866
27,Ruben Aguilar,1894,63,458,920,548,33,1894,48,30,62.5,18,37.5,855,5307,3416
