,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
102,Mirko Antonucci,0,1,0,0.0,2.90,0.00,0.00,,2.0,0,0,0,0.6,0.6,0.56
103,Vitorino Antunes,0,29,3,10.3,0.93,0.10,0.00,0.00,29.8,10,0,1,1.7,0.9,0.03
104,Dennis Aogo,0,15,1,6.7,0.69,0.05,0.00,0.00,22.2,2,0,0,1.3,1.3,0.09
105,Houssem Aouar,6,50,17,34.0,1.85,0.63,0.12,0.35,18.3,0,0,0,5.3,5.3,0.11
106,Alberto Aquilani,0,12,4,33.3,0.83,0.28,0.00,0.00,23.5,1,0,0,0.7,0.7,0.06
107,Mauro Arambarri,1,21,3,14.3,0.89,0.13,0.05,0.33,23.4,1,0,0,1.6,1.6,0.08
108,Guilherme Arana,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
109,Charles Aránguiz,1,34,5,14.7,1.33,0.20,0.03,0.20,23.4,7,0,0,2.8,2.8,0.08
110,Luiz Araújo,5,51,16,31.4,2.27,0.71,0.10,0.31,20.8,1,0,0,5.2,5.2,0.10
111,Sergio Araujo,0,2,0,0.0,4.62,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.05
112,Anaitz Arbilla,2,17,4,23.5,0.63,0.15,0.12,0.50,24.2,8,0,0,0.8,0.8,0.05
113,Alphonse Areola,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
114,Scott Arfield,2,18,7,38.9,1.22,0.47,0.11,0.29,18.4,0,0,0,1.3,1.3,0.07
115,Samuel Armenteros,1,6,3,50.0,1.26,0.63,0.17,0.33,11.3,0,0,0,1.4,1.4,0.23
116,Yoël Armougom,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
117,José Arnaiz,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
118,Marko Arnautović,11,71,33,46.5,2.76,1.28,0.15,0.33,14.5,0,0,0,8.6,8.6,0.12
119,Maximilian Arnold,2,33,10,30.3,1.21,0.37,0.06,0.20,28.6,10,0,1,2.3,1.5,0.04
120,Jann-Fiete Arp,2,17,7,41.2,1.80,0.74,0.12,0.29,15.1,0,0,0,1.8,1.8,0.11
121,Alejandro Arribas,0,2,0,0.0,0.67,0.00,0.00,,10.6,0,0,0,0.2,0.2,0.08
122,Kepa Arrizabalaga,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
123,Harry Arter,1,11,1,9.1,1.03,0.09,0.09,1.00,26.1,0,0,0,0.3,0.3,0.03
124,Aythami Artiles,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
125,Kwadwo Asamoah,0,7,1,14.3,0.40,0.06,0.00,0.00,25.0,0,0,0,0.2,0.2,0.03
126,Takuma Asano,1,17,4,23.5,2.12,0.50,0.06,0.25,14.3,0,0,0,1.7,1.7,0.10
127,Santiago Ascacíbar,0,11,2,18.2,0.42,0.08,0.00,0.00,26.7,0,0,0,0.4,0.4,0.03
128,Sergio Asenjo,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
129,Marco Asensio,6,56,22,39.3,2.73,1.07,0.11,0.27,19.2,3,0,0,4.5,4.5,0.08
130,Iago Aspas,22,91,40,44.0,2.79,1.23,0.22,0.50,16.5,6,2,3,17.3,15.0,0.16
131,Benoît Assou-Ekotto,0,2,0,0.0,0.17,0.00,0.00,,31.1,0,0,0,0.1,0.1,0.03
132,Simon Asta,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
133,Davide Astori,1,9,2,22.2,0.36,0.08,0.11,0.50,9.1,0,0,0,1.0,1.0,0.11
134,Christian Atsu,2,35,12,34.3,1.77,0.61,0.06,0.17,17.4,0,0,0,4.0,4.0,0.12
135,Pierre-Emerick Aubameyang,10,29,17,58.6,2.47,1.45,0.31,0.53,14.6,1,1,2,8.4,6.8,0.24
136,Pierre-Emerick Aubameyang,13,54,23,42.6,3.43,1.46,0.19,0.43,12.5,0,3,4,16.2,13.0,0.26
137,Jean-Kévin Augustin,9,35,16,45.7,2.49,1.14,0.23,0.50,15.5,0,1,2,7.1,5.5,0.16
138,Ludwig Augustinsson,1,24,6,25.0,0.85,0.21,0.04,0.17,18.0,1,0,0,1.2,1.2,0.05
139,Yann Aurel Bisseck,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
140,Serge Aurier,2,15,5,33.3,0.94,0.31,0.13,0.40,21.2,0,0,0,0.8,0.8,0.05
141,Charlie Austin,7,47,24,51.1,4.08,2.08,0.13,0.25,15.0,0,1,1,7.1,6.3,0.13
142,Danilo Avelar,1,7,1,14.3,0.36,0.05,0.14,1.00,16.7,0,0,0,0.5,0.5,0.07
143,Felipe Avenatti,0,3,1,33.3,0.58,0.19,0.00,0.00,12.7,0,0,0,0.3,0.3,0.09
144,Durel Avounou,0,5,1,20.0,0.69,0.14,0.00,0.00,23.3,0,0,0,0.3,0.3,0.06
145,Chidozie Awaziem,1,13,2,15.4,0.77,0.12,0.08,0.50,17.3,1,0,0,0.9,0.9,0.07
146,André Ayew,3,12,4,33.3,1.21,0.40,0.25,0.75,13.6,0,0,1,3.3,2.5,0.21
147,André Ayew,0,13,7,53.8,1.23,0.66,0.00,0.00,13.0,0,0,0,1.9,1.9,0.14
148,Jordan Ayew,7,65,20,30.8,2.05,0.63,0.09,0.30,18.9,4,1,1,7.3,6.5,0.10
149,Karim Azamoum,1,23,7,30.4,0.92,0.28,0.04,0.14,20.7,4,0,0,1.2,1.2,0.05
150,César Azpilicueta,2,13,3,23.1,0.35,0.08,0.15,0.67,19.4,0,0,0,1.3,1.3,0.10
151,Ludovic Baal,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
152,Khouma Babacar,4,21,11,52.4,4.22,2.21,0.10,0.18,18.7,0,2,2,3.9,2.4,0.11
153,Khouma Babacar,2,25,5,20.0,3.00,0.60,0.04,0.20,16.9,1,1,1,3.5,2.7,0.11
154,Carlos Bacca,15,72,33,45.8,2.60,1.19,0.19,0.42,15.6,0,1,1,14.0,13.2,0.18
155,Milan Badelj,2,33,6,18.2,1.26,0.23,0.06,0.33,21.5,0,0,0,2.0,2.0,0.06
156,Holger Badstuber,2,9,5,55.6,0.37,0.21,0.22,0.40,11.5,0,0,0,1.2,1.2,0.13
157,Dylan Bahamboula,0,1,0,0.0,3.00,0.00,0.00,,22.7,0,0,0,0.0,0.0,0.04
158,Farès Bahlouli,1,4,2,50.0,1.17,0.59,0.25,0.50,21.4,0,0,0,0.2,0.2,0.06
159,Stéphane Bahoken,7,37,15,40.5,2.00,0.81,0.19,0.47,15.4,0,0,0,6.7,6.7,0.18
160,Daniel Baier,0,27,5,18.5,0.96,0.18,0.00,0.00,24.9,0,0,0,0.9,0.9,0.03
161,Leon Bailey,9,76,27,35.5,3.09,1.10,0.12,0.33,20.4,11,0,0,8.0,8.0,0.11
162,Eric Bailly,1,3,1,33.3,0.27,0.09,0.33,1.00,4.9,0,0,0,1.1,1.1,0.37
163,Leighton Baines,2,5,2,40.0,0.24,0.09,0.00,0.00,24.7,2,2,2,2.1,0.5,0.10
164,Riad Bajić,0,2,1,50.0,2.25,1.13,0.00,0.00,11.6,0,0,0,0.2,0.2,0.08
165,Marvin Bakalorz,0,21,5,23.8,0.92,0.22,0.00,0.00,21.1,0,0,0,1.7,1.7,0.08
166,Cédric Bakambu,9,30,15,50.0,2.14,1.07,0.27,0.53,15.1,0,1,1,5.9,5.1,0.17
167,Tiemoué Bakayoko,2,40,8,20.0,1.69,0.34,0.05,0.25,18.5,0,0,0,3.2,3.2,0.08
168,Zakaria Bakkali,0,25,6,24.0,2.48,0.59,0.00,0.00,20.4,0,0,0,1.2,1.2,0.05
169,Ridle Baku,2,5,3,60.0,1.93,1.16,0.40,0.67,20.6,0,0,0,0.9,0.9,0.17
170,Keita Baldé,8,32,11,34.4,1.96,0.67,0.25,0.73,14.9,0,0,0,5.4,5.4,0.17
171,Sam Baldock,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
172,Gareth Bale,16,76,31,40.8,3.80,1.55,0.20,0.48,15.5,4,1,1,11.8,11.0,0.15
173,Mikel Balenziaga,0,3,0,0.0,0.17,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.06
174,Andrija Balić,0,16,3,18.8,1.33,0.25,0.00,0.00,25.8,1,0,0,0.8,0.8,0.05
175,Iván Balliu,0,4,2,50.0,0.18,0.09,0.00,0.00,20.6,0,0,0,0.2,0.2,0.04
176,Fodé Ballo-Touré,0,3,2,66.7,0.13,0.09,0.00,0.00,17.0,0,0,0,0.1,0.1,0.04
177,Florent Balmont,1,5,3,60.0,0.52,0.31,0.20,0.33,26.9,0,0,0,0.3,0.3,0.06
178,Leon Balogun,0,2,1,50.0,0.15,0.08,0.00,0.00,26.6,0,0,0,0.1,0.1,0.05
179,Mario Balotelli,18,101,45,44.6,4.01,1.78,0.12,0.27,22.2,21,6,7,15.3,9.8,0.10
180,Abdoulaye Bamba,0,4,1,25.0,0.23,0.06,0.00,0.00,29.6,0,0,0,0.1,0.1,0.03
181,Jonathan Bamba,7,64,21,32.8,2.24,0.73,0.05,0.14,22.7,4,4,4,9.0,5.8,0.09
182,Yacine Bammou,3,22,7,31.8,2.73,0.87,0.14,0.43,20.4,0,0,0,1.0,1.0,0.05
183,Éver Banega,3,34,10,29.4,1.28,0.38,0.00,0.00,28.0,4,3,3,3.8,1.4,0.04
184,Mattia Bani,0,3,0,0.0,0.21,0.00,0.00,,8.0,0,0,0,0.3,0.3,0.09
185,Beni Baningime,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
186,Léo Baptistão,8,79,26,32.9,2.66,0.87,0.10,0.31,16.0,0,0,0,10.2,10.2,0.13
187,Sekou Baradji,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
188,Antonín Barák,7,38,22,57.9,1.26,0.73,0.18,0.32,20.7,0,0,0,2.8,2.8,0.07
189,Andrea Barberis,2,23,8,34.8,0.68,0.24,0.09,0.25,24.5,9,0,0,1.5,1.5,0.07
190,Mariano Barbosa,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
191,Enis Bardhi,9,37,13,35.1,2.11,0.74,0.24,0.69,24.6,16,0,0,3.1,3.1,0.08
192,Phil Bardsley,0,2,2,100.0,0.16,0.16,0.00,0.00,32.1,0,0,0,0.0,0.0,0.02
193,Nicolò Barella,6,31,8,25.8,0.94,0.24,0.10,0.38,27.1,0,3,3,3.6,1.2,0.04
194,Philipp Bargfrede,1,16,5,31.3,0.77,0.24,0.06,0.20,27.4,0,0,0,0.6,0.6,0.04
195,Ross Barkley,0,2,1,50.0,1.40,0.70,0.00,0.00,13.1,0,0,0,0.8,0.8,0.38
196,Aymen Barkok,0,3,0,0.0,0.86,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.04
197,Ashley Barnes,9,60,22,36.7,2.49,0.91,0.15,0.41,15.4,0,0,0,6.7,6.7,0.11
198,Harvey Barnes,0,1,0,0.0,9.00,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.07
199,Antonio Barragán,0,9,4,44.4,0.34,0.15,0.00,0.00,17.7,0,0,0,0.7,0.7,0.08
200,Antonio Barreca,0,1,0,0.0,0.19,0.00,0.00,,23.6,0,0,0,0.0,0.0,0.03
201,Édgar Barreto,1,21,6,28.6,0.96,0.27,0.05,0.17,20.5,0,0,0,1.3,1.3,0.06
202,Barri,0,1,1,100.0,0.80,0.80,0.00,0.00,20.3,0,0,0,0.1,0.1,0.05
203,Musa Barrow,3,26,14,53.8,5.28,2.84,0.12,0.21,16.3,0,0,0,2.1,2.1,0.08
204,Gareth Barry,1,16,6,37.5,0.75,0.28,0.06,0.17,18.2,1,0,0,1.6,1.6,0.10
205,Fin Bartels,2,22,9,40.9,1.77,0.72,0.09,0.22,17.1,0,0,0,2.1,2.1,0.09
206,Kyle Bartley,0,2,0,0.0,0.77,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.07
207,Marc Bartra,1,13,4,30.8,0.82,0.25,0.08,0.25,23.4,1,0,0,0.8,0.8,0.06
208,Marc Bartra,2,5,3,60.0,0.56,0.33,0.40,0.67,21.4,0,0,0,0.2,0.2,0.03
209,Andrea Barzagli,0,1,0,0.0,0.06,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.04
210,Daniele Baselli,4,35,9,25.7,1.25,0.32,0.11,0.44,19.1,0,0,0,3.8,3.8,0.11
211,Nicolas Basin,1,2,1,50.0,0.58,0.29,0.50,1.00,28.7,0,0,0,0.1,0.1,0.06
212,Dušan Basta,0,10,3,30.0,1.16,0.35,0.00,0.00,18.9,0,0,0,0.5,0.5,0.05
213,Gil Bastião Dias,2,31,10,32.3,2.34,0.76,0.06,0.20,17.7,0,0,0,1.8,1.8,0.06
214,Gil Bastião Dias,0,1,0,0.0,11.25,0.00,0.00,,22.7,0,0,0,0.0,0.0,0.03
215,Samuel Bastien,1,15,4,26.7,1.00,0.27,0.07,0.25,23.4,0,0,0,0.9,0.9,0.06
216,Borja Bastón,2,25,8,32.0,2.28,0.73,0.04,0.13,15.6,0,1,2,5.1,3.6,0.14
217,Alessandro Bastoni,0,1,0,0.0,0.99,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.03
218,Bastos,4,9,4,44.4,0.58,0.26,0.44,1.00,12.5,0,0,0,2.9,2.9,0.32
219,Michy Batshuayi,2,13,5,38.5,3.25,1.25,0.15,0.40,18.0,0,0,0,1.1,1.1,0.09
220,Michy Batshuayi,7,29,14,48.3,3.11,1.50,0.24,0.50,12.1,0,0,0,7.3,7.3,0.25
221,Moritz Bauer,0,3,1,33.3,0.21,0.07,0.00,0.00,17.1,0,0,0,0.2,0.2,0.06
222,Robert Bauer,0,2,0,0.0,0.19,0.00,0.00,,33.5,0,0,0,0.0,0.0,0.01
223,Oliver Baumann,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
224,Timo Baumgartl,0,8,1,12.5,0.28,0.03,0.00,0.00,13.0,0,0,0,0.5,0.5,0.06
225,Julian Baumgartlinger,1,11,4,36.4,0.71,0.26,0.09,0.25,17.4,0,0,0,1.2,1.2,0.11
226,Jon Bautista,1,7,3,42.9,3.48,1.49,0.14,0.33,11.5,0,0,0,1.3,1.3,0.18
227,Paul Baysse,1,11,2,18.2,0.80,0.15,0.09,0.50,13.3,0,0,0,1.1,1.1,0.10
228,Paul Baysse,0,4,1,25.0,0.64,0.16,0.00,0.00,8.2,0,0,0,0.6,0.6,0.15
229,Noah Joel Sarenren Bazee,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
230,Hervé Bazile,0,17,5,29.4,1.75,0.51,0.00,0.00,21.5,2,0,0,1.3,1.3,0.08
231,Riechedly Bazoer,0,7,2,28.6,1.06,0.30,0.00,0.00,25.0,0,0,0,0.3,0.3,0.04
232,Enrico Bearzotti,0,4,1,25.0,0.88,0.22,0.00,0.00,31.1,0,0,0,0.1,0.1,0.02
233,Claudio Beauvue,2,39,9,23.1,2.10,0.48,0.05,0.22,17.3,0,0,0,4.2,4.2,0.11
234,Bebé,0,9,1,11.1,2.22,0.25,0.00,0.00,24.7,1,0,0,0.3,0.3,0.03
235,Ihlas Bebou,5,50,19,38.0,2.10,0.80,0.10,0.26,19.1,0,0,0,5.2,5.2,0.10
236,Andreas Beck,1,8,2,25.0,0.37,0.09,0.13,0.50,21.8,0,0,0,0.3,0.3,0.04
237,Henri Bedimo,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
238,Jan Bednarek,1,1,1,100.0,0.21,0.21,1.00,1.00,7.4,0,0,0,0.2,0.2,0.15
239,Asmir Begović,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
240,Valon Behrami,1,9,2,22.2,0.58,0.13,0.11,0.50,21.8,0,0,0,0.5,0.5,0.06
241,Vid Belec,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
242,Vid Belec,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
243,Ishak Belfodil,4,46,20,43.5,3.07,1.33,0.09,0.20,12.6,1,0,0,4.7,4.7,0.10
244,Stefan Bell,1,12,6,50.0,0.50,0.25,0.08,0.17,14.4,0,0,0,1.3,1.3,0.11
