,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
0,Patrick van Aanholt,5,33,11,33.3,1.36,0.45,0.15,0.45,23.4,4,0,0,3.1,3.1,0.09
1,Rolando Aarons,0,2,0,0.0,1.29,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.03
2,Rolando Aarons,0,3,0,0.0,0.52,0.00,0.00,,17.4,0,0,0,0.2,0.2,0.05
3,Ignazio Abate,1,4,2,50.0,0.34,0.17,0.25,0.50,17.1,0,0,0,0.2,0.2,0.04
4,Aymen Abdennour,0,2,1,50.0,0.36,0.18,0.00,0.00,11.5,0,0,0,0.1,0.1,0.06
5,Aly Abeid,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
6,Mehdi Abeid,0,21,6,28.6,1.61,0.46,0.00,0.00,25.2,2,0,0,1.0,1.0,0.05
7,David Abraham,0,7,1,14.3,0.27,0.04,0.00,0.00,19.2,0,0,0,0.4,0.4,0.05
8,Tammy Abraham,5,42,13,31.0,2.19,0.68,0.12,0.38,13.1,0,0,0,6.8,6.8,0.16
9,Amir Abrashi,0,5,0,0.0,0.53,0.00,0.00,,22.2,0,0,0,0.2,0.2,0.04
10,Francesco Acerbi,0,15,2,13.3,0.39,0.05,0.00,0.00,18.0,0,0,0,1.0,1.0,0.07
11,Afriyie Acquah,1,9,3,33.3,0.85,0.28,0.11,0.33,24.2,0,0,0,0.4,0.4,0.04
12,Charlie Adam,0,9,2,22.2,1.97,0.44,0.00,0.00,31.5,3,0,1,1.6,0.9,0.09
13,Antonio Adán,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
14,Aday,2,31,12,38.7,1.52,0.59,0.03,0.08,22.8,5,1,2,2.8,1.3,0.04
15,Khaled Adénon,0,5,1,20.0,0.15,0.03,0.00,0.00,9.1,0,0,0,0.6,0.6,0.13
16,Claud Adjapong,0,14,4,28.6,1.03,0.30,0.00,0.00,20.7,0,0,0,0.8,0.8,0.06
17,René Adler,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
18,Yacine Adli,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
19,Ali Adnan Kadhim,0,12,3,25.0,0.65,0.16,0.00,0.00,27.6,5,0,0,0.5,0.5,0.04
20,Adrián,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
21,Aritz Aduriz,9,56,23,41.1,2.34,0.96,0.11,0.26,13.5,0,3,5,11.1,7.6,0.13
22,Ibrahim Afellay,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
23,Benik Afobe,0,8,3,37.5,1.18,0.44,0.00,0.00,8.6,0,0,0,1.6,1.6,0.21
24,Martin Agirregabiria,0,3,1,33.3,0.15,0.05,0.00,0.00,36.8,0,0,0,0.1,0.1,0.02
25,Imanol Agirretxe,0,6,2,33.3,2.33,0.78,0.00,0.00,10.4,0,0,0,1.2,1.2,0.19
26,Sergio Agüero,21,90,38,42.2,4.13,1.74,0.19,0.45,13.9,1,4,4,16.2,13.1,0.15
27,Ruben Aguilar,0,16,4,25.0,0.59,0.15,0.00,0.00,18.6,0,0,0,0.7,0.7,0.05
28,Matías Aguirregaray,0,9,0,0.0,0.70,0.00,0.00,,21.1,0,0,0,0.6,0.6,0.07
29,Jean-Eudes Aholou,5,39,7,17.9,1.17,0.21,0.13,0.71,23.8,0,0,0,2.2,2.2,0.06
30,Ailton,0,1,0,0.0,0.83,0.00,0.00,,15.0,0,0,0,0.0,0.0,0.03
31,Youssef Aït Bennasser,0,23,3,13.0,1.01,0.13,0.00,0.00,31.5,0,0,0,0.7,0.7,0.03
32,Arlind Ajeti,0,8,0,0.0,0.57,0.00,0.00,,19.5,0,0,0,0.9,0.9,0.12
33,Manuel Akanji,0,5,2,40.0,0.50,0.20,0.00,0.00,20.3,0,0,0,0.2,0.2,0.04
34,Nathan Aké,2,18,8,44.4,0.48,0.21,0.11,0.25,11.2,0,0,0,1.4,1.4,0.08
35,Ager Aketxe,0,2,0,0.0,4.86,0.00,0.00,,26.2,0,0,0,0.1,0.1,0.03
36,Chadrac Akolo,5,32,15,46.9,2.61,1.23,0.16,0.33,18.0,0,0,1,4.7,4.0,0.12
37,Kevin Akpoguma,0,5,2,40.0,0.27,0.11,0.00,0.00,20.4,0,0,0,0.2,0.2,0.05
38,David Alaba,2,24,7,29.2,1.39,0.41,0.08,0.29,26.9,8,0,0,1.3,1.3,0.05
39,Lucas Alario,9,56,20,35.7,3.25,1.16,0.14,0.40,13.1,1,1,2,10.5,8.9,0.16
40,David Alba,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
41,Jordi Alba,2,15,5,33.3,0.49,0.16,0.13,0.40,14.4,0,0,0,2.1,2.1,0.14
42,Raúl Albentosa,1,11,2,18.2,0.57,0.10,0.09,0.50,9.6,0,0,0,1.5,1.5,0.13
43,Luis Alberto,11,79,23,29.1,2.66,0.78,0.13,0.43,22.3,9,1,2,7.2,5.7,0.07
44,Raúl Albiol,3,17,7,41.2,0.56,0.23,0.18,0.43,11.1,0,0,0,1.4,1.4,0.08
45,Miiko Albornoz,0,4,1,25.0,0.51,0.13,0.00,0.00,16.2,0,0,0,0.2,0.2,0.05
46,Marc Albrighton,2,20,6,30.0,0.71,0.21,0.10,0.33,20.5,1,0,0,1.6,1.6,0.08
47,Paco Alcácer,4,15,7,46.7,1.94,0.91,0.27,0.57,12.2,0,0,0,3.9,3.9,0.26
48,Pedro Alcalá,1,8,3,37.5,1.04,0.39,0.13,0.33,15.9,1,0,0,1.0,1.0,0.12
49,Thiago Alcántara,2,24,7,29.2,1.73,0.51,0.08,0.29,19.9,1,0,0,2.5,2.5,0.11
50,David Alcibiade,0,2,0,0.0,0.87,0.00,0.00,,23.9,0,0,0,0.1,0.1,0.04
51,Toby Alderweireld,0,10,1,10.0,0.76,0.08,0.00,0.00,20.7,0,0,0,0.4,0.4,0.04
52,Steve Aldo One,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
53,Álex Alegría,0,14,2,14.3,2.01,0.29,0.00,0.00,18.5,0,0,0,1.1,1.1,0.08
54,Iván Alejo,1,13,3,23.1,1.06,0.25,0.08,0.33,20.8,0,0,0,0.5,0.5,0.04
55,Alexander,2,19,5,26.3,1.61,0.42,0.05,0.20,18.2,1,1,1,2.2,1.4,0.08
56,Trent Alexander-Arnold,1,12,5,41.7,0.69,0.29,0.08,0.20,21.5,1,0,0,1.0,1.0,0.08
57,Alexis,1,13,3,23.1,0.54,0.12,0.08,0.33,13.7,0,0,0,1.2,1.2,0.09
58,Alisson,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
59,Allan,4,37,12,32.4,1.17,0.38,0.11,0.33,22.6,0,0,0,3.8,3.8,0.10
60,Joe Allen,2,24,4,16.7,0.69,0.11,0.08,0.50,18.4,0,0,0,1.8,1.8,0.08
61,Dele Alli,9,69,17,24.6,2.10,0.52,0.13,0.53,15.9,0,0,0,9.1,9.1,0.13
62,Júnior Alonso,2,16,4,25.0,0.52,0.13,0.13,0.50,16.6,0,0,0,1.1,1.1,0.07
63,José Alonso Lara,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
64,Marcos Alonso,7,65,22,33.8,2.05,0.69,0.11,0.32,17.0,9,0,0,4.1,4.1,0.06
65,Ricky Álvarez,1,10,3,30.0,3.37,1.01,0.10,0.33,23.1,1,0,0,0.4,0.4,0.04
66,Sergio Álvarez,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
67,Yeray Álvarez,0,1,0,0.0,0.13,0.00,0.00,,7.1,0,0,0,0.1,0.1,0.09
68,Dani Alves,1,27,5,18.5,1.18,0.22,0.04,0.20,26.8,9,0,0,1.4,1.4,0.05
69,Ibrahim Amadou,0,16,2,12.5,0.60,0.07,0.00,0.00,20.5,0,0,0,0.9,0.9,0.06
70,Eloi Amagat,0,2,0,0.0,12.00,0.00,0.00,,9.2,0,0,0,0.2,0.2,0.11
71,Morgan Amalfitano,0,11,3,27.3,1.33,0.36,0.00,0.00,14.1,0,0,0,1.0,1.0,0.09
72,Romain Amalfitano,0,12,0,0.0,0.40,0.00,0.00,,29.1,0,0,0,0.3,0.3,0.03
73,Daniel Amartey,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
74,Jordi Amat,0,7,1,14.3,0.31,0.04,0.00,0.00,18.2,0,0,0,0.4,0.4,0.06
75,Amath,3,42,13,31.0,1.32,0.41,0.07,0.23,17.6,0,0,0,4.4,4.4,0.11
76,Jordan Amavi,0,20,5,25.0,0.82,0.21,0.00,0.00,25.9,0,0,0,0.6,0.6,0.03
77,Stephan Ambrosius,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
78,Kelvin Amian,1,15,6,40.0,0.43,0.17,0.07,0.17,20.7,0,0,0,1.4,1.4,0.09
79,Nadiem Amiri,2,44,16,36.4,2.27,0.83,0.05,0.13,20.7,1,0,0,2.9,2.9,0.07
80,Ethan Ampadu,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
81,Nordin Amrabat,0,1,0,0.0,0.45,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.05
82,Nordin Amrabat,2,37,17,45.9,2.05,0.94,0.05,0.12,22.3,0,0,0,3.7,3.7,0.10
83,Jon Ander Serantes,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
84,Joachim Andersen,0,3,0,0.0,0.49,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.05
85,Felipe Anderson,4,26,10,38.5,2.01,0.77,0.15,0.40,19.4,1,0,0,2.8,2.8,0.11
86,Florin Andone,7,54,20,37.0,2.97,1.10,0.13,0.35,12.4,0,0,1,11.4,10.6,0.20
87,Nícolas Andrade,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
88,Benjamin André,3,32,8,25.0,0.96,0.24,0.09,0.38,13.9,0,0,0,4.3,4.3,0.13
89,Marco Andreolli,0,3,1,33.3,0.15,0.05,0.00,0.00,14.1,0,0,0,0.2,0.2,0.05
90,Yoann Andreu,1,5,2,40.0,0.22,0.09,0.20,0.50,26.1,0,0,0,0.1,0.1,0.03
91,Miguel Ángel Guerrero,4,29,10,34.5,1.81,0.62,0.14,0.40,14.1,1,0,1,5.7,4.9,0.17
92,José Ángel,0,15,0,0.0,0.56,0.00,0.00,,27.1,4,0,0,0.5,0.5,0.03
93,Miguel Ángel Moyá,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
94,Miguel Ángel Rubio,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
95,Gabriele Angella,0,4,1,25.0,0.40,0.10,0.00,0.00,10.1,0,0,0,0.3,0.3,0.08
96,Cristian Ansaldi,1,18,6,33.3,0.87,0.29,0.06,0.17,20.7,0,0,0,0.7,0.7,0.04
97,Luca Antei,0,1,1,100.0,0.15,0.15,0.00,0.00,11.8,0,0,0,0.1,0.1,0.05
98,Mirco Antenucci,11,60,21,35.0,2.10,0.74,0.10,0.29,19.2,0,5,5,8.1,4.2,0.07
99,Waldemar Anton,1,23,5,21.7,0.91,0.20,0.04,0.20,17.1,0,0,0,1.8,1.8,0.08
100,Luca Antonelli,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
101,Michail Antonio,3,34,15,44.1,2.26,1.00,0.09,0.20,21.9,0,0,0,2.4,2.4,0.07
