,name,passes completed,passes attempted,passes success rate,total distance of passes (yards),progressive distance,short passes completed,short passes attempted,short passes succes rate,medium passes completed,medium passes attempted,medium passes succes rate,long passes completed,long passes attempted,long passes succes rate,assists,expected assists 2nd deegree,expected assists,key passes,passes into 1/3,passes into penalty area
0,Ismael Aaneba,1,1,100.0,38,8,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0
1,Patrick van Aanholt,906,1164,77.8,13287,5990,545,613,88.9,284,361,78.7,51,105,48.6,1,0.7,1.7,11,71,20
2,Yunis Abdelhamid,1506,1762,85.5,30174,12190,427,483,88.4,909,999,91.0,154,238,64.7,0,0.3,0.3,4,76,1
3,Sabit Abdulai,7,14,50.0,140,10,2,5,40.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0,0,1
4,Mehdi Abeid,605,718,84.3,10646,2928,279,298,93.6,239,266,89.8,70,116,60.3,0,0.8,0.7,12,64,7
5,Laurent Abergel,1288,1564,82.4,22633,6551,591,661,89.4,524,596,87.9,145,224,64.7,1,1.7,1.4,20,115,13
6,Charles Abi,128,202,63.4,1703,317,81,111,73.0,27,44,61.4,9,17,52.9,2,0.3,0.3,6,11,6
7,Matthis Abline,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0
8,Pape Abou Cissé,521,681,76.5,11246,4984,159,187,85.0,262,307,85.3,93,169,55.0,0,0.1,0.1,3,31,1
9,David Abraham,558,678,82.3,10633,3990,214,239,89.5,280,325,86.2,60,95,63.2,0,0.4,0.5,2,50,3
10,Tammy Abraham,149,211,70.6,1714,297,85,111,76.6,33,46,71.7,4,8,50.0,1,0.7,0.2,9,14,1
11,Amir Abrashi,18,23,78.3,258,20,11,14,78.6,4,5,80.0,2,2,100.0,0,0.0,0.0,0,1,0
12,Gennaro Acampora,185,223,83.0,3437,574,79,86,91.9,83,100,83.0,19,27,70.4,0,0.0,0.2,1,20,2
13,Francesco Acerbi,1854,2097,88.4,35641,11589,703,767,91.7,880,930,94.6,248,352,70.5,1,1.0,1.4,10,110,21
14,Ragnar Ache,19,32,59.4,222,43,12,17,70.6,5,6,83.3,0,0,,0,0.0,0.0,0,2,0
15,Marcos Acuña,1415,1767,80.1,24839,9704,675,730,92.5,542,639,84.8,159,310,51.3,2,2.6,2.9,32,104,35
16,Che Adams,431,622,69.3,6240,1416,228,308,74.0,125,162,77.2,34,49,69.4,5,5.0,3.0,37,35,23
17,Tyler Adams,1173,1375,85.3,17415,5037,670,730,91.8,394,456,86.4,65,108,60.2,1,0.9,1.5,14,97,24
18,Sargis Adamyan,103,156,66.0,1445,379,61,80,76.3,29,41,70.7,7,11,63.6,3,2.3,0.9,11,5,7
19,Tosin Adarabioyo,1647,1918,85.9,33255,12650,484,551,87.8,949,1008,94.1,196,318,61.6,0,0.3,0.4,5,71,5
20,Bobby Adekanye,7,10,70.0,99,0,5,5,100.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0
21,Yacine Adli,1327,1631,81.4,24310,6907,569,643,88.5,548,642,85.4,167,251,66.5,5,4.4,3.0,53,158,20
22,Andrea Adorante,1,1,100.0,18,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0
23,Adrián,78,100,78.0,1796,1138,24,24,100.0,33,34,97.1,20,40,50.0,0,0.0,0.0,0,0,0
24,Martin Agirregabiria,534,751,71.1,8856,4049,268,318,84.3,204,283,72.1,48,106,45.3,1,0.7,0.7,12,39,15
25,Lucien Agoume,434,487,89.1,7835,1942,191,205,93.2,187,205,91.2,47,59,79.7,0,0.1,0.3,2,39,3
26,Felix Agu,210,299,70.2,3068,1068,125,150,83.3,66,101,65.3,11,24,45.8,0,0.5,0.4,3,10,3
27,Kevin Agudelo,228,328,69.5,3824,848,114,141,80.9,86,110,78.2,22,36,61.1,2,1.3,0.8,12,27,10
28,Nayef Aguerd,2449,2712,90.3,45688,18953,976,1021,95.6,1198,1282,93.4,251,365,68.8,1,0.7,0.7,5,126,1
29,Sergio Agüero,140,173,80.9,1625,219,86,99,86.9,34,38,89.5,2,2,100.0,1,1.2,0.9,7,12,5
30,Ruben Aguilar,1265,1568,80.7,19271,5384,721,779,92.6,420,535,78.5,87,166,52.4,3,4.7,5.8,41,77,39
31,Naouirou Ahamada,110,125,88.0,1600,377,61,68,89.7,36,37,97.3,5,7,71.4,0,0.0,0.1,1,12,0
32,Matteo Ahlinvi,258,322,80.1,4276,822,121,131,92.4,116,144,80.6,15,25,60.0,0,0.2,0.1,5,12,2
33,Jean-Eudes Aholou,701,851,82.4,11805,2947,324,367,88.3,283,341,83.0,68,93,73.1,2,1.3,0.8,7,59,9
34,Jean-Eudes Aholou,7,10,70.0,100,26,4,4,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0
35,Joseph Aidoo,511,629,81.2,10079,3604,164,183,89.6,285,324,88.0,56,95,58.9,0,0.3,0.1,2,27,2
36,Ola Aina,1352,1769,76.4,22797,9159,642,717,89.5,565,704,80.3,112,257,43.6,1,1.5,1.2,15,92,15
37,Rayan Aït-Nouri,662,805,82.2,9828,2664,362,392,92.3,248,296,83.8,25,57,43.9,1,0.6,0.8,14,35,16
38,Rayan Aït-Nouri,132,147,89.8,1680,637,87,92,94.6,36,42,85.7,2,4,50.0,1,0.3,0.2,5,3,4
39,Semi Ajayi,719,999,72.0,13941,6401,264,316,83.5,374,460,81.3,76,188,40.4,0,0.5,0.3,7,68,4
40,Ludovic Ajorque,620,927,66.9,9736,1641,350,484,72.3,192,262,73.3,51,78,65.4,4,3.9,3.8,36,43,19
41,Manuel Akanji,1961,2137,91.8,37492,12871,698,744,93.8,1018,1067,95.4,216,273,79.1,0,0.3,0.8,3,151,6
42,Carlos Akapo,229,356,64.3,3877,1740,100,126,79.4,104,156,66.7,17,54,31.5,0,0.2,0.3,2,14,4
43,Marley Aké,22,31,71.0,290,108,15,16,93.8,6,7,85.7,0,3,0.0,0,0.0,0.0,0,3,1
44,Nathan Aké,709,763,92.9,11178,3225,348,363,95.9,319,336,94.9,26,35,74.3,0,0.0,0.2,1,55,2
45,Paul Akouokou,170,187,90.9,3040,728,72,79,91.1,77,80,96.3,17,23,73.9,0,0.6,0.2,2,21,1
46,Jean-Daniel Akpa-Akpro,293,361,81.2,4459,907,149,181,82.3,113,124,91.1,15,22,68.2,1,0.8,0.3,12,20,7
47,Kevin Akpoguma,600,735,81.6,11026,4298,216,246,87.8,329,357,92.2,49,112,43.8,0,0.4,0.5,2,33,4
48,David Alaba,1929,2290,84.2,35563,12318,736,817,90.1,1003,1125,89.2,172,283,60.8,4,2.1,3.1,28,212,35
49,Sofiane Alakouch,718,913,78.6,11430,4676,375,414,90.6,274,340,80.6,52,106,49.1,2,1.3,1.1,5,64,8
50,Jony Álamo,14,16,87.5,255,64,5,6,83.3,7,8,87.5,1,1,100.0,0,0.0,0.0,0,1,0
51,Lucas Alario,226,308,73.4,2804,292,152,188,80.9,49,64,76.6,9,16,56.3,2,0.9,0.6,15,15,3
52,Jordi Alba,2479,2929,84.6,34728,9855,1520,1643,92.5,728,867,84.0,117,192,60.9,5,7.6,9.9,52,149,76
53,Luis Alberto,1493,1946,76.7,25097,9846,712,808,88.1,575,702,81.9,157,308,51.0,2,7.9,7.0,80,282,83
54,Raúl Albiol,1829,2065,88.6,37606,12938,519,557,93.2,1047,1126,93.0,242,333,72.7,0,1.0,1.0,4,92,3
55,Marc Albrighton,627,933,67.2,10197,3898,345,408,84.6,193,262,73.7,67,157,42.7,5,3.5,3.9,38,54,37
56,Paco Alcácer,193,270,71.5,2269,375,106,135,78.5,40,58,69.0,10,14,71.4,4,2.8,2.5,15,3,7
57,Pedro Alcalá,205,282,72.7,4573,1737,46,57,80.7,115,129,89.1,39,83,47.0,0,0.0,0.0,0,14,0
58,Thiago Alcántara,1545,1735,89.0,26781,7745,704,746,94.4,597,658,90.7,177,221,80.1,0,2.3,2.2,30,205,24
59,Rubén Alcaraz,930,1131,82.2,18393,5237,384,433,88.7,371,404,91.8,157,237,66.2,0,0.5,0.9,9,100,11
60,Omar Alderete,732,916,79.9,15862,7234,183,221,82.8,433,490,88.4,114,187,61.0,0,0.1,0.6,3,44,4
61,Toby Alderweireld,1199,1453,82.5,24372,8025,365,398,91.7,658,713,92.3,157,303,51.8,0,0.7,0.8,8,64,5
62,Iván Alejo,127,229,55.5,1816,637,74,97,76.3,39,61,63.9,7,35,20.0,1,0.8,0.8,10,6,13
63,Carles Aleñá,36,39,92.3,624,177,17,19,89.5,11,12,91.7,6,6,100.0,0,0.0,0.0,0,3,0
64,Carles Aleñá,390,591,66.0,6991,2309,185,218,84.9,142,200,71.0,51,124,41.1,2,2.7,2.0,25,52,24
65,Rúnar Alex Rúnarsson,7,11,63.6,100,32,3,3,100.0,4,4,100.0,0,4,0.0,0,0.0,0.0,0,0,0
66,Trent Alexander-Arnold,2245,3015,74.5,40719,15754,1064,1184,89.9,897,1145,78.3,256,545,47.0,7,8.6,7.5,77,193,101
67,Alfon,16,16,100.0,172,31,12,12,100.0,3,3,100.0,0,0,,0,0.1,0.0,1,0,1
68,Mohamed Ali Cho,67,111,60.4,894,257,45,60,75.0,12,28,42.9,5,8,62.5,0,0.1,0.2,2,3,2
69,Ezgjan Alioski,1321,1670,79.1,20073,7163,703,788,89.2,521,619,84.2,58,147,39.5,3,3.3,2.3,28,87,29
70,Rachid Alioui,8,8,100.0,92,21,6,6,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0
71,Alisson,1000,1157,86.4,22600,14023,223,225,99.1,578,590,98.0,191,330,57.9,0,0.0,0.0,0,4,1
72,Saturnin Allagbé,269,403,66.7,7971,6167,48,48,100.0,115,116,99.1,106,237,44.7,0,0.0,0.0,0,2,0
73,Allan,908,1068,85.0,14950,4370,430,468,91.9,354,405,87.4,82,116,70.7,0,0.8,0.8,17,88,16
74,Dele Alli,275,345,79.7,3878,882,151,177,85.3,99,109,90.8,9,20,45.0,1,1.2,0.9,9,15,7
75,Miguel Almirón,708,895,79.1,10715,2430,369,422,87.4,245,289,84.8,51,92,55.4,1,2.9,2.2,31,64,23
76,Marcos Alonso,493,610,80.8,7494,2506,278,306,90.8,184,221,83.3,24,49,49.0,0,1.3,1.0,15,29,8
77,Sergio Álvarez,531,698,76.1,9925,2527,199,257,77.4,244,288,84.7,72,114,63.2,0,0.3,0.2,6,43,2
78,Yeray Álvarez,907,1107,81.9,18676,6666,301,349,86.2,441,485,90.9,151,226,66.8,0,0.5,0.4,6,53,3
79,Bruno Alves,790,931,84.9,19031,7295,142,160,88.8,456,499,91.4,190,256,74.2,0,0.1,0.2,2,43,3
80,Steven Alzate,403,449,89.8,6190,1326,216,235,91.9,142,150,94.7,30,35,85.7,0,0.6,0.3,11,37,6
81,Ibrahim Amadou,582,691,84.2,9479,3023,290,326,89.0,240,272,88.2,37,59,62.7,0,0.2,0.2,4,52,1
82,Romain Amalfitano,44,57,77.2,877,276,16,16,100.0,21,29,72.4,7,10,70.0,0,0.0,0.0,1,6,0
83,Emmanuel Amankwaa Akurugu,9,14,64.3,130,36,5,6,83.3,3,4,75.0,1,2,50.0,0,0.0,0.0,0,3,0
84,Daniel Amartey,414,493,84.0,7047,2296,178,195,91.3,203,233,87.1,26,43,60.5,0,0.0,0.1,0,15,2
85,Jordan Amavi,343,442,77.6,5892,1736,158,193,81.9,138,166,83.1,39,47,83.0,0,0.3,0.3,5,11,6
86,Thierry Ambrose,164,243,67.5,2580,643,83,113,73.5,51,65,78.5,16,30,53.3,1,1.4,1.0,11,21,9
87,Wisdom Amey,5,5,100.0,102,7,2,2,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,1,0
88,Nadiem Amiri,930,1139,81.7,15414,3793,464,512,90.6,325,377,86.2,102,168,60.7,6,3.1,3.7,38,96,27
89,Ethan Ampadu,870,1087,80.0,15680,5536,370,424,87.3,378,446,84.8,102,158,64.6,0,1.2,1.1,11,76,14
90,Sofyan Amrabat,1210,1378,87.8,23407,5627,469,531,88.3,540,582,92.8,179,204,87.7,0,0.6,0.9,13,143,11
91,Jon Ander Garrido,180,230,78.3,2990,1025,78,96,81.3,74,92,80.4,17,21,81.0,0,0.1,0.1,2,22,1
92,Joachim Andersen,1609,1993,80.7,34882,12812,427,491,87.0,912,1007,90.6,252,442,57.0,1,0.4,0.9,8,130,6
93,Joachim Andersen,105,117,89.7,2031,794,45,47,95.7,47,51,92.2,13,18,72.2,0,0.0,0.0,0,11,0
94,Djavan Anderson,23,32,71.9,265,37,15,19,78.9,7,8,87.5,0,2,0.0,0,0.0,0.0,0,0,0
95,Elliot Anderson,1,1,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0
96,Felipe Anderson,3,5,60.0,45,23,1,2,50.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0
97,Sebastian Andersson,168,247,68.0,2188,346,96,128,75.0,56,86,65.1,3,5,60.0,0,0.3,0.4,6,15,4
98,Nícolas Andrade,34,40,85.0,978,673,6,6,100.0,19,19,100.0,9,15,60.0,0,0.0,0.0,0,0,0
99,Benjamin André,1703,2040,83.5,26480,7377,886,984,90.0,606,706,85.8,124,189,65.6,1,1.1,1.6,22,194,7
100,Marcos André,114,199,57.3,1687,369,63,101,62.4,30,50,60.0,9,16,56.3,1,0.7,0.3,6,10,0
101,Robert Andrich,1127,1442,78.2,19061,5611,534,632,84.5,460,553,83.2,99,170,58.2,2,2.0,2.4,20,111,12
102,Victorien Angban,780,890,87.6,14254,3981,327,360,90.8,350,385,90.9,94,118,79.7,1,0.5,0.7,12,81,6
103,Ángel,14,31,45.2,627,593,0,0,,5,6,83.3,9,25,36.0,0,0.0,0.0,0,0,0
104,José Ángel,510,692,73.7,9539,3682,226,260,86.9,187,245,76.3,80,143,55.9,0,1.0,1.0,9,51,13
105,Miguel Ángel Rubio,39,54,72.2,847,440,14,15,93.3,17,22,77.3,8,16,50.0,0,0.0,0.0,0,4,0
106,Angeliño,1057,1500,70.5,17210,6049,561,634,88.5,373,516,72.3,92,248,37.1,4,5.5,7.2,52,70,55
107,Davide Angelo Ghislandi,3,3,100.0,51,9,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0
108,Philip Ankhrah,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0
109,Cristian Ansaldi,674,997,67.6,12959,5276,308,350,88.0,242,345,70.1,106,248,42.7,6,5.0,4.8,36,64,40
110,Waldemar Anton,1835,2097,87.5,34500,14015,630,678,92.9,1039,1118,92.9,147,243,60.5,1,0.9,1.1,9,69,10
111,Michail Antonio,316,494,64.0,4273,796,192,266,72.2,78,122,63.9,18,30,60.0,5,3.0,1.8,27,24,13
112,José Antonio Miranda,9,16,56.3,75,8,8,10,80.0,0,4,0.0,0,0,,0,0.0,0.2,0,0,0
113,Valentin Antov,108,122,88.5,2181,851,41,42,97.6,51,55,92.7,16,25,64.0,0,0.0,0.0,1,4,0
114,Houssem Aouar,833,991,84.1,11684,3218,484,542,89.3,247,278,88.8,47,69,68.1,3,4.0,3.6,38,91,29
115,Adil Aouchiche,571,818,69.8,10069,3336,307,364,84.3,152,213,71.4,85,181,47.0,5,5.8,4.0,59,57,25
116,Dennis Appiah,628,868,72.4,9400,4932,368,422,87.2,219,305,71.8,32,98,32.7,2,1.3,1.0,14,66,15
117,Aritz Arambarri,13,19,68.4,240,92,4,6,66.7,7,8,87.5,2,4,50.0,0,0.0,0.0,0,1,0
118,Mauro Arambarri,739,1093,67.6,15261,4087,268,339,79.1,289,389,74.3,153,291,52.6,0,2.0,2.4,21,81,24
119,Charles Aránguiz,998,1168,85.4,16391,5528,476,526,90.5,416,461,90.2,71,115,61.7,0,0.6,1.1,15,113,13
120,Luiz Araújo,455,606,75.1,7916,2031,224,271,82.7,169,213,79.3,50,80,62.5,2,2.0,2.7,22,42,20
121,Néstor Araujo,1321,1590,83.1,26277,8454,412,464,88.8,734,807,91.0,161,278,57.9,0,0.8,0.9,4,78,4
