,name,passes completed,passes attempted,passes success rate,total distance of passes (yards),progressive distance,short passes completed,short passes attempted,short passes succes rate,medium passes completed,medium passes attempted,medium passes succes rate,long passes completed,long passes attempted,long passes succes rate,assists,expected assists 2nd deegree,expected assists,key passes,passes into 1/3,passes into penalty area
122,Ronald Araújo,985,1075,91.6,17665,4757,381,398,95.7,527,556,94.8,73,109,67.0,1,0.2,0.2,3,50,0
123,Anaitz Arbilla,1459,1932,75.5,31846,12343,482,547,88.1,656,790,83.0,300,543,55.2,1,0.9,1.3,10,179,17
124,Alphonse Areola,746,1014,73.6,18222,12486,272,274,99.3,254,256,99.2,204,465,43.9,0,0.0,0.0,0,12,1
125,Santiago Arias,47,57,82.5,806,240,17,21,81.0,27,31,87.1,2,3,66.7,0,0.1,0.0,1,2,0
126,Karim Aribi,38,68,55.9,453,66,25,35,71.4,9,16,56.3,0,2,0.0,0,0.1,0.1,2,1,1
127,Unai Arietaleanizbeaskoa,4,7,57.1,43,10,4,5,80.0,0,1,0.0,0,0,,0,0.0,0.0,0,1,0
128,Nicolò Armini,3,5,60.0,93,31,2,3,66.7,0,0,,1,1,100.0,0,0.0,0.0,0,1,0
129,Stuart Armstrong,1021,1298,78.7,15050,4362,563,653,86.2,360,420,85.7,51,78,65.4,5,2.6,1.8,35,80,40
130,Maximilian Arnold,1323,1664,79.5,27177,8485,456,519,87.9,586,677,86.6,248,391,63.4,6,4.2,5.2,49,139,25
131,Tolu Arokodare,26,37,70.3,421,68,11,14,78.6,11,15,73.3,2,2,100.0,0,0.2,0.4,3,1,2
132,Sergio Arribas,72,89,80.9,967,229,47,50,94.0,20,24,83.3,3,4,75.0,0,0.0,0.1,1,3,3
133,Kepa Arrizabalaga,202,246,82.1,4701,2827,45,46,97.8,103,104,99.0,52,94,55.3,0,0.0,0.0,0,2,0
134,Tolgay Arslan,749,890,84.2,12827,2917,341,380,89.7,325,363,89.5,62,97,63.9,0,0.4,0.9,9,73,12
135,Kwadwo Asamoah,95,114,83.3,1746,456,43,48,89.6,38,43,88.4,12,17,70.6,0,0.0,0.1,0,10,2
136,Santiago Ascacíbar,291,358,81.3,4862,1446,143,162,88.3,108,128,84.4,28,37,75.7,0,0.3,0.3,6,21,4
137,Sergio Asenjo,1022,1308,78.1,26484,17800,229,229,100.0,509,520,97.9,276,548,50.4,0,0.0,0.0,0,11,0
138,Marco Asensio,798,1012,78.9,11651,2592,456,513,88.9,244,304,80.3,48,90,53.3,2,3.3,3.8,33,40,31
139,Kristoffer Askildsen,10,19,52.6,146,67,8,12,66.7,1,2,50.0,1,3,33.3,0,0.0,0.0,0,1,0
140,Iago Aspas,983,1275,77.1,13967,3377,560,681,82.2,267,328,81.4,66,87,75.9,13,9.0,7.5,62,69,53
141,Roger Assalé,118,181,65.2,1837,381,68,100,68.0,36,54,66.7,11,14,78.6,1,0.2,0.3,3,8,5
142,Youcef Atal,496,630,78.7,7378,2017,282,322,87.6,172,206,83.5,26,59,44.1,0,0.8,1.5,5,27,11
143,Miguel Atienza,271,341,79.5,4293,977,139,167,83.2,94,118,79.7,25,34,73.5,0,0.1,0.3,4,25,4
144,Pierre-Emerick Aubameyang,499,674,74.0,6849,1366,319,380,83.9,137,197,69.5,24,38,63.2,3,2.4,3.0,22,29,22
145,Emil Audero,877,1247,70.3,26471,19006,124,125,99.2,387,394,98.2,364,724,50.3,1,0.2,0.0,1,12,0
146,Tommaso Augello,1564,2061,75.9,24859,10136,807,916,88.1,628,807,77.8,97,228,42.5,3,3.9,4.1,29,100,40
147,Jean-Kévin Augustin,4,4,100.0,36,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0
148,Ludwig Augustinsson,762,1177,64.7,12691,5651,397,480,82.7,281,412,68.2,67,221,30.3,4,2.7,3.8,41,42,27
149,Serge Aurier,772,980,78.8,10939,4252,449,499,90.0,255,333,76.6,33,59,55.9,3,3.4,1.9,18,31,18
150,Charlie Austin,23,34,67.6,297,111,17,20,85.0,4,7,57.1,1,2,50.0,0,0.0,0.0,0,2,0
151,Ezequiel Ávila,31,54,57.4,576,162,12,20,60.0,13,19,68.4,4,8,50.0,0,0.0,0.1,0,3,3
152,Taiwo Awoniyi,194,295,65.8,2588,456,120,164,73.2,54,81,66.7,10,18,55.6,2,1.3,0.8,20,8,2
153,Mehmet Aydin,136,204,66.7,2017,775,79,98,80.6,50,74,67.6,6,20,30.0,0,0.5,0.5,1,7,2
154,Jordan Ayew,519,667,77.8,6434,1218,323,368,87.8,136,177,76.8,13,25,52.0,3,0.7,1.4,13,23,12
155,Kaan Ayhan,515,567,90.8,8573,2411,234,246,95.1,251,268,93.7,26,41,63.4,0,0.0,0.2,0,51,2
156,Luke Ayling,2161,2770,78.0,39595,16160,910,1029,88.4,956,1148,83.3,248,451,55.0,0,3.2,3.2,27,179,32
157,Ramon Azeez,29,37,78.4,365,43,22,26,84.6,7,11,63.6,0,0,,0,0.0,0.0,0,3,0
158,César Azpilicueta,1787,2081,85.9,27154,9701,935,1012,92.4,739,822,89.9,62,134,46.3,2,2.5,2.4,27,123,22
159,Ludovic Baal,212,253,83.8,3890,1562,85,95,89.5,94,106,88.7,28,43,65.1,0,0.4,0.1,2,29,1
160,Carlos Bacca,105,168,62.5,1346,317,62,89,69.7,23,37,62.2,6,14,42.9,0,1.0,0.6,5,9,5
161,Loïc Bade,1672,1961,85.3,34428,11940,453,510,88.8,995,1089,91.4,207,320,64.7,0,0.3,0.5,7,93,3
162,Milan Badelj,1295,1597,81.1,23532,7988,597,674,88.6,492,585,84.1,182,261,69.7,4,2.7,1.6,29,149,25
163,Édgar Badía,865,1150,75.2,24979,18958,154,155,99.4,385,396,97.2,306,578,52.9,0,0.0,0.0,0,13,0
164,Benoît Badiashile,2124,2450,86.7,43718,16007,566,632,89.6,1268,1366,92.8,274,412,66.5,1,1.2,1.4,6,168,4
165,Alex Baena,43,56,76.8,615,112,22,24,91.7,20,25,80.0,0,2,0.0,0,0.1,0.1,2,4,1
166,Miguel Baeza,169,212,79.7,2562,541,99,113,87.6,46,59,78.0,16,21,76.2,0,0.7,0.5,8,10,6
167,Stéphane Bahoken,234,333,70.3,3151,429,135,169,79.9,70,94,74.5,11,15,73.3,2,1.0,0.5,11,14,7
168,Leon Bailey,668,962,69.4,10811,2275,385,439,87.7,156,241,64.7,89,174,51.1,8,6.0,6.6,48,26,37
169,Eric Bailly,497,564,88.1,9002,3349,185,200,92.5,268,299,89.6,37,49,75.5,0,0.0,0.1,0,26,0
170,Stefan Bajic,23,37,62.2,650,391,4,4,100.0,12,12,100.0,7,21,33.3,0,0.0,0.0,0,0,0
171,Tiemoué Bakayoko,1080,1228,87.9,17505,4453,524,590,88.8,442,465,95.1,82,103,79.6,1,0.8,1.0,12,87,8
172,Mitchel Bakker,1177,1334,88.2,15565,4196,750,792,94.7,340,394,86.3,31,64,48.4,2,1.9,2.4,16,75,21
173,Ridle Baku,1095,1484,73.8,17435,5110,575,668,86.1,432,575,75.1,67,136,49.3,7,4.1,5.0,44,62,49
174,Ridle Baku,63,91,69.2,1038,521,37,43,86.0,17,27,63.0,8,17,47.1,0,0.0,0.1,0,7,3
175,Dilane Bakwa,34,40,85.0,532,88,17,18,94.4,13,14,92.9,3,4,75.0,0,0.0,0.0,1,5,0
176,Fabián Balbuena,362,488,74.2,7770,3294,105,127,82.7,199,225,88.4,55,119,46.2,0,0.0,0.1,0,30,1
177,Keita Baldé,230,315,73.0,3100,526,135,169,79.9,74,96,77.1,7,18,38.9,1,2.4,1.3,21,14,6
178,George Baldock,888,1153,77.0,11908,3743,582,647,90.0,229,305,75.1,36,98,36.7,2,2.9,1.8,18,47,23
179,Gareth Bale,285,416,68.5,5015,1496,142,173,82.1,87,126,69.0,41,72,56.9,2,1.8,1.2,21,24,17
180,Mikel Balenziaga,715,951,75.2,11409,3662,360,406,88.7,288,371,77.6,46,104,44.2,1,0.8,0.7,8,43,10
181,Leonardo Balerdi,921,1064,86.6,17058,5887,343,378,90.7,477,525,90.9,87,129,67.4,0,0.0,0.1,1,41,0
182,Fodé Ballo-Touré,349,432,80.8,5366,1549,198,222,89.2,117,140,83.6,24,42,57.1,3,0.7,0.7,8,25,11
183,Botond Balogh,59,79,74.7,1277,419,12,16,75.0,35,42,83.3,11,18,61.1,0,0.0,0.0,0,0,0
184,Abdoulaye Bamba,650,875,74.3,10169,4909,358,398,89.9,223,298,74.8,46,118,39.0,0,1.4,1.4,8,47,11
185,Jonathan Bamba,1305,1680,77.7,19157,4900,751,841,89.3,374,472,79.2,104,210,49.5,9,5.1,5.4,64,94,43
186,Robson Bambu,720,827,87.1,13344,4730,266,285,93.3,392,423,92.7,58,96,60.4,0,0.0,0.1,0,19,0
187,Patrick Bamford,394,516,76.4,4378,832,238,290,82.1,85,111,76.6,6,10,60.0,7,3.5,1.7,30,18,11
188,Mattia Bani,443,529,83.7,8734,3270,142,163,87.1,236,258,91.5,58,88,65.9,0,0.2,0.2,2,14,2
189,Mattia Bani,633,712,88.9,13012,4280,167,187,89.3,382,398,96.0,79,115,68.7,0,0.4,0.3,2,23,2
190,Simon Banza,228,321,71.0,3292,581,117,159,73.6,83,101,82.2,13,21,61.9,2,2.1,1.3,12,28,7
191,Antonín Barák,1017,1311,77.6,16319,4200,523,629,83.1,395,476,83.0,67,104,64.4,3,2.2,2.0,24,126,26
192,Federico Barba,1095,1396,78.4,19174,7531,465,527,88.2,496,606,81.8,101,198,51.0,2,1.4,1.3,13,56,14
193,Danilo Barbosa,178,203,87.7,3422,1147,48,56,85.7,119,123,96.7,10,20,50.0,0,0.0,0.0,0,6,0
194,Barcia,13,33,39.4,249,81,7,10,70.0,4,15,26.7,2,6,33.3,0,0.0,0.0,0,2,0
195,Melvin Bard,309,385,80.3,4557,1389,179,202,88.6,121,143,84.6,6,27,22.2,0,0.4,0.4,4,23,6
196,Enis Bardhi,656,888,73.9,11539,3260,303,342,88.6,236,306,77.1,83,155,53.5,2,1.1,1.5,21,63,27
197,Phil Bardsley,104,162,64.2,1713,640,50,56,89.3,41,63,65.1,11,30,36.7,0,0.0,0.1,0,6,4
198,Nicolò Barella,1591,1931,82.4,25100,8423,850,935,90.9,564,662,85.2,123,201,61.2,7,5.7,4.8,47,182,66
199,Philipp Bargfrede,15,16,93.8,239,90,9,9,100.0,6,6,100.0,0,0,,0,0.0,0.0,0,2,0
200,Kike Barja,341,505,67.5,5488,1535,175,212,82.5,116,168,69.0,31,62,50.0,3,2.0,1.5,16,16,21
201,Ross Barkley,640,795,80.5,10363,2800,330,383,86.2,214,255,83.9,65,97,67.0,1,4.2,2.4,39,46,25
202,Ross Barkley,23,27,85.2,437,98,11,14,78.6,7,8,87.5,5,5,100.0,0,0.1,0.0,1,1,1
203,Aymen Barkok,362,495,73.1,5510,1769,201,245,82.0,118,159,74.2,26,51,51.0,3,3.2,2.6,26,30,19
204,Ashley Barnes,189,315,60.0,2362,506,124,170,72.9,38,63,60.3,8,22,36.4,0,0.8,0.8,18,15,6
205,Harvey Barnes,459,637,72.1,6331,1534,272,343,79.3,135,171,78.9,20,37,54.1,4,1.6,2.4,26,38,17
206,Marc Baró,11,19,57.9,224,156,5,6,83.3,3,6,50.0,3,6,50.0,0,0.1,0.2,2,0,0
207,Antonio Barragán,1091,1326,82.3,18850,7126,522,562,92.9,422,508,83.1,117,190,61.6,3,0.7,0.8,10,67,14
208,Antonio Barreca,32,51,62.7,480,157,17,19,89.5,12,20,60.0,2,5,40.0,0,0.0,0.0,1,4,1
209,Leandro Barreiro Martins,449,702,64.0,6871,2878,225,316,71.2,178,236,75.4,27,74,36.5,2,2.7,2.1,18,46,9
