,name,passes completed,passes attempted,passes success rate,total distance of passes (yards),progressive distance,short passes completed,short passes attempted,short passes succes rate,medium passes completed,medium passes attempted,medium passes succes rate,long passes completed,long passes attempted,long passes succes rate,assists,expected assists 2nd deegree,expected assists,key passes,passes into 1/3,passes into penalty area
177,César Azpilicueta,872,1065,81.9,12891,4354,501,538,93.1,337,414,81.4,21,74,28.4,0,1.1,1.3,12,40,19
178,Sanoussy Ba,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0
179,Iddrisu Baba,476,584,81.5,8907,2460,190,212,89.6,221,252,87.7,57,93,61.3,0,0.2,0.3,5,42,2
180,Srđan Babić,1172,1373,85.4,23290,8365,382,420,91.0,637,700,91.0,142,223,63.7,0,0.3,0.4,7,55,3
181,Loïc Bade,735,847,86.8,13873,4762,253,273,92.7,409,445,91.9,64,105,61.0,0,0.1,0.1,2,40,0
182,Loïc Bade,52,59,88.1,1163,396,8,10,80.0,35,36,97.2,9,13,69.2,1,0.1,0.0,1,2,0
183,Édgar Badía,791,1072,73.8,24081,17998,102,103,99.0,381,393,96.9,306,570,53.7,0,0.0,0.0,0,10,0
184,Benoît Badiashile,769,860,89.4,14061,5150,284,315,90.2,419,448,93.5,58,83,69.9,0,0.5,0.2,3,47,5
185,Benoît Badiashile,403,468,86.1,8296,3424,123,137,89.8,210,235,89.4,60,83,72.3,0,0.4,0.8,1,46,3
186,Alex Baena,681,859,79.3,11154,3034,340,380,89.5,257,301,85.4,59,100,59.0,2,5.2,3.8,31,75,43
187,Jaime Báez,32,48,66.7,640,379,8,10,80.0,13,17,76.5,7,14,50.0,0,0.1,0.3,2,7,2
188,Leon Bailey,337,547,61.6,5379,1285,190,248,76.6,97,154,63.0,35,75,46.7,4,4.8,4.8,30,19,21
189,Eric Bailly,231,274,84.3,4679,1676,72,82,87.8,118,141,83.7,38,45,84.4,0,0.0,0.0,0,17,0
190,Dénys Bain,52,56,92.9,909,276,18,18,100.0,32,36,88.9,2,2,100.0,0,0.0,0.0,0,1,0
191,Brandon Baiye,27,32,84.4,416,120,14,15,93.3,10,13,76.9,2,2,100.0,0,0.1,0.1,1,1,0
192,Stefan Bajcetic,200,258,77.5,3227,694,98,118,83.1,74,89,83.1,18,29,62.1,0,0.4,0.5,4,17,7
193,Nedim Bajrami,260,348,74.7,3968,1323,149,182,81.9,79,96,82.3,20,43,46.5,1,1.2,0.7,15,19,6
194,Nedim Bajrami,245,355,69.0,3599,922,150,174,86.2,73,100,73.0,16,52,30.8,0,1.5,1.6,14,13,11
195,Cédric Bakambu,19,23,82.6,263,56,12,13,92.3,4,5,80.0,1,1,100.0,1,1.0,0.7,2,1,0
196,Tiemoué Bakayoko,17,20,85.0,305,99,4,5,80.0,12,13,92.3,1,1,100.0,0,0.0,0.0,0,3,0
197,Mitchel Bakker,764,968,78.9,11670,3583,443,505,87.7,258,328,78.7,47,93,50.5,2,2.0,1.3,17,36,14
198,Ridle Baku,1216,1551,78.4,22159,7294,486,563,86.3,593,719,82.5,121,202,59.9,3,4.1,5.0,28,116,37
199,Tommaso Baldanzi,534,647,82.5,7465,1747,307,332,92.5,175,206,85.0,19,41,46.3,0,1.8,1.8,23,38,17
200,Alejandro Balde,1482,1670,88.7,21525,4340,892,951,93.8,486,536,90.7,71,106,67.0,6,4.9,5.4,22,74,22
201,Thierno Balde,763,931,82.0,11688,3640,408,467,87.4,302,371,81.4,34,51,66.7,1,1.1,1.5,19,34,19
202,Carlos Baleba,249,300,83.0,4837,877,98,114,86.0,103,119,86.6,41,51,80.4,0,0.1,0.1,2,33,2
203,Mikel Balenziaga,49,69,71.0,819,242,25,29,86.2,19,26,73.1,5,9,55.6,0,0.0,0.1,0,4,2
204,Leonardo Balerdi,1389,1656,83.9,27891,8035,393,449,87.5,771,872,88.4,189,262,72.1,1,0.2,0.4,5,105,3
205,Dominic Ballard,5,7,71.4,55,5,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0
206,Iván Balliu,1422,1850,76.9,23328,9525,718,792,90.7,551,707,77.9,118,235,50.2,0,2.8,2.6,32,95,34
207,Fodé Ballo-Touré,234,281,83.3,3827,1223,117,128,91.4,103,119,86.6,13,26,50.0,0,0.2,0.3,4,13,8
208,Folarin Balogun,408,582,70.1,5755,1189,235,303,77.6,127,180,70.6,17,29,58.6,2,3.8,3.3,36,28,19
209,Abdoulaye Bamba,619,721,85.9,10973,3954,248,266,93.2,302,341,88.6,53,81,65.4,0,0.3,0.6,4,46,6
210,Jonathan Bamba,1125,1405,80.1,15835,4358,655,755,86.8,336,407,82.6,53,95,55.8,7,6.5,6.4,46,93,59
211,Patrick Bamford,229,333,68.8,2421,537,166,211,78.7,35,64,54.7,2,8,25.0,2,1.0,0.9,12,18,9
212,Lameck Banda,278,428,65.0,3757,907,173,219,79.0,81,128,63.3,13,33,39.4,1,1.3,1.1,14,17,7
213,Filippo Bandinelli,773,1049,73.7,12752,3934,379,434,87.3,299,379,78.9,64,138,46.4,0,2.6,2.4,31,62,36
214,Léo Baptistão,359,540,66.5,5742,1514,179,229,78.2,124,178,69.7,30,66,45.5,1,1.2,0.9,18,30,13
215,Shandon Baptiste,247,295,83.7,4143,1121,127,142,89.4,92,104,88.5,21,32,65.6,1,1.1,0.5,10,22,8
216,Antonín Barák,11,14,78.6,140,24,7,10,70.0,3,3,100.0,0,0,,0,0.0,0.0,0,2,0
217,Antonín Barák,590,719,82.1,8980,1995,321,359,89.4,199,242,82.2,42,60,70.0,0,1.6,1.1,22,59,14
218,Andrea Barberis,140,166,84.3,2307,639,67,75,89.3,63,74,85.1,8,11,72.7,1,0.4,0.2,4,16,1
219,Tommaso Barbieri,43,64,67.2,725,151,22,27,81.5,16,25,64.0,4,8,50.0,0,0.0,0.0,0,1,0
220,Bradley Barcola,324,466,69.5,4152,1140,210,276,76.1,85,124,68.5,8,17,47.1,8,3.9,4.2,25,21,20
221,Melvin Bard,1201,1505,79.8,18633,6326,652,739,88.2,447,545,82.0,66,128,51.6,0,0.9,1.3,10,70,21
222,Francesco Bardi,18,23,78.3,548,399,6,6,100.0,5,5,100.0,7,11,63.6,0,0.0,0.0,0,1,0
223,Keidi Bare,221,267,82.8,3777,1040,106,122,86.9,93,104,89.4,20,31,64.5,1,0.2,0.2,3,25,1
224,Nicolò Barella,1306,1601,81.6,21320,6648,684,773,88.5,486,564,86.2,102,177,57.6,6,5.6,4.1,55,150,50
225,Kike Barja,316,487,64.9,5033,1204,174,216,80.6,96,153,62.7,30,65,46.2,6,3.9,3.6,28,13,25
226,Ross Barkley,391,497,78.7,6687,1994,185,215,86.0,148,172,86.0,43,79,54.4,2,2.4,1.9,31,36,8
