,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist
539,Jamilu Collins,2195,124,843,1039,341,17,2194,79,42,53.2,37,46.8,1125,6853,3855
540,Simone Colombi,118,110,118,0,0,0,118,0,0,,0,,37,157,111
541,Lorenzo Colombo,4,0,0,2,2,1,4,0,0,,0,,3,27,10
542,Racine Coly,633,29,208,360,70,7,633,9,5,55.6,4,44.4,305,1464,803
543,Kingsley Coman,998,1,74,330,609,117,998,97,58,59.8,39,40.2,750,5160,2824
544,Daniel Congré,1108,75,451,599,64,9,1108,10,6,60.0,4,40.0,518,2665,1783
545,Aaron Connolly,318,1,17,131,173,55,318,20,6,30.0,14,70.0,198,1150,417
546,Andrea Consigli,1082,861,1075,6,1,1,1082,0,0,,0,,582,3420,2401
547,Andrea Conti,1230,71,364,676,197,11,1230,11,7,63.6,4,36.4,683,3351,1851
548,Lewis Cook,894,36,193,498,212,9,894,38,24,63.2,14,36.8,579,2713,1146
549,Steve Cook,1593,230,882,658,65,23,1593,3,3,100.0,0,0.0,858,4077,2154
550,Francis Coquelin,1207,65,342,724,158,16,1207,29,20,69.0,9,31.0,681,2867,1269
551,Gabriele Corbo,76,11,42,33,1,0,76,0,0,,0,,53,206,114
552,Sébastien Corchia,218,8,47,81,92,4,218,11,6,54.5,5,45.5,136,710,306
553,Iñigo Córdoba,658,10,142,245,277,37,658,28,13,46.4,15,53.6,371,1730,843
554,Jhon Córdoba,712,18,32,349,338,108,712,34,21,61.8,13,38.2,422,2215,631
555,Sergio Córdova,118,3,11,58,52,14,118,5,3,60.0,2,40.0,72,387,202
556,Benjamin Corgnet,103,2,9,55,40,8,103,6,3,50.0,3,50.0,49,275,137
557,Jack Cork,1220,60,210,783,246,27,1220,33,26,78.8,7,21.2,567,2674,977
558,Andreas Cornelius,617,28,68,272,283,76,617,18,12,66.7,6,33.3,353,1781,587
559,Maxwel Cornet,887,24,155,368,374,40,887,34,19,55.9,15,44.1,520,3140,1851
560,Quentin Cornette,213,1,26,73,117,6,213,13,9,69.2,4,30.8,112,956,367
561,Ángel Correa,908,22,127,342,447,134,908,68,37,54.4,31,45.6,576,2847,1381
562,Joaquín Correa,946,14,46,360,553,143,945,76,52,68.4,23,30.3,645,4400,2518
563,Rober Correa,622,33,148,308,174,8,622,7,5,71.4,2,28.6,272,1341,503
564,Edmilson Correia,21,0,2,8,11,1,21,3,2,66.7,1,33.3,15,99,37
565,Thierry Correia,172,10,69,80,24,0,172,3,2,66.7,1,33.3,87,379,203
566,Antonio Cortés,59,0,6,22,32,4,59,9,4,44.4,5,55.6,42,253,74
567,Danny da Costa,800,28,157,297,358,43,800,40,23,57.5,17,42.5,376,2083,935
568,Diego Costa,518,15,43,240,237,65,515,21,10,47.6,11,52.4,290,1178,373
569,Douglas Costa,599,8,49,268,299,37,599,62,43,69.4,19,30.6,432,3085,1616
570,Jaume Costa,980,72,321,446,225,13,980,16,12,75.0,4,25.0,546,2564,1454
571,Angelo da Costa Júnior,28,21,27,1,0,0,28,0,0,,0,,16,81,52
572,Nuno da Costa,235,3,11,108,117,29,235,27,16,59.3,11,40.7,159,689,223
573,David Costas,233,24,128,104,4,2,233,0,0,,0,,146,702,323
574,Benoît Costil,948,805,941,7,0,0,948,2,2,100.0,0,0.0,435,2244,1409
575,Kalifa Coulibaly,570,36,42,219,313,88,570,27,8,29.6,19,70.4,279,1380,542
576,Senou Coulibaly,502,77,315,177,10,6,502,1,1,100.0,0,0.0,274,1342,737
577,Yoann Court,767,14,128,336,314,34,767,23,12,52.2,11,47.8,422,2145,1054
578,Thibaut Courtois,1153,1039,1151,1,1,1,1153,0,0,,0,,608,3379,1776
579,Philippe Coutinho,1041,1,53,501,499,72,1040,56,33,58.9,23,41.1,689,3882,2153
580,Nicolas Cozza,296,26,165,126,9,6,296,4,2,50.0,2,50.0,164,814,468
581,Alessio Cragno,529,457,526,3,0,0,529,0,0,,0,,197,1365,1017
582,Aaron Cresswell,1975,100,542,922,520,24,1975,34,11,32.4,23,67.6,934,3750,1808
583,Domenico Criscito,1545,112,548,695,314,19,1535,11,8,72.7,3,27.3,724,3337,2106
584,Bryan Cristante,1221,42,240,785,208,19,1221,14,11,78.6,3,21.4,691,4120,2266
585,Sebastián Cristóforo,64,3,21,29,15,0,64,2,1,50.0,1,50.0,24,51,28
586,Sebastián Cristóforo,453,8,70,225,162,7,453,16,9,56.3,7,43.8,223,765,257
587,Juan Cuadrado,2622,64,572,1329,752,45,2622,71,42,59.2,29,40.8,1815,8904,5574
588,Cucho,671,19,95,283,304,64,671,63,31,49.2,32,50.8,469,2953,1323
589,Marc Cucurella,1814,37,275,770,790,57,1814,50,23,46.0,27,54.0,873,4319,2217
590,Iván Cuéllar,890,670,874,16,0,0,890,0,0,,0,,392,3273,2165
591,Jaume Cuéllar,22,0,0,12,10,0,22,2,2,100.0,0,0.0,19,105,42
592,Mickaël Cuisance,230,3,28,104,103,7,230,17,12,70.6,5,29.4,158,900,526
593,Matheus Cunha,281,4,33,144,120,24,281,50,41,82.0,9,18.0,186,1512,853
594,Matheus Cunha,144,1,4,59,82,21,144,10,5,50.0,5,50.0,93,503,258
595,Felipe Curcio,13,0,2,8,3,1,13,0,0,,0,,8,92,80
596,Patrick Cutrone,102,1,11,49,44,13,102,5,3,60.0,2,40.0,51,321,135
597,Patrick Cutrone,266,7,32,103,132,42,266,9,4,44.4,5,55.6,163,761,267
598,Wylan Cyprien,1504,43,292,937,293,16,1499,23,14,60.9,9,39.1,714,3224,2044
599,Rafael Czichos,1501,223,775,694,48,19,1501,14,9,64.3,5,35.7,774,4786,2842
600,Lennart-Marten Czyborra,13,0,1,5,7,0,13,0,0,,0,,8,17,5
601,Marco D'Alessandro,332,8,62,117,165,20,332,27,24,88.9,3,11.1,215,1886,1061
602,Danilo D'Ambrosio,1040,55,328,540,175,23,1040,13,9,69.2,4,30.8,521,2269,1340
603,Felice D'Amico,10,0,2,2,6,1,10,1,0,0.0,1,100.0,5,45,9
604,Lucas Da Cunha,31,0,4,17,12,2,31,1,1,100.0,0,0.0,22,189,46
605,Jacopo Da Riva,2,0,0,2,0,0,2,0,0,,0,,2,1,0
606,Damien Da Silva,1514,163,844,652,35,10,1514,8,6,75.0,2,25.0,925,4880,2511
607,Moanes Dabbur,24,0,0,5,19,5,24,0,0,,0,,11,27,9
608,Moanes Dabbur,347,1,32,170,150,35,347,23,10,43.5,13,56.5,217,938,429
609,Bryan Dabo,690,19,127,422,152,10,690,19,12,63.2,7,36.8,440,2517,1361
610,Colin Dagba,472,21,121,200,153,15,472,13,7,53.8,6,46.2,271,1506,833
611,Mahmoud Dahoud,567,13,105,354,111,8,567,13,10,76.9,3,23.1,367,1801,815
612,Leon Dajaku,7,0,2,3,2,0,7,0,0,,0,,3,12,7
613,Felipe dal Belo,544,70,270,249,30,7,544,2,2,100.0,0,0.0,289,1159,654
614,Christian Dalle Mura,0,0,0,0,0,0,0,0,0,,0,,0,0,0
615,Diogo Dalot,80,3,12,36,32,1,80,3,0,0.0,3,100.0,36,192,65
616,Charlie Daniels,61,7,24,25,13,0,61,0,0,,0,,37,138,42
617,Danilo,1382,52,353,720,320,15,1382,19,15,78.9,4,21.1,813,3268,1960
618,Arnaut Danjuma,306,3,59,136,119,22,306,38,21,55.3,17,44.7,227,1820,823
619,Scott Dann,704,108,408,271,28,22,704,6,5,83.3,1,16.7,332,1342,892
620,Kevin Danso,203,12,46,116,43,2,203,7,3,42.9,4,57.1,88,556,287
621,Dante,1862,249,968,870,33,20,1862,9,8,88.9,1,11.1,1073,5226,3331
622,Andrea Danzi,1,0,0,1,0,0,1,0,0,,0,,0,0,0
623,Sergi Darder,1347,24,196,747,426,35,1347,42,20,47.6,22,52.4,770,4043,1691
624,Vladimír Darida,1465,38,255,815,418,42,1465,36,24,66.7,12,33.3,780,4513,1807
625,Matteo Darmian,1830,114,659,837,346,29,1830,23,10,43.5,13,56.5,928,3901,2253
626,Alphonso Davies,2172,60,539,1010,653,61,2172,129,82,63.6,47,36.4,1238,7792,4438
