,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
29,Rafael Cabral,2,2,180,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,
30,Marc-Aurèle Caillard,21,21,"1,890",34,1.62,93,58,64.5,4,7,10,6,28.6,2,1,1,0,50.0
31,Yoan Cardinale,3,3,270,6,2.00,12,6,58.3,0,1,2,0,0.0,1,1,0,0,0.0
32,Koen Casteels,26,26,"2,295",39,1.53,119,79,70.6,11,6,9,8,30.8,5,4,1,0,20.0
33,Petr Čech,7,7,585,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,
34,Leandro Chichizola,1,1,90,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,
35,Jasper Cillessen,3,3,270,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,0.0
36,Joel Coleman,1,1,90,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
37,Andrea Consigli,36,36,"3,213",56,1.57,155,98,66.5,9,15,12,12,33.3,8,4,3,1,42.9
38,Benoît Costil,37,37,"3,330",42,1.14,152,109,76.3,9,11,17,9,24.3,7,6,1,0,14.3
39,Thibaut Courtois,27,27,"2,430",36,1.33,104,67,71.2,14,3,10,8,29.6,8,6,1,1,14.3
40,Alessio Cragno,38,38,"3,420",54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,0,20.0
41,Iván Cuéllar,34,34,"3,056",38,1.12,115,78,68.7,10,12,12,9,26.5,2,2,0,0,0.0
42,Abdoulaye Diallo,6,6,495,4,0.73,20,16,85.0,3,2,1,2,33.3,1,1,0,0,0.0
43,Javier Díaz,1,1,90,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0
44,Stole Dimitrievski,21,21,"1,890",35,1.67,95,59,69.5,5,4,12,3,14.3,7,6,1,0,14.3
45,Marko Dmitrović,24,24,"2,160",30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,0,25.0
46,Jaume Doménech,4,4,360,1,0.25,13,12,92.3,2,2,0,3,75.0,0,0,0,0,
47,Gianluigi Donnarumma,36,36,"3,092",31,0.90,126,95,77.8,18,11,7,11,30.6,4,3,1,0,25.0
48,Bartłomiej Drągowski,3,2,225,2,0.80,8,6,75.0,0,1,1,1,50.0,0,0,0,0,
49,Bartłomiej Drągowski,14,14,"1,260",24,1.71,96,71,78.1,5,2,7,3,21.4,4,3,1,0,25.0
50,Jaroslav Drobný,2,2,180,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,
51,Martin Dúbravka,38,38,"3,420",48,1.26,140,93,70.0,12,9,17,11,28.9,6,6,0,0,0.0
52,Maxime Dupé,11,10,939,17,1.63,34,16,55.9,5,3,2,1,10.0,3,2,1,0,33.3
53,Ederson,38,38,"3,420",23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0.0
54,Michael Esser,32,32,"2,880",66,2.06,214,148,71.5,5,6,21,5,15.6,6,5,1,0,16.7
55,Neil Etheridge,38,38,"3,420",69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9
56,Łukasz Fabiański,38,38,"3,420",55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20.0
57,Fabricio,2,2,180,5,2.50,21,16,76.2,0,0,2,0,0.0,0,0,0,0,
58,Ralf Fährmann,17,16,"1,469",26,1.59,83,58,71.1,4,3,9,3,18.8,2,2,0,0,0.0
59,Aitor Fernández,16,16,"1,440",24,1.50,83,60,75.9,4,5,7,2,12.5,4,4,0,0,0.0
60,Andrés Fernández,6,6,540,7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,0.0
61,Mark Flekken,1,1,90,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
62,Fraser Forster,1,1,90,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
63,Ben Foster,38,38,"3,420",59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20.0
64,Pierluigi Frattali,1,1,90,2,2.00,8,7,75.0,0,0,1,0,0.0,0,0,0,0,
65,Alberto García,17,17,"1,530",35,2.06,87,50,60.9,3,4,10,4,23.5,4,1,3,0,75.0
66,Paulo Gazzaniga,3,3,270,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,
67,David de Gea,38,38,"3,420",54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0.0
68,Fabian Giefer,4,4,360,7,1.75,19,12,63.2,1,1,2,0,0.0,0,0,0,0,
69,Mauro Goicoechea,8,7,712,12,1.52,35,23,68.6,2,3,2,3,42.9,1,1,0,0,0.0
70,Pierluigi Gollini,20,20,"1,800",21,1.05,70,49,74.3,11,6,3,4,20.0,3,3,0,0,0.0
71,Alfred Gomis,20,19,"1,723",27,1.41,76,49,65.8,3,6,10,6,31.6,1,1,0,0,0.0
72,Mathieu Gorgelin,4,4,360,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,
73,Vicente Guaita,20,20,"1,755",23,1.18,85,63,74.1,10,4,6,7,35.0,1,1,0,0,0.0
74,Guido Guerrieri,1,1,90,3,3.00,4,1,25.0,0,1,0,0,0.0,0,0,0,0,
75,Péter Gulácsi,33,33,"2,925",27,0.83,117,91,80.3,19,9,5,15,45.5,5,4,0,1,0.0
76,Angus Gunn,12,12,"1,080",18,1.50,50,31,64.0,4,4,4,3,25.0,1,0,1,0,100.0
77,Régis Gurtner,38,38,"3,420",52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25.0
78,Ben Hamer,7,7,553,21,3.42,42,22,57.1,0,1,6,0,0.0,3,3,0,0,0.0
79,Samir Handanović,38,38,"3,420",33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,2,0.0
80,Joe Hart,19,19,"1,710",41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,0,50.0
81,Tom Heaton,19,19,"1,710",27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,0.0
82,Wayne Hennessey,18,17,"1,575",26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,0,25.0
83,Iago Herrerín,31,31,"2,790",32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,0.0
84,Marwin Hitz,2,2,180,4,2.00,6,2,33.3,2,0,0,0,0.0,1,0,0,1,
85,Lukáš Hrádecký,32,32,"2,880",47,1.47,127,81,65.4,18,4,10,9,28.1,4,3,1,0,25.0
86,Salvador Ichazo,3,2,250,2,0.72,9,7,88.9,1,1,0,1,50.0,1,1,0,0,0.0
87,Gorka Iraizoz,7,6,558,10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,0.0
88,Jandrei,1,1,90,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
89,Rune Jarstein,31,31,"2,745",48,1.57,143,96,67.8,9,10,12,8,25.8,4,2,1,1,33.3
90,Karl-Johan Johnsson,17,17,"1,530",34,2.00,78,43,59.0,1,5,11,4,23.5,4,2,1,1,33.3
91,Aleksandar Jovanović,12,12,"1,080",19,1.58,46,28,63.0,1,4,7,0,0.0,2,2,0,0,0.0
92,Stefanos Kapino,1,0,45,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,
93,Orestis Karnezis,9,9,810,7,0.78,27,20,77.8,6,2,1,4,44.4,1,1,0,0,0.0
94,Eiji Kawashima,1,1,90,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
95,Gregor Kobel,1,1,90,1,1.00,7,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0
96,Gregor Kobel,16,16,"1,390",42,2.72,93,51,55.9,4,2,10,3,18.8,2,1,1,0,50.0
97,Tomáš Koubek,33,32,"2,925",48,1.48,138,90,67.4,10,11,11,9,28.1,4,3,1,0,25.0
98,Thomas Kraft,4,3,315,9,2.57,16,7,56.3,2,0,1,1,33.3,2,2,0,0,0.0
99,Alban Lafont,34,34,"3,015",40,1.19,128,90,72.7,8,15,11,8,23.5,6,5,1,0,16.7
100,Benjamin Lecomte,37,37,"3,330",42,1.14,143,102,72.7,15,13,9,11,29.7,5,3,1,1,25.0
101,Bernd Leno,32,31,"2,835",42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0.0
102,Hugo Lloris,33,33,"2,970",33,1.00,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40.0
103,Anthony Lopes,34,34,"3,060",42,1.24,134,95,72.4,18,9,7,9,26.5,5,5,0,0,0.0
104,Diego López,38,38,"3,420",50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,0,25.0
105,Pau López,33,33,"2,970",47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,0,25.0
106,Jonas Lössl,31,30,"2,777",54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20.0
107,Andriy Lunin,5,4,364,5,1.24,19,13,78.9,1,0,3,2,50.0,2,1,1,0,50.0
108,Andreas Luthe,15,14,"1,310",22,1.51,78,57,71.8,3,5,6,2,14.3,0,0,0,0,
109,Mike Maignan,38,38,"3,420",33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0
110,Steve Mandanda,31,31,"2,736",40,1.32,113,72,69.9,14,5,12,9,29.0,7,6,1,0,14.3
111,Federico Marchetti,4,4,360,10,2.50,18,9,44.4,2,0,2,1,25.0,0,0,0,0,
112,Jordi Masip,35,35,"3,150",45,1.29,143,96,72.0,10,9,16,9,25.7,8,5,3,0,37.5
113,Christian Mathenia,22,22,"1,933",40,1.86,118,80,67.8,1,7,14,2,9.1,2,2,0,0,0.0
114,Alex McCarthy,25,25,"2,250",44,1.76,119,78,64.7,5,8,12,4,16.0,2,2,0,0,0.0
115,Edouard Mendy,38,38,"3,420",42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,0.0
116,Alex Meret,14,13,"1,150",9,0.70,48,39,85.4,9,1,3,5,38.5,2,2,0,0,0.0
117,Vanja Milinković-Savić,2,2,164,4,2.20,16,12,75.0,1,0,1,0,0.0,0,0,0,0,
118,Antonio Mirante,11,11,990,6,0.55,38,31,84.2,6,4,1,6,54.5,1,0,1,0,100.0
119,Jessy Moulin,1,1,90,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,
120,Florian Müller,24,24,"2,160",43,1.79,124,81,67.7,8,3,13,5,20.8,4,3,0,1,0.0
121,Juan Musso,29,29,"2,610",40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,0.0
122,Yvon Mvogo,2,1,135,2,1.33,4,2,75.0,0,0,1,1,100.0,1,1,0,0,0.0
123,Keylor Navas,10,10,900,8,0.80,31,23,74.2,6,2,2,4,40.0,0,0,0,0,
124,Neto,34,34,"3,060",34,1.00,139,106,80.6,13,14,7,10,29.4,8,7,1,0,12.5
125,Manuel Neuer,26,26,"2,303",23,0.90,56,34,64.3,20,3,3,10,38.5,3,3,0,0,0.0
126,Will Norris,1,0,,0,,0,0,,0,0,0,1,,0,0,0,0,
127,Alexander Nübel,18,18,"1,588",29,1.64,83,53,68.7,4,6,8,4,22.2,4,3,1,0,25.0
128,Jan Oblak,37,37,"3,330",27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0.0
129,Oier Olazábal,21,21,"1,890",40,1.90,135,95,73.3,7,5,9,5,23.8,5,4,1,0,20.0
130,Alexandre Olliero,1,1,90,1,1.00,1,0,100.0,0,0,1,0,0.0,1,1,0,0,0.0
131,Robin Olsen,27,27,"2,430",42,1.56,126,85,69.8,12,8,7,4,14.8,6,4,0,2,0.0
132,David Ospina,17,16,"1,457",20,1.24,62,42,69.4,9,4,3,5,31.3,1,1,0,0,0.0
133,Ramazan Özcan,2,2,180,5,2.50,12,7,66.7,0,0,2,0,0.0,2,1,1,0,50.0
134,Fernando Pacheco,35,35,"3,150",46,1.31,154,110,74.0,11,11,13,8,22.9,6,6,0,0,0.0
135,Rui Patrício,37,37,"3,330",46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,1,0.0
136,Jiří Pavlenka,34,34,"2,978",47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,1,0.0
137,Gianluca Pegolo,3,2,202,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,
138,Yohann Pelé,9,7,680,12,1.59,25,12,68.0,4,2,1,3,42.9,5,4,1,0,20.0
139,Mattia Perin,9,9,810,8,0.89,27,19,74.1,6,1,2,5,55.6,1,1,0,0,0.0
140,Pavao Pervan,10,8,765,11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,1,
141,Jordan Pickford,38,38,"3,420",46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60.0
142,Carlo Pinsoglio,1,1,90,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
143,Luca Plogmann,1,0,37,1,2.43,1,0,100.0,0,0,0,0,,1,1,0,0,0.0
144,Giacomo Poluzzi,1,0,5,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
145,Gaëtan Poussin,1,1,90,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
146,Silvio Proto,2,2,180,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,
147,Ivan Provedel,16,16,"1,440",36,2.25,104,69,68.3,4,4,8,0,0.0,4,3,0,1,0.0
148,Ionuț Radu,33,33,"2,970",46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,0,16.7
149,Pepe Reina,4,2,328,5,1.37,14,9,71.4,1,0,1,1,50.0,1,1,0,0,0.0
150,Michael Rensing,32,32,"2,880",62,1.94,170,108,67.6,12,5,15,5,15.6,7,7,0,0,0.0
151,Baptiste Reynet,31,31,"2,704",45,1.50,143,98,71.3,6,11,14,6,19.4,5,4,1,0,20.0
152,Sergio Rico,29,29,"2,610",56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,0.0
153,Asier Riesgo,15,14,"1,260",20,1.43,46,27,56.5,2,8,4,4,28.6,0,0,0,0,
154,Joel Robles,5,5,450,5,1.00,21,16,81.0,2,1,2,1,20.0,1,1,0,0,0.0
155,Francesco Rossi,1,0,,0,,0,0,,0,0,0,0,,0,0,0,0,
156,John Ruddy,1,1,90,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
157,Stéphane Ruffier,37,37,"3,330",40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,1,12.5
158,Gerónimo Rulli,27,27,"2,430",35,1.30,109,75,69.7,10,9,8,7,25.9,3,2,1,0,33.3
159,Mathew Ryan,34,34,"3,060",55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0.0
160,Frederik Rønnow,2,1,122,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,
161,Samuel Şahin-Radlinger,1,1,90,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
162,Brice Samba,38,38,"3,420",54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0
163,Roberto Santamaría,20,20,"1,800",30,1.50,96,67,75.0,5,7,8,6,30.0,6,6,0,0,0.0
164,Kasper Schmeichel,38,38,"3,420",48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0
165,Alexander Schwolow,33,33,"2,970",60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,0.0
166,Simone Scuffet,9,9,810,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0
167,Andrea Seculin,2,1,90,7,7.00,12,5,41.7,0,0,1,0,0.0,0,0,0,0,
168,Matz Sels,37,37,"3,330",48,1.30,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2
169,Adrian Šemper,6,6,540,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,
170,Luigi Sepe,37,37,"3,330",59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0
171,Unai Simón,7,7,630,13,1.86,33,20,66.7,1,4,2,0,0.0,2,2,0,0,0.0
172,Salvatore Sirigu,36,36,"3,170",35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,0,50.0
173,Antonio Sivera,3,3,270,4,1.33,13,9,69.2,2,0,1,0,0.0,0,0,0,0,
174,Łukasz Skorupski,38,38,"3,420",56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0
175,Yann Sommer,34,34,"3,060",42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0
176,David Soria,37,37,"3,330",34,0.92,133,99,77.4,14,14,9,13,35.1,6,4,1,1,20.0
177,Juan Soriano,4,4,359,2,0.50,11,9,90.9,4,0,0,2,50.0,1,1,0,0,0.0
178,Stefano Sorrentino,31,31,"2,790",60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,0,50.0
179,Julián Speroni,1,1,90,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,
180,Marco Sportiello,35,35,"3,150",64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0
181,Thomas Strakosha,35,35,"3,150",39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,0,16.7
182,Danijel Subašić,14,14,"1,138",12,0.95,39,26,74.4,4,5,5,4,28.6,3,2,1,0,33.3
183,Seydou Sy,3,2,225,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,
184,Wojciech Szczęsny,28,28,"2,520",20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,1,50.0
185,Ciprian Tătărușanu,27,27,"2,391",30,1.13,95,62,69.5,8,6,13,7,25.9,4,1,3,0,75.0
186,Marc-André ter Stegen,35,35,"3,150",32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0.0
187,Pietro Terracciano,2,2,180,3,1.50,11,8,72.7,0,1,1,0,0.0,0,0,0,0,
188,Pietro Terracciano,8,8,720,10,1.25,35,26,71.4,1,2,5,2,25.0,0,0,0,0,
189,Kevin Trapp,33,33,"2,938",48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0.0
190,Mark Travers,2,2,180,5,2.50,13,9,61.5,1,0,1,1,50.0,0,0,0,0,
191,Philipp Tschauner,1,1,90,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
192,Sven Ulreich,9,8,757,9,1.07,23,14,69.6,4,3,1,2,25.0,3,2,0,1,0.0
193,Tomáš Vaclík,33,33,"2,970",44,1.33,143,98,72.0,13,8,12,8,24.2,5,4,1,0,20.0
194,Koke Vegas,1,1,90,2,2.00,8,6,75.0,0,1,0,0,0.0,0,0,0,0,
195,Emiliano Viviano,17,17,"1,525",25,1.48,84,59,75.0,7,3,7,3,17.6,4,4,0,0,0.0
196,Michel Vorm,2,2,180,4,2.00,13,9,69.2,0,0,2,0,0.0,0,0,0,0,
197,Axel Werner,6,6,540,16,2.67,32,17,53.1,1,1,4,0,0.0,1,1,0,0,0.0
198,Yoel,3,3,270,6,2.00,12,6,58.3,0,2,1,0,0.0,1,1,0,0,0.0
199,Robin Zentner,10,10,900,14,1.40,49,35,71.4,4,4,2,2,20.0,0,0,0,0,
200,Luca Zidane,1,1,90,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,
201,Ron-Robert Zieler,34,34,"3,060",70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0
