,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
0,Antonio Adán,2,1,90,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,
1,Rúnar Alex Rúnarsson,25,25,"2,250",43,1.72,99,56,58.6,7,5,13,5,20.0,2,2,0,0,0.0
2,Alisson,38,38,"3,420",22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,
3,Bobby Allain,13,13,"1,170",17,1.31,72,56,77.8,2,2,9,1,7.7,1,1,0,0,0.0
4,Sergio Álvarez,13,13,"1,170",22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0.0
5,Miguel Ángel Moyá,11,11,990,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,
6,Alphonse Areola,21,21,"1,890",17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,0.0
7,Kepa Arrizabalaga,36,36,"3,240",39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50.0
8,Sergio Asenjo,32,32,"2,880",45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,1,33.3
9,Emil Audero,36,36,"3,240",51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,0,12.5
10,Francesco Bardi,3,3,270,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,
11,Oliver Baumann,33,33,"2,970",51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,0.0
12,Asmir Begović,24,24,"2,160",47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0.0
13,Diego Benaglio,23,22,"2,057",38,1.66,96,57,63.5,4,6,12,4,18.2,5,3,2,0,40.0
14,Walter Benítez,35,35,"3,150",29,0.83,143,112,81.1,15,10,10,16,45.7,5,2,3,0,60.0
15,Etrit Berisha,18,18,"1,620",25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0.0
16,Paul Bernardoni,38,38,"3,420",58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0
17,Dimitry Bertaud,1,1,90,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
18,Marcus Bettinelli,7,7,630,20,2.86,40,19,52.5,1,2,4,0,0.0,3,1,1,1,50.0
19,Rubén Blanco,25,25,"2,250",40,1.60,109,69,67.0,7,6,12,6,24.0,5,4,0,1,0.0
20,Artur Boruc,12,12,"1,080",18,1.50,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0.0
21,Zacharie Boucher,2,2,180,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
22,Yassine Bounou,32,32,"2,862",43,1.35,166,124,77.7,8,10,14,8,25.0,6,6,0,0,0.0
23,Fabian Bredlow,14,12,"1,127",28,2.24,61,32,54.1,2,3,7,2,16.7,2,0,1,1,100.0
24,Gianluigi Buffon,17,17,"1,530",18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,0,50.0
25,Roman Bürki,32,32,"2,880",40,1.25,128,88,71.9,21,7,4,10,31.3,4,4,0,0,0.0
26,Ludovic Butelle,36,36,"3,239",48,1.33,161,113,72.0,9,15,12,11,30.6,5,3,2,0,40.0
27,David Button,4,4,360,5,1.25,18,13,83.3,1,1,2,1,25.0,2,2,0,0,0.0
28,Willy Caballero,2,2,180,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,
